# Buddhist_ch1,Buddhist_ch2,Buddhist_ch3,Buddhist_ch4,Buddhist_ch5,Buddhist_ch6,Buddhist_ch7,Buddhist_ch8,Buddhist_ch9,Buddhist_ch10,Buddhist_ch11,Buddhist_ch12,Buddhist_ch13,Buddhist_ch14,Buddhist_ch15,Buddhist_ch16,Buddhist_ch17,Buddhist_ch18,Buddhist_ch19,Buddhist_ch20,Buddhist_ch21,Buddhist_ch22,Buddhist_ch23,Buddhist_ch24,Buddhist_ch25,Buddhist_ch26,Buddhist_ch27,Buddhist_ch28,Buddhist_ch29,Buddhist_ch30,Buddhist_ch31,Buddhist_ch32,Buddhist_ch33,Buddhist_ch34,Buddhist_ch35,Buddhist_ch36,Buddhist_ch37,Buddhist_ch38,Buddhist_ch39,Buddhist_ch40,Buddhist_ch41,Buddhist_ch42,Buddhist_ch43,Buddhist_ch44,Buddhist_ch45,Buddhist_ch46,TaoTeChing_ch1,TaoTeChing_ch2,TaoTeChing_ch3,TaoTeChing_ch4,TaoTeChing_ch5,TaoTeChing_ch6,TaoTeChing_ch7,TaoTeChing_ch8,TaoTeChing_ch9,TaoTeChing_ch10,TaoTeChing_ch11,TaoTeChing_ch12,TaoTeChing_ch13,TaoTeChing_ch14,TaoTeChing_ch15,TaoTeChing_ch16,TaoTeChing_ch17,TaoTeChing_ch18,TaoTeChing_ch19,TaoTeChing_ch20,TaoTeChing_ch21,TaoTeChing_ch22,TaoTeChing_ch23,TaoTeChing_ch24,TaoTeChing_ch25,TaoTeChing_ch26,TaoTeChing_ch27,TaoTeChing_ch28,TaoTeChing_ch29,TaoTeChing_ch30,TaoTeChing_ch31,TaoTeChing_ch32,TaoTeChing_ch33,TaoTeChing_ch34,TaoTeChing_ch35,TaoTeChing_ch36,TaoTeChing_ch37,TaoTeChing_ch38,TaoTeChing_ch39,TaoTeChing_ch40,TaoTeChing_ch41,TaoTeChing_ch42,TaoTeChing_ch43,TaoTeChing_ch44,TaoTeChing_ch45,TaoTeChing_ch46,TaoTeChing_ch47,TaoTeChing_ch48,TaoTeChing_ch49,TaoTeChing_ch50,TaoTeChing_ch51,TaoTeChing_ch52,TaoTeChing_ch53,TaoTeChing_ch54,TaoTeChing_ch55,TaoTeChing_ch56,TaoTeChing_ch57,TaoTeChing_ch58,TaoTeChing_ch59,TaoTeChing_ch60,TaoTeChing_ch61,TaoTeChing_ch62,TaoTeChing_ch63,TaoTeChing_ch64,TaoTeChing_ch65,TaoTeChing_ch66,TaoTeChing_ch67,TaoTeChing_ch68,TaoTeChing_ch69,TaoTeChing_ch70,TaoTeChing_ch71,TaoTeChing_ch72,TaoTeChing_ch73,TaoTeChing_ch74,TaoTeChing_ch75,TaoTeChing_ch76,TaoTeChing_ch77,TaoTeChing_ch78,TaoTeChing_ch79,TaoTeChing_ch80,TaoTeChing_ch81
0.000000,52.526184,62.112801,56.382621,50.129831,56.515485,62.289646,52.354560,53.758720,50.099900,76.019734,50.941143,49.959984,49.719212,48.569538,52.459508,50.328918,59.025418,50.009999,49.819675,55.281100,51.497573,51.555795,53.366656,50.169712,50.418251,50.189640,50.109879,51.865210,60.158125,62.992063,56.894639,55.389530,62.625873,50.209561,50.774009,134.966663,64.822835,51.951901,50.219518,58.137767,70.654087,49.909919,50.000000,50.990195,50.049975,50.447993,50.547008,50.039984,49.729267,49.638695,49.979996,50.299105,50.289164,49.889879,50.467812,50.249378,50.229473,51.097945,50.358713,51.146847,50.249378,50.049975,50.029991,50.129831,51.788030,50.467812,50.685304,50.695167,50.069951,51.156622,49.839743,51.097945,50.950957,49.929951,50.428167,51.127292,50.029991,49.899900,50.239427,50.149776,50.259327,49.959984,52.706736,50.872389,49.899900,51.127292,50.408333,49.819675,50.149776,50.239427,50.119856,50.229473,50.129831,50.714889,50.931326,50.695167,50.279220,50.239427,50.259327,50.714889,49.879856,50.169712,50.507425,50.139805,50.259327,51.088159,50.398413,50.783856,49.959984,50.019996,50.109879,50.467812,50.309045,50.059964,49.477268,49.386233,49.809638,50.527220,50.428167,50.328918,50.368641,49.819675,50.259327,50.119856,50.418251,49.537864
52.526184,0.000000,33.808283,26.720778,19.798990,35.397740,44.643029,26.153394,27.694765,19.924859,60.712437,25.219040,19.364917,18.734994,20.591260,25.119713,18.761663,32.295511,19.544820,18.574176,30.643107,22.605309,23.937418,29.342802,19.595918,20.712315,20.297783,19.131126,22.781571,38.600518,46.032597,33.763886,30.380915,43.185646,20.832667,23.130067,130.594793,46.914816,25.495098,20.322401,35.566838,55.452683,19.131126,21.656408,20.420578,19.595918,20.688161,22.000000,20.420578,19.493589,20.174241,19.416488,20.223748,20.149442,19.595918,20.396078,20.049938,20.396078,23.194827,20.904545,22.158520,21.400935,20.248457,19.646883,20.880613,23.685439,20.832667,20.928450,21.424285,19.748418,22.759613,19.824228,22.000000,22.068076,19.748418,20.784610,21.840330,20.639767,19.519221,19.824228,19.899749,20.124612,19.672316,25.553865,22.956481,19.261360,22.383029,20.346990,19.467922,19.798990,20.223748,19.824228,19.697716,20.049938,21.236761,21.610183,20.712315,20.760539,20.420578,20.808652,21.236761,19.773720,21.540659,20.688161,21.095023,20.124612,22.248595,20.952327,21.587033,21.931712,19.924859,19.949937,21.307276,20.542639,20.518285,20.124612,19.748418,19.339080,20.928450,21.071308,20.297783,20.099751,20.856654,20.024984,19.824228,21.563859,20.024984
62.112801,33.808283,0.000000,34.856850,38.871583,42.988371,55.928526,41.844952,43.104524,39.140772,68.286163,42.059482,38.729833,38.444766,39.357337,41.928511,36.701499,41.713307,38.820098,38.574603,42.473521,39.899875,41.036569,43.634848,38.716921,38.935845,39.281039,38.249183,39.268308,43.714986,54.680892,44.665423,43.034870,49.859803,38.845849,40.298883,132.514150,57.078893,41.677332,38.704005,48.497423,62.337790,38.768544,39.420807,36.166283,38.923001,39.484174,40.360872,38.987177,38.974351,39.268308,38.600518,39.115214,39.076847,38.794329,39.433488,39.153544,39.127995,40.706265,39.597980,40.298883,40.012498,39.000000,38.742741,39.534795,40.963398,39.585351,39.661064,39.974992,38.948684,40.435133,39.089641,40.137264,40.024992,39.025633,39.331921,39.724048,39.408121,38.781439,39.140772,38.845849,39.140772,38.858718,42.118879,40.644803,38.781439,40.049969,39.408121,38.807216,38.923001,39.166312,39.012818,38.923001,39.179076,39.420807,39.924930,39.522146,39.547440,38.961519,39.268308,39.547440,38.987177,39.761791,39.458839,39.370039,39.115214,40.224371,39.698866,40.286474,40.124805,39.140772,38.871583,39.661064,39.204592,39.166312,39.191836,38.897301,38.897301,39.281039,39.509493,39.179076,39.127995,39.064050,39.115214,38.807216,39.724048,38.781439
56.382621,26.720778,34.856850,0.000000,27.495454,38.509739,49.345719,32.403703,33.867388,28.017851,63.229740,31.622777,27.331301,26.888659,28.460499,31.670175,24.413111,36.013886,27.604347,26.776856,35.171011,29.647934,30.870698,34.856850,27.459060,28.195744,28.071338,27.313001,28.861739,40.373258,49.869831,38.781439,35.085610,45.088801,28.600699,30.182777,131.776326,50.724747,31.843367,27.730849,39.458839,56.026779,27.349589,29.034462,27.477263,27.568098,28.319605,29.799329,28.124722,27.495454,28.053520,27.331301,27.910571,28.142495,27.604347,28.178006,27.892651,28.106939,30.199338,28.618176,29.171904,29.086079,27.964263,27.568098,28.354894,30.545049,28.142495,28.740216,28.930952,27.604347,29.966648,27.802878,29.563491,29.342802,27.748874,28.425341,29.444864,28.284271,27.404379,28.124722,27.712813,27.946377,27.622455,32.140317,30.049958,27.331301,29.137605,28.248894,27.404379,27.964263,27.910571,27.766887,27.784888,27.856777,28.687977,28.930952,28.478062,28.583212,28.160256,28.407745,28.653098,27.766887,28.948230,28.425341,28.687977,27.874720,29.512709,28.513155,29.461840,29.512709,27.730849,27.892651,28.740216,28.178006,28.089144,28.017851,27.712813,27.531800,28.600699,28.635642,28.035692,28.035692,28.548205,28.089144,27.802878,28.930952,27.874720
50.129831,19.798990,38.871583,27.495454,0.000000,31.890437,41.892720,19.339080,21.610183,9.949874,58.514955,18.275667,8.062258,6.403124,11.224972,17.804494,10.099505,32.511536,8.485281,7.141428,26.888659,16.462078,16.763055,23.600847,9.273618,11.704700,10.392305,9.380832,17.691806,36.386811,42.860238,29.866369,26.925824,40.137264,12.247449,15.394804,130.080744,43.988635,19.339080,10.148892,31.352831,53.432200,8.485281,13.892444,16.643317,8.831761,11.135529,14.628739,11.269428,9.055385,10.344080,8.062258,10.148892,10.583005,9.165151,11.224972,9.899495,10.295630,15.165751,11.789826,13.892444,13.416408,10.000000,8.831761,11.045361,15.842980,11.832160,12.165525,12.922848,8.944272,14.832397,9.539392,13.928388,13.304135,9.486833,11.401754,14.035669,10.954451,8.426150,11.269428,9.273618,9.949874,9.433981,18.734994,15.329710,8.185353,14.247807,11.045361,8.306624,10.099505,9.949874,9.433981,10.198039,10.099505,11.874342,12.529964,11.618950,11.704700,10.535654,11.357817,12.449900,9.539392,12.489996,11.313708,12.041595,9.746794,13.747727,11.704700,14.212670,13.892444,10.148892,9.797959,12.165525,10.583005,10.535654,10.246951,9.165151,9.273618,11.747340,11.747340,10.198039,10.392305,11.532563,10.723805,9.539392,12.609520,9.746794
56.515485,35.397740,42.988371,38.509739,31.890437,0.000000,45.934736,34.014703,33.882149,31.968735,63.757353,34.219877,31.559468,31.591138,31.096624,35.099858,31.984371,41.255303,32.046841,31.749016,36.193922,33.793490,34.146742,35.693137,32.109189,32.710854,32.511536,31.859065,35.411862,44.418465,51.903757,41.725292,36.027767,49.739320,32.787193,34.117444,131.301180,51.536395,35.425979,32.557641,42.965102,60.266077,31.796226,32.741411,34.029399,32.109189,32.817678,33.301652,32.924155,32.233523,32.372828,31.400637,32.557641,32.511536,32.140317,32.388269,32.357379,32.357379,33.985291,32.000000,33.823069,33.120990,32.511536,32.171416,32.908965,34.756294,33.060551,32.939338,33.436507,32.171416,34.102786,32.249031,33.181320,33.526109,32.078030,32.787193,33.823069,32.603681,32.062439,32.465366,32.202484,32.093613,32.341923,36.000000,34.146742,32.000000,34.029399,32.542280,31.937439,31.827661,32.496154,32.062439,32.295511,32.326460,33.105891,32.832910,32.802439,32.832910,32.249031,32.863353,32.863353,31.968735,33.120990,32.664966,32.832910,32.434549,33.645208,32.954514,33.926391,33.615473,32.496154,32.233523,33.060551,32.695565,32.372828,32.496154,32.015621,32.140317,32.756679,31.764760,32.388269,31.827661,32.802439,32.557641,32.280025,32.893768,32.434549
62.289646,44.643029,55.928526,49.345719,41.892720,45.934736,0.000000,41.170378,42.118879,41.424630,63.710282,43.208795,41.303753,41.448764,40.607881,43.977267,42.059482,51.244512,41.773197,41.569219,44.090815,42.941821,42.426407,45.055521,41.701319,42.213742,42.178193,41.916584,44.339599,52.430907,59.279001,50.069951,48.600412,57.096410,42.673177,43.474130,133.274154,58.532043,44.687806,42.190046,50.635956,66.513157,41.677332,41.952354,43.428102,41.892720,42.201896,43.116122,42.473521,41.940434,42.237424,41.472883,42.190046,41.964271,41.821047,42.059482,41.988094,41.821047,43.669211,41.158231,43.011626,42.626283,42.107007,41.892720,42.461747,43.908997,42.626283,42.626283,42.895221,41.916584,43.531598,41.785165,42.649736,43.058100,41.988094,42.438190,43.243497,42.343831,41.809090,42.402830,41.892720,41.809090,41.785165,44.899889,43.634848,41.761226,43.335897,42.367440,41.785165,41.964271,42.142615,41.976184,42.059482,42.130749,42.638011,42.965102,42.332021,42.449971,42.000000,42.449971,42.520583,41.641326,42.766810,42.391037,42.614552,42.095130,43.150898,42.355637,43.208795,43.243497,42.190046,42.059482,42.766810,42.225585,41.713307,42.166337,41.988094,41.988094,42.296572,42.555846,42.201896,42.249260,42.544095,42.166337,42.000000,42.614552,42.095130
52.354560,26.153394,41.844952,32.403703,19.339080,34.014703,41.170378,0.000000,25.039968,18.947295,59.766211,23.579652,18.411953,18.248288,19.442222,23.600847,19.798990,33.808283,19.287302,18.520259,28.792360,22.113344,20.566964,27.440845,18.654758,19.924859,19.949937,19.235384,24.596748,39.673669,45.967380,34.409301,31.448370,43.669211,21.023796,23.000000,128.875909,45.771170,25.258662,19.773720,34.161382,55.090834,19.078784,20.420578,23.430749,19.183326,19.949937,22.494444,20.371549,19.339080,19.874607,18.841444,19.773720,20.000000,19.183326,20.396078,19.544820,19.235384,22.671568,20.371549,21.563859,21.447611,19.798990,19.131126,20.445048,23.302360,20.736441,20.832667,21.283797,19.287302,22.045408,19.570386,22.000000,21.748563,19.442222,20.493902,22.113344,20.049938,19.052559,20.273135,19.235384,19.773720,19.157244,25.159491,22.869193,18.947295,22.113344,20.542639,18.894444,19.849433,19.723083,19.519221,19.899749,19.849433,20.808652,21.470911,20.566964,20.566964,19.974984,20.518285,21.095023,19.519221,21.166010,20.493902,20.856654,19.570386,21.563859,20.712315,21.908902,21.610183,19.824228,19.697716,21.023796,20.099751,20.074860,19.924859,19.442222,19.390719,20.493902,20.639767,19.899749,20.000000,20.615528,20.074860,19.519221,21.142375,19.672316
53.758720,27.694765,43.104524,33.867388,21.610183,33.882149,42.118879,25.039968,0.000000,20.149442,60.390397,25.238859,20.346990,20.688161,20.223748,25.377155,22.113344,36.386811,21.610183,20.928450,26.645825,24.083189,22.583180,29.291637,21.142375,22.494444,21.702534,21.794495,26.419690,39.255573,47.159304,35.763109,33.376639,44.631827,22.956481,24.372115,130.468387,47.895720,27.586228,22.135944,36.221541,56.462377,21.424285,23.151674,25.179357,21.563859,22.293497,24.433583,22.671568,21.470911,22.135944,20.493902,21.908902,22.248595,21.517435,22.113344,21.840330,22.248595,24.433583,21.400935,23.874673,22.561028,21.840330,21.563859,22.649503,25.059928,22.427661,22.737634,23.323808,21.610183,24.392622,21.863211,23.173260,23.579652,21.563859,22.649503,24.166092,22.472205,21.400935,22.226111,21.563859,21.587033,21.633308,26.457513,24.041631,21.213203,23.832751,22.248595,21.166010,21.794495,21.954498,21.817424,22.068076,22.113344,22.538855,23.579652,22.000000,22.759613,21.863211,22.494444,23.194827,21.307276,23.302360,22.693611,22.847319,21.954498,23.790755,22.715633,23.600847,23.194827,21.817424,21.656408,23.130067,21.656408,21.633308,21.863211,21.702534,21.424285,22.472205,22.912878,21.931712,21.931712,22.803509,22.315914,21.863211,23.151674,21.954498
50.099900,19.924859,39.140772,28.017851,9.949874,31.968735,41.424630,18.947295,20.149442,0.000000,58.094750,17.635192,9.273618,7.874008,10.816654,17.606817,11.090537,32.403703,9.433981,8.485281,26.608269,15.491933,15.231546,23.706539,9.949874,12.247449,11.357817,9.643651,18.055470,36.565011,43.104524,28.231188,26.532998,39.597980,13.076697,16.062378,129.375423,43.931765,19.723083,10.862780,31.400637,53.535035,8.306624,14.212670,17.262677,9.949874,12.041595,13.076697,12.165525,10.148892,11.313708,9.380832,11.135529,10.816654,9.643651,11.445523,10.535654,11.357817,15.842980,12.409674,14.491377,13.892444,11.000000,9.949874,12.124356,16.492423,13.000000,12.369317,13.416408,10.049876,15.329710,10.583005,14.247807,13.784049,10.148892,12.288206,14.764823,11.532563,9.591663,11.832160,10.148892,10.583005,10.488088,19.078784,15.491933,9.380832,15.033296,11.618950,9.486833,11.180340,10.954451,10.099505,10.049876,10.723805,12.727922,13.784049,12.649111,12.000000,11.489125,11.916375,13.266499,10.198039,13.304135,11.532563,12.569805,10.770330,14.212670,12.409674,14.525839,14.628739,11.135529,10.344080,13.152946,11.532563,11.489125,10.862780,10.344080,10.344080,12.206556,12.288206,11.180340,11.357817,12.409674,10.954451,10.198039,13.416408,10.770330
