# Buddhist_ch1,Buddhist_ch2,Buddhist_ch3,Buddhist_ch4,Buddhist_ch5,Buddhist_ch6,Buddhist_ch7,Buddhist_ch8,Buddhist_ch9,Buddhist_ch10,Buddhist_ch11,Buddhist_ch12,Buddhist_ch13,Buddhist_ch14,Buddhist_ch15,Buddhist_ch16,Buddhist_ch17,Buddhist_ch18,Buddhist_ch19,Buddhist_ch20,Buddhist_ch21,Buddhist_ch22,Buddhist_ch23,Buddhist_ch24,Buddhist_ch25,Buddhist_ch26,Buddhist_ch27,Buddhist_ch28,Buddhist_ch29,Buddhist_ch30,Buddhist_ch31,Buddhist_ch32,Buddhist_ch33,Buddhist_ch34,Buddhist_ch35,Buddhist_ch36,Buddhist_ch37,Buddhist_ch38,Buddhist_ch39,Buddhist_ch40,Buddhist_ch41,Buddhist_ch42,Buddhist_ch43,Buddhist_ch44,Buddhist_ch45,Buddhist_ch46,TaoTeChing_ch1,TaoTeChing_ch2,TaoTeChing_ch3,TaoTeChing_ch4,TaoTeChing_ch5,TaoTeChing_ch6,TaoTeChing_ch7,TaoTeChing_ch8,TaoTeChing_ch9,TaoTeChing_ch10,TaoTeChing_ch11,TaoTeChing_ch12,TaoTeChing_ch13,TaoTeChing_ch14,TaoTeChing_ch15,TaoTeChing_ch16,TaoTeChing_ch17,TaoTeChing_ch18,TaoTeChing_ch19,TaoTeChing_ch20,TaoTeChing_ch21,TaoTeChing_ch22,TaoTeChing_ch23,TaoTeChing_ch24,TaoTeChing_ch25,TaoTeChing_ch26,TaoTeChing_ch27,TaoTeChing_ch28,TaoTeChing_ch29,TaoTeChing_ch30,TaoTeChing_ch31,TaoTeChing_ch32,TaoTeChing_ch33,TaoTeChing_ch34,TaoTeChing_ch35,TaoTeChing_ch36,TaoTeChing_ch37,TaoTeChing_ch38,TaoTeChing_ch39,TaoTeChing_ch40,TaoTeChing_ch41,TaoTeChing_ch42,TaoTeChing_ch43,TaoTeChing_ch44,TaoTeChing_ch45,TaoTeChing_ch46,TaoTeChing_ch47,TaoTeChing_ch48,TaoTeChing_ch49,TaoTeChing_ch50,TaoTeChing_ch51,TaoTeChing_ch52,TaoTeChing_ch53,TaoTeChing_ch54,TaoTeChing_ch55,TaoTeChing_ch56,TaoTeChing_ch57,TaoTeChing_ch58,TaoTeChing_ch59,TaoTeChing_ch60,TaoTeChing_ch61,TaoTeChing_ch62,TaoTeChing_ch63,TaoTeChing_ch64,TaoTeChing_ch65,TaoTeChing_ch66,TaoTeChing_ch67,TaoTeChing_ch68,TaoTeChing_ch69,TaoTeChing_ch70,TaoTeChing_ch71,TaoTeChing_ch72,TaoTeChing_ch73,TaoTeChing_ch74,TaoTeChing_ch75,TaoTeChing_ch76,TaoTeChing_ch77,TaoTeChing_ch78,TaoTeChing_ch79,TaoTeChing_ch80,TaoTeChing_ch81
1.790702,3.452093,3.552447,4.238732,inf,3.133504,3.037102,3.359997,4.394068,3.306692,3.917107,2.654361,inf,nan,2.449293,inf,inf,4.640306,3.460434,inf,3.400874,3.430122,3.541694,3.287406,inf,3.434907,3.380902,3.764837,3.427802,3.498837,2.945232,3.313621,3.503001,3.444040,3.169474,3.172389,3.209565,3.448088,3.330638,3.653266,4.073141,3.482164,3.235142,3.195120,3.222154,4.250227,4.028974,3.166541,3.195120,3.156140,2.957408,inf,4.320766,3.821502,3.397853,4.146174,4.307432,3.774739,3.423833,3.500575,4.394068,3.212265,3.397853,4.047494,3.288171,inf,3.483778,4.099265,3.667351,4.307432,3.562105,3.245162,4.060316,4.080473,3.432349,3.852281,4.125497,3.331087,3.581715,3.387952,4.680328,4.346413,3.369274,4.843039,3.393561,3.653266,3.952184,3.718780,3.338961,3.600585,4.213561,3.947159,3.758126,3.474928,inf,4.408994,inf,3.460434,3.762610,3.541694,4.091000,3.324035,3.202213,4.242593,3.226381,inf,4.153582,3.640607,3.359372,3.081592,3.437874,3.689426,3.534701,3.898577,3.378983,2.748211,2.584513,3.235142,3.896020,3.469403,4.705333,4.751878,2.986253,3.691746,3.912663,3.450533,2.789655
3.452093,1.742436,2.035770,2.169842,inf,3.149398,3.227889,inf,3.790775,2.997292,3.620366,3.479303,inf,nan,3.266791,inf,2.352809,2.271388,3.059874,2.336414,2.907262,2.749754,3.578868,3.954351,3.124183,3.106637,3.470756,2.559558,2.587966,2.958920,3.618889,2.965095,2.877173,3.294876,3.075465,3.667708,3.576361,3.593794,3.387045,inf,3.646934,3.561917,2.579168,3.329949,2.483188,3.738095,3.772254,3.059874,3.179614,3.245994,3.446016,inf,3.808634,3.242604,3.363476,3.287468,3.592567,4.302327,4.521138,3.420941,3.679203,3.194438,inf,4.084668,inf,inf,3.115487,3.240559,3.376135,inf,3.522203,3.512102,3.369846,4.261488,3.435027,3.745614,3.232294,4.061408,inf,2.746905,inf,3.834281,3.203715,3.984333,3.614597,3.284974,3.666044,3.075465,inf,3.040798,inf,3.578868,2.859399,3.309369,inf,3.550289,3.232294,3.406447,4.002517,3.896862,3.578868,3.423790,4.467754,3.618889,3.626523,inf,4.099595,3.618889,2.927411,3.449953,3.272316,3.523867,3.774607,inf,inf,3.323455,3.354855,2.969248,3.618889,3.893172,4.193200,3.266791,3.637759,3.088453,3.512102,4.180854,3.722709
3.552447,2.035770,1.587219,1.947873,3.279099,2.492109,3.565308,3.161940,3.379434,3.625672,3.223661,4.107684,4.004515,nan,3.481831,inf,2.053040,2.134360,3.230109,inf,2.566747,2.779013,3.542680,3.263203,3.059416,2.803408,4.301869,2.510665,2.523199,2.364367,2.742311,2.404898,2.666451,2.454558,2.807966,3.235957,3.151457,3.399596,3.279999,2.796558,3.523275,3.090452,3.351390,3.209569,2.329717,inf,4.603367,3.640599,3.067192,inf,4.532542,3.274314,3.632295,3.365183,3.410281,4.027420,4.423680,3.611179,3.998226,3.846589,4.307583,3.822818,3.410281,3.393520,inf,4.154568,3.541134,3.777778,4.207248,inf,3.534512,inf,3.651652,3.850148,4.174979,3.569275,3.202024,4.343215,3.900696,3.187938,3.477047,4.116087,3.341680,3.986332,3.843724,inf,3.448587,3.666792,inf,3.239078,4.532542,4.063407,3.141205,4.049321,3.194561,3.832095,3.692438,3.923256,3.276872,3.485522,3.514101,3.817169,3.853681,4.012267,3.326754,4.437014,4.034828,4.796575,3.737244,3.779415,3.900696,3.299873,3.709840,3.668251,3.620888,3.860674,3.381249,3.645283,3.319120,3.548597,3.925701,3.548597,3.067192,3.413765,3.288108,3.710622,3.031560
4.238732,2.169842,1.947873,1.568108,3.090784,2.788929,4.590868,4.124918,4.433573,inf,3.330230,3.317382,inf,nan,inf,inf,1.875252,2.211227,inf,2.429906,2.735995,2.815461,3.966253,3.634504,3.140599,3.056288,4.113554,2.796891,2.459855,2.580932,3.645615,2.997906,2.754004,2.647565,3.478477,3.963933,3.534840,3.687286,3.374882,3.090784,3.114044,2.912088,3.163075,3.453753,2.485519,inf,4.068479,3.958085,3.325786,3.542218,4.344227,4.058954,3.699393,4.375816,3.915113,3.559297,4.235365,inf,inf,4.004848,3.426121,3.634504,inf,inf,4.068479,inf,2.979212,4.138770,3.672360,inf,4.039344,inf,4.614630,4.701554,4.333237,4.185679,3.783931,4.501474,4.058954,3.287305,inf,inf,3.499939,inf,3.833746,3.927772,3.260272,3.478477,inf,3.986664,4.344227,inf,3.262410,3.514433,inf,3.566705,3.672360,4.539660,inf,4.193086,3.605594,4.322001,inf,4.517100,4.178160,inf,inf,3.803542,3.548929,4.395819,3.365807,inf,3.868099,inf,4.058954,4.221666,inf,3.456968,4.517100,inf,inf,3.986664,inf,3.731251,inf,4.274346,inf
inf,inf,3.279099,3.090784,0.851264,2.903662,3.717719,inf,3.704265,2.708050,3.920452,3.046220,inf,nan,3.257356,3.020127,inf,3.492358,2.077485,inf,3.014139,inf,inf,3.251770,inf,inf,inf,inf,inf,3.781990,inf,inf,3.384247,3.666512,inf,inf,3.654104,inf,inf,inf,3.704265,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.983073,inf,inf,inf,inf,inf,3.319938,inf,3.131699,inf,inf,inf,inf,2.992597,inf,2.682404,inf,inf,inf,3.512769,inf,inf,3.279099,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.656610,2.682404,inf,3.257356,inf,inf,inf,inf,inf,2.567899,3.054624,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.185806,inf,inf,inf,inf,3.138791,inf,inf,inf,2.921772,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3.133504,3.149398,2.492109,2.788929,2.903662,2.044292,2.601985,2.759948,2.631587,2.976963,3.123997,2.723786,2.852404,nan,2.613147,3.193513,3.020392,2.702193,3.360472,inf,2.678441,3.058997,3.297890,2.929335,3.536352,3.374966,3.739085,3.003997,3.936037,2.998194,3.394576,3.099766,2.691612,3.461734,3.383815,3.621733,3.390057,3.166143,3.397028,inf,3.499488,3.627513,2.932447,3.326944,3.297890,4.150264,4.387156,3.252916,inf,inf,3.623184,2.905413,inf,3.798615,3.887218,3.434324,3.860896,3.615885,3.547014,3.054039,4.437946,3.495036,inf,inf,inf,inf,3.874230,3.652728,4.337611,4.554043,3.867607,3.924272,3.323870,4.047276,3.553303,3.955051,4.193770,3.847196,inf,3.350571,4.031059,3.310549,inf,4.193770,3.842905,inf,4.704596,3.450581,3.788305,3.062888,inf,3.441731,3.455431,3.553303,4.567377,3.269311,3.644464,3.818617,3.441731,4.309032,3.577698,3.358204,3.840203,3.737165,3.600958,inf,3.885383,4.031059,4.214181,3.909778,4.377632,3.656229,3.840203,inf,3.572913,3.991037,3.217719,3.775646,3.636830,2.771315,3.709490,3.022867,3.770121,3.847196,4.068113,3.522991,inf
3.037102,3.227889,3.565308,4.590868,3.717719,2.601985,1.696077,2.363694,2.447634,2.677998,2.493477,2.597004,2.651376,nan,2.435244,2.990075,3.622542,3.182498,3.230994,inf,2.538601,2.925659,2.866609,2.969440,3.151462,3.192808,3.844609,3.626558,3.694988,3.058790,inf,3.338948,3.722048,3.983033,4.182487,3.694988,3.220907,3.246869,3.529586,inf,3.451070,3.844609,3.096862,3.116742,3.315186,inf,3.544121,3.545299,inf,inf,inf,3.096862,inf,3.336649,3.646169,3.396007,3.619847,3.230994,inf,2.762948,3.797643,3.456720,4.195475,inf,inf,inf,4.038646,4.072557,4.502027,inf,4.522438,3.380155,3.265943,4.635341,4.267025,4.263308,4.613599,4.435261,inf,4.116973,3.848901,3.235179,3.322155,4.155453,4.393915,inf,4.666279,3.835913,inf,3.462306,inf,4.155453,3.619847,4.141368,inf,inf,3.514986,3.924142,3.480490,4.473448,3.683223,3.185756,4.495034,4.104314,4.255789,inf,4.473448,3.646169,3.973132,inf,inf,4.244294,inf,4.106872,3.096862,4.155453,inf,inf,3.514986,4.267025,inf,inf,inf,3.731804,4.232529,3.749988,inf
3.359997,inf,3.161940,4.124918,inf,2.759948,2.363694,1.584565,2.492212,2.499731,3.005286,2.477628,2.532000,nan,2.625388,2.590892,3.961312,2.402245,inf,inf,2.502752,2.629873,2.426640,2.859588,2.573941,2.726859,3.927966,3.049037,inf,3.451109,3.806601,inf,3.407239,inf,inf,inf,2.912154,2.952392,3.392026,3.598343,2.928456,3.360476,inf,2.891279,3.461125,3.992572,3.130852,inf,3.892237,inf,3.812065,3.526793,3.716538,3.843655,3.382952,4.346664,3.356630,2.856206,3.735895,3.217273,3.331694,3.592757,inf,3.645998,inf,inf,3.461125,3.750449,3.833345,inf,3.083534,inf,4.429042,inf,3.801076,4.346664,inf,3.511167,inf,3.507183,3.382952,inf,3.034543,3.780665,4.274540,inf,3.853756,inf,3.486772,4.147649,4.158639,inf,inf,inf,inf,inf,3.598343,3.804766,3.910420,inf,4.459727,4.136413,inf,inf,4.339146,3.716538,3.314351,4.076099,3.430107,3.458192,4.219940,inf,4.375658,inf,inf,inf,inf,4.076099,3.526793,3.801076,inf,inf,inf,3.892237,4.113153,4.088758,inf
4.394068,3.790775,3.379434,4.433573,3.704265,2.631587,2.447634,2.492212,1.670919,2.182004,3.047832,2.496914,2.264315,nan,2.268425,2.630048,inf,2.771580,inf,inf,2.242296,2.709473,2.506582,3.016058,2.751413,3.120463,2.791435,inf,4.577414,2.891824,inf,inf,4.583194,4.204581,3.567047,3.223389,3.371060,3.833613,inf,inf,3.330060,3.831156,inf,3.214860,3.364314,inf,3.362431,4.224992,inf,3.462552,3.917987,2.562682,3.364314,3.949577,3.488874,3.210133,3.462552,inf,3.383672,2.682728,3.784190,2.910910,3.377302,inf,inf,3.886587,2.985471,3.307065,3.683854,inf,3.536029,inf,2.989443,3.726008,3.357692,4.106013,inf,4.421808,inf,3.154959,3.488874,3.043387,3.420273,3.219086,3.181514,3.501533,3.410372,3.172818,3.246120,3.213851,3.917987,inf,3.809126,inf,3.017741,inf,2.875151,3.910688,3.211623,3.655275,4.219075,2.999882,inf,inf,3.640349,inf,3.655275,3.632715,3.122690,3.140465,3.352907,3.257885,4.135007,2.942125,2.971837,3.169045,3.917987,3.209066,3.286141,inf,3.402307,3.280616,inf,3.998159,inf,3.736535,inf
3.306692,2.997292,3.625672,inf,2.708050,2.976963,2.677998,2.499731,2.182004,1.337630,2.808140,2.150340,inf,nan,2.217636,2.326980,inf,2.799211,2.221326,inf,2.667566,2.262564,2.263990,3.049037,2.691099,2.876286,inf,2.270316,3.234625,3.579257,inf,2.016051,2.691099,2.596478,inf,inf,2.875032,3.221025,3.618530,2.851891,3.198465,4.024714,1.740620,3.214860,inf,inf,inf,2.189056,inf,inf,inf,inf,inf,2.606788,2.636500,2.763224,2.812910,inf,inf,3.020127,3.592694,3.251770,inf,inf,inf,inf,inf,2.716315,3.145785,inf,3.166196,inf,2.989443,3.076366,2.910783,inf,inf,3.079019,inf,2.963463,3.185806,2.851891,inf,3.348517,3.037673,inf,inf,2.682404,inf,inf,inf,2.799211,2.263604,2.785126,inf,inf,inf,2.837397,inf,3.117205,inf,2.899546,inf,2.748072,3.102279,inf,3.117205,3.185806,2.963463,inf,inf,2.776480,inf,inf,inf,2.799211,inf,inf,2.983073,2.910783,inf,inf,inf,2.655370,2.876286,inf,inf
