# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50
0.000000,31.032241,37.363083,40.261644,35.749126,45.519227,47.402532,39.522146,39.887341,36.606010,39.281039,39.179076,44.687806,36.055513,31.749016,35.679126,34.799425,36.646964,33.926391,39.849718,37.881394,38.845849,36.414283,38.366652,39.217343,37.682887,38.652296,38.781439,40.360872,37.616486,41.073106,38.275318,38.884444,35.298725,35.665109,44.687806,40.963398,38.157568,38.013156,35.284558,37.322915,38.379682,36.166283,38.327536,41.073106,38.418745,44.643029,38.052595,37.828561,36.837481
31.032241,0.000000,34.394767,33.196385,25.826343,42.178193,39.698866,30.708305,31.336879,32.817678,34.467376,29.427878,40.024992,30.773365,30.083218,31.432467,28.460499,30.397368,29.427878,35.256205,34.058773,32.924155,32.603681,36.097091,31.953091,30.935417,32.078030,32.848135,32.984845,28.913665,36.027767,30.033315,30.870698,29.068884,25.787594,34.985711,34.190642,36.013886,36.441734,28.319605,30.232433,31.559468,31.448370,30.199338,33.376639,29.240383,38.935845,28.266588,31.780497,29.086079
37.363083,34.394767,0.000000,34.770677,33.763886,38.131352,41.436699,35.749126,35.000000,36.742346,33.808283,34.626579,38.948684,30.626786,29.966648,30.838288,34.073450,32.480764,31.000000,35.156792,34.856850,35.594943,32.218007,38.548671,38.678159,35.608988,32.310989,33.286634,34.684290,32.511536,35.000000,32.233523,34.785054,34.146742,35.468296,39.585351,35.944402,34.088121,35.986108,32.848135,31.764760,36.455452,35.440090,37.749172,41.024383,39.849718,44.237993,37.067506,38.974351,36.891733
40.261644,33.196385,34.770677,0.000000,28.513155,35.114100,30.886890,31.890437,28.425341,39.281039,36.249138,31.432467,39.038443,31.953091,36.755952,36.715120,34.234486,31.400637,31.208973,38.275318,37.013511,38.157568,37.643060,40.385641,35.425979,36.400549,33.778692,33.301652,31.208973,29.325757,36.414283,28.106939,31.064449,36.207734,33.570821,29.597297,31.128765,38.948684,43.520110,35.071356,32.710854,38.600518,39.408121,36.496575,39.648455,37.986840,41.400483,34.914181,39.370039,33.496268
35.749126,25.826343,33.763886,28.513155,0.000000,38.574603,36.565011,23.958297,25.357445,35.496479,31.701735,23.515952,36.510273,28.142495,31.176915,30.805844,26.888659,28.089144,25.865034,31.559468,30.903074,29.782545,34.669872,34.467376,29.189039,27.531800,28.670542,30.724583,29.103264,25.000000,33.391616,26.057628,28.390139,28.142495,24.000000,29.916551,29.563491,35.832946,37.589892,26.851443,27.110883,29.580399,30.000000,25.514702,31.000000,27.531800,37.589892,23.280893,30.675723,26.438608
45.519227,42.178193,38.131352,35.114100,38.574603,0.000000,33.241540,38.131352,32.419130,46.195238,39.382737,35.397740,39.937451,38.078866,41.521079,44.305756,42.485292,37.027017,36.918830,43.908997,43.783559,41.170378,42.988371,47.455242,44.045431,45.738387,35.608988,37.336309,36.945906,38.845849,38.118237,31.701735,34.088121,45.276926,42.988371,36.235342,35.665109,42.638011,48.672374,42.602817,40.484565,45.464272,46.690470,46.378875,48.528342,47.328638,46.529560,45.099889,48.590122,41.170378
47.402532,39.698866,41.436699,30.886890,36.565011,33.241540,0.000000,36.864617,32.031235,45.945620,40.398020,35.637059,41.880783,41.146081,46.421978,45.563143,41.303753,37.815341,38.910153,46.850827,45.869380,44.407207,45.110974,49.162994,41.557190,44.732538,40.385641,39.962482,37.973675,37.682887,41.448764,31.336879,32.878564,44.170126,39.837169,30.757113,37.080992,45.902070,52.249402,44.158804,40.570926,43.081318,47.655010,44.136153,46.130250,44.530888,43.358967,42.953463,45.541190,39.242834
39.522146,30.708305,35.749126,31.890437,23.958297,38.131352,36.864617,0.000000,24.919872,34.322005,27.549955,22.825424,30.049958,29.427878,33.226495,33.689761,28.757608,28.618176,26.851443,31.336879,31.288976,29.816103,36.386811,38.366652,28.460499,30.000000,29.359837,32.310989,28.089144,24.433583,31.064449,25.592968,28.319605,29.325757,26.944387,31.701735,27.748874,38.470768,41.412558,30.083218,27.331301,28.618176,34.554305,28.160256,32.908965,30.331502,40.385641,25.612497,33.211444,29.410882
39.887341,31.336879,35.000000,28.425341,25.357445,32.419130,32.031235,24.919872,0.000000,37.242449,31.968735,26.495283,35.608988,30.512293,34.741906,35.355339,31.527766,30.232433,28.705400,35.510562,35.128336,33.793490,35.369478,39.255573,29.444864,31.352831,29.681644,30.282008,29.529646,27.964263,30.854497,25.768197,27.073973,32.634338,31.096624,27.239677,29.274562,38.196859,42.520583,31.654384,30.000000,32.649655,35.651087,33.045423,36.193922,35.284558,39.446166,30.838288,36.742346,31.780497
36.606010,32.817678,36.742346,39.281039,35.496479,46.195238,45.945620,34.322005,37.242449,0.000000,32.939338,36.810325,38.431758,31.527766,29.257478,32.695565,32.603681,31.128765,31.128765,33.105891,33.331667,35.763109,33.015148,38.600518,35.777088,33.793490,34.146742,33.496268,35.256205,33.570821,35.482390,36.152455,35.411862,30.724583,34.234486,41.436699,34.669872,36.905284,37.986840,33.181320,33.985291,35.958309,35.468296,35.707142,36.864617,35.749126,45.310043,34.263683,36.537652,37.589892
39.281039,34.467376,33.808283,36.249138,31.701735,39.382737,40.398020,27.549955,31.968735,32.939338,0.000000,29.291637,33.226495,28.757608,31.921779,31.591138,30.133038,27.640550,29.257478,31.764760,34.029399,34.438351,34.568772,39.761791,33.331667,32.264532,30.116441,33.000000,31.208973,30.199338,32.619013,30.626786,30.116441,30.248967,33.271610,36.469165,31.000000,37.643060,38.858718,32.465366,29.495762,32.124757,35.846897,35.128336,37.709415,35.114100,42.071368,33.211444,36.932371,34.029399
39.179076,29.427878,34.626579,31.432467,23.515952,35.397740,35.637059,22.825424,26.495283,36.810325,29.291637,0.000000,32.526912,27.874720,32.756679,33.852622,28.565714,28.071338,27.531800,32.511536,33.045423,30.886890,36.810325,37.669616,30.479501,29.240383,29.376862,33.060551,27.964263,25.019992,32.802439,25.059928,27.874720,30.935417,25.748786,31.048349,29.512709,37.134889,39.115214,30.854497,26.944387,29.698485,33.570821,28.248894,33.075671,30.413813,40.398020,26.172505,33.105891,27.892651
44.687806,40.024992,38.948684,39.038443,36.510273,39.937451,41.880783,30.049958,35.608988,38.431758,33.226495,32.526912,0.000000,36.345564,38.974351,40.669399,38.548671,34.467376,33.045423,39.051248,39.038443,38.961519,41.605288,45.683695,39.281039,38.974351,36.510273,37.749172,34.669872,33.852622,35.327043,32.741411,33.719431,37.934153,38.716921,39.319207,34.741906,42.649736,46.882833,39.774364,35.071356,38.262253,42.485292,41.255303,44.452222,42.508823,47.455242,39.484174,44.000000,39.166312
36.055513,30.773365,30.626786,31.953091,28.142495,38.078866,41.146081,29.427878,30.512293,31.527766,28.757608,27.874720,36.345564,0.000000,24.617067,28.089144,29.410882,27.221315,25.199206,26.907248,28.861739,30.773365,29.866369,33.286634,33.615473,28.913665,26.191602,28.774989,29.274562,25.632011,30.838288,28.231188,30.594117,28.809721,28.948230,36.972963,28.913665,29.154759,31.384710,26.702060,25.903668,33.331667,29.631065,31.638584,34.828150,34.380227,43.829214,29.120440,35.284558,31.160873
31.749016,30.083218,29.966648,36.755952,31.176915,41.521079,46.421978,33.226495,34.741906,29.257478,31.921779,32.756679,38.974351,24.617067,0.000000,26.962938,30.215890,29.849623,26.627054,25.651511,27.331301,31.764760,27.092434,31.368774,35.383612,30.166206,27.313001,30.463092,32.695565,29.816103,32.848135,32.140317,34.496377,29.631065,30.724583,41.436699,33.645208,28.705400,26.514147,26.925824,28.372522,35.256205,28.844410,32.449961,35.986108,35.014283,44.754888,31.685959,35.707142,32.939338
35.679126,31.432467,30.838288,36.715120,30.805844,44.305756,45.563143,33.689761,35.355339,32.695565,31.591138,33.852622,40.669399,28.089144,26.962938,0.000000,28.844410,28.809721,28.879058,30.935417,30.789609,33.316662,31.921779,34.597688,35.958309,30.545049,31.416556,33.361655,34.496377,30.724583,35.327043,34.351128,34.885527,29.171904,31.064449,39.648455,33.808283,33.120990,31.080541,28.178006,28.982753,33.376639,28.965497,33.585711,36.523965,34.394767,43.908997,31.890437,34.088121,34.641016
34.799425,28.460499,34.073450,34.234486,26.888659,42.485292,41.303753,28.757608,31.527766,32.603681,30.133038,28.565714,38.548671,29.410882,30.215890,28.844410,0.000000,28.213472,29.631065,33.481338,32.802439,31.843367,33.896903,34.942810,31.352831,28.266588,31.384710,33.896903,33.075671,28.425341,34.525353,31.811947,30.838288,27.622455,26.589472,35.608988,32.078030,35.902646,36.000000,29.597297,29.257478,28.982753,30.577770,27.055499,28.705400,27.331301,36.851052,25.903668,29.765752,29.597297
36.646964,30.397368,32.480764,31.400637,28.089144,37.027017,37.815341,28.618176,30.232433,31.128765,27.640550,28.071338,34.467376,27.221315,29.849623,28.809721,28.213472,0.000000,27.459060,31.606961,32.465366,32.124757,32.664966,37.881394,33.331667,30.773365,30.380915,30.643107,29.563491,28.284271,31.874755,28.495614,29.916551,30.479501,30.149627,32.832910,30.248967,34.626579,37.067506,30.265492,29.899833,32.863353,34.452866,33.045423,36.851052,34.190642,40.546270,31.827661,34.409301,31.874755
33.926391,29.427878,31.000000,31.208973,25.865034,36.918830,38.910153,26.851443,28.705400,31.128765,29.257478,27.531800,33.045423,25.199206,26.627054,28.879058,29.631065,27.459060,0.000000,27.073973,27.748874,28.106939,31.160873,34.828150,29.983329,29.546573,26.248809,29.849623,28.879058,25.573424,31.591138,27.820855,28.930952,28.548205,29.171904,33.852622,26.814175,32.109189,35.496479,28.035692,27.349589,31.780497,31.384710,31.432467,35.496479,33.211444,42.708313,29.206164,34.263683,30.919250
39.849718,35.256205,35.156792,38.275318,31.559468,43.908997,46.850827,31.336879,35.510562,33.105891,31.764760,32.511536,39.051248,26.907248,25.651511,30.935417,33.481338,31.606961,27.073973,0.000000,25.748786,30.049958,31.176915,35.355339,35.972211,31.654384,27.239677,33.136083,33.030289,29.647934,34.336569,33.151169,35.355339,29.899833,32.093613,41.677332,31.717503,32.680269,32.726136,27.982137,29.206164,35.256205,31.496031,33.570821,37.643060,36.331804,47.968740,31.685959,38.039453,34.423829
