# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50
0.000000,0.839695,0.825658,0.864048,0.848000,0.843658,0.853591,0.888489,0.879310,0.849359,0.864162,0.905797,0.897833,0.864238,0.831418,0.848101,0.839744,0.840125,0.880259,0.885449,0.878419,0.886957,0.847368,0.879896,0.848684,0.878049,0.880682,0.883792,0.885886,0.899054,0.867435,0.854237,0.859649,0.898462,0.881944,0.890625,0.869301,0.864362,0.867232,0.882353,0.899023,0.869436,0.900850,0.897260,0.865269,0.897833,0.883772,0.884746,0.882353,0.875776
0.839695,0.000000,0.835766,0.869565,0.863636,0.846906,0.877976,0.875519,0.878906,0.873684,0.862179,0.852174,0.891986,0.882784,0.873418,0.852113,0.855124,0.843206,0.907801,0.930233,0.870307,0.901587,0.860399,0.913889,0.893617,0.907285,0.887500,0.880137,0.882550,0.889286,0.873016,0.854962,0.857143,0.888889,0.864000,0.875887,0.879195,0.882184,0.883077,0.900322,0.916968,0.893548,0.923077,0.928302,0.892857,0.895833,0.896956,0.926199,0.902736,0.834532
0.825658,0.835766,0.000000,0.832836,0.877778,0.856742,0.856383,0.886598,0.888889,0.863222,0.847458,0.903114,0.885886,0.863492,0.844765,0.851515,0.857576,0.843844,0.882353,0.887240,0.867257,0.888579,0.847328,0.900990,0.866460,0.905714,0.873278,0.888889,0.868035,0.893617,0.879121,0.853896,0.852691,0.879880,0.880399,0.892216,0.887931,0.872449,0.869565,0.884181,0.879365,0.881356,0.916667,0.905844,0.905556,0.885886,0.901468,0.900958,0.910526,0.877976
0.864048,0.869565,0.832836,0.000000,0.870175,0.864000,0.851662,0.856667,0.891975,0.883523,0.849057,0.891089,0.879310,0.877976,0.873754,0.875706,0.858790,0.858757,0.888889,0.896359,0.861582,0.888298,0.859903,0.923256,0.860534,0.901639,0.873684,0.891667,0.868715,0.893064,0.864362,0.862385,0.872340,0.898876,0.880503,0.878963,0.884615,0.902381,0.873057,0.887097,0.909091,0.881402,0.934343,0.914634,0.910290,0.907563,0.887295,0.926036,0.922886,0.862069
0.848000,0.863636,0.877778,0.870175,0.000000,0.854237,0.902736,0.886463,0.880165,0.898917,0.873754,0.882883,0.917563,0.896947,0.874439,0.872727,0.880000,0.871429,0.885496,0.887273,0.866906,0.892617,0.883721,0.925501,0.874525,0.913495,0.892508,0.864964,0.887719,0.931159,0.881188,0.868526,0.876254,0.890511,0.892562,0.909420,0.888112,0.906158,0.912226,0.909699,0.903475,0.910000,0.932907,0.923695,0.937908,0.929078,0.908873,0.921569,0.941718,0.888087
0.843658,0.846906,0.856742,0.864000,0.854237,0.000000,0.879518,0.863924,0.856707,0.873278,0.861183,0.882540,0.875346,0.873926,0.836066,0.875000,0.861878,0.849315,0.881356,0.894879,0.852055,0.845745,0.875576,0.901376,0.847262,0.905759,0.843750,0.859890,0.843407,0.869688,0.872774,0.858824,0.860104,0.888283,0.902655,0.875000,0.837466,0.893271,0.872500,0.862434,0.888252,0.874674,0.913151,0.924855,0.879896,0.902703,0.866126,0.917143,0.915459,0.871233
0.853591,0.877976,0.856383,0.851662,0.902736,0.879518,0.000000,0.899135,0.866097,0.841823,0.863415,0.887240,0.885714,0.878706,0.878338,0.861979,0.855263,0.869898,0.882667,0.886889,0.886650,0.906699,0.859375,0.901532,0.877984,0.911111,0.874699,0.885496,0.881612,0.886544,0.863415,0.870879,0.845387,0.871728,0.848397,0.867725,0.858974,0.842593,0.866029,0.897810,0.877049,0.865000,0.925408,0.887324,0.886700,0.911168,0.876448,0.910569,0.894614,0.878866
0.888489,0.875519,0.886598,0.856667,0.886463,0.863924,0.899135,0.000000,0.841270,0.879725,0.831169,0.893004,0.886207,0.884892,0.880658,0.874150,0.880952,0.857627,0.897887,0.887755,0.864865,0.856678,0.890411,0.946809,0.875887,0.901639,0.896024,0.878378,0.865772,0.902778,0.875000,0.853383,0.898148,0.920266,0.909434,0.889655,0.873754,0.893258,0.891566,0.891374,0.898917,0.909091,0.943452,0.937500,0.918750,0.926910,0.918182,0.927536,0.932945,0.884746
0.879310,0.878906,0.888889,0.891975,0.880165,0.856707,0.866097,0.841270,0.000000,0.875000,0.867470,0.877953,0.884868,0.875862,0.879377,0.891374,0.876221,0.875796,0.865517,0.889968,0.882540,0.887879,0.859079,0.927083,0.851724,0.896226,0.884615,0.866450,0.883281,0.889632,0.867470,0.865724,0.855828,0.892857,0.886861,0.873333,0.843648,0.903743,0.902857,0.883077,0.857651,0.880000,0.924638,0.933566,0.906344,0.933962,0.899329,0.905263,0.917847,0.901274
0.849359,0.873684,0.863222,0.883523,0.898917,0.873278,0.841823,0.879725,0.875000,0.000000,0.854749,0.907534,0.879880,0.878505,0.870175,0.879412,0.885294,0.858407,0.869159,0.887906,0.877907,0.916216,0.870968,0.912195,0.870769,0.896848,0.870879,0.892754,0.881844,0.910714,0.870523,0.865815,0.866295,0.906706,0.888525,0.876133,0.882184,0.867347,0.879357,0.897222,0.914373,0.888268,0.934211,0.899351,0.871795,0.886567,0.901879,0.894569,0.913838,0.878698
