# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12
1.000000,0.520456,0.305159,0.470298,0.368760,0.422976,0.363264,0.426958,0.382659,0.307335,0.222341,0.372960
0.520456,1.000000,0.322024,0.482600,0.409487,0.493692,0.532956,0.495747,0.495485,0.399263,0.288733,0.382042
0.305159,0.322024,1.000000,0.249514,0.320825,0.314524,0.404719,0.365561,0.364435,0.206353,0.241919,0.286951
0.470298,0.482600,0.249514,1.000000,0.380190,0.477328,0.417797,0.458854,0.443010,0.384045,0.353611,0.416381
0.368760,0.409487,0.320825,0.380190,1.000000,0.529695,0.460660,0.425152,0.438970,0.421184,0.460944,0.493911
0.422976,0.493692,0.314524,0.477328,0.529695,1.000000,0.498709,0.505478,0.448658,0.400320,0.331450,0.384373
0.363264,0.532956,0.404719,0.417797,0.460660,0.498709,1.000000,0.525624,0.569019,0.423488,0.373983,0.411508
0.426958,0.495747,0.365561,0.458854,0.425152,0.505478,0.525624,1.000000,0.569380,0.366513,0.342555,0.440516
0.382659,0.495485,0.364435,0.443010,0.438970,0.448658,0.569019,0.569380,1.000000,0.431702,0.465080,0.459839
0.307335,0.399263,0.206353,0.384045,0.421184,0.400320,0.423488,0.366513,0.431702,1.000000,0.470839,0.518354
0.222341,0.288733,0.241919,0.353611,0.460944,0.331450,0.373983,0.342555,0.465080,0.470839,1.000000,0.600616
0.372960,0.382042,0.286951,0.416381,0.493911,0.384373,0.411508,0.440516,0.459839,0.518354,0.600616,1.000000
