# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12
0.000000,24.289916,38.561639,20.024984,26.000000,19.078784,29.478806,24.899799,26.795522,23.874673,26.514147,25.039968
24.289916,0.000000,40.509258,25.079872,29.189039,24.248711,28.160256,27.018512,27.676705,27.349589,30.446675,29.240383
38.561639,40.509258,0.000000,39.623226,39.837169,37.828561,39.012818,38.691084,39.153544,40.926764,40.743098,40.274061
20.024984,25.079872,39.623226,0.000000,25.709920,18.083141,28.319605,24.186773,25.514702,22.427661,24.124676,24.124676
26.000000,29.189039,39.837169,25.709920,0.000000,21.954498,29.376862,27.712813,28.142495,25.495098,25.357445,25.357445
19.078784,24.248711,37.828561,18.083141,21.954498,0.000000,26.248809,22.449944,24.576411,20.445048,22.869193,23.430749
29.478806,28.160256,39.012818,28.319605,29.376862,26.248809,0.000000,27.622455,26.851443,28.618176,30.331502,30.133038
24.899799,27.018512,38.691084,24.186773,27.712813,22.449944,27.622455,0.000000,24.698178,26.683328,28.017851,26.702060
26.795522,27.676705,39.153544,25.514702,28.142495,24.576411,26.851443,24.698178,0.000000,26.267851,26.172505,27.037012
23.874673,27.349589,40.926764,22.427661,25.495098,20.445048,28.618176,26.683328,26.267851,0.000000,22.561028,22.561028
26.514147,30.446675,40.743098,24.124676,25.357445,22.869193,30.331502,28.017851,26.172505,22.561028,0.000000,21.213203
25.039968,29.240383,40.274061,24.124676,25.357445,23.430749,30.133038,26.702060,27.037012,22.561028,21.213203,0.000000
