# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12
0.000000,358.000000,335.000000,259.000000,326.000000,224.000000,395.000000,332.000000,352.000000,312.000000,311.000000,321.000000
358.000000,0.000000,413.000000,359.000000,404.000000,318.000000,437.000000,400.000000,394.000000,386.000000,389.000000,419.000000
335.000000,413.000000,0.000000,360.000000,363.000000,295.000000,422.000000,377.000000,395.000000,379.000000,354.000000,400.000000
259.000000,359.000000,360.000000,0.000000,325.000000,225.000000,404.000000,321.000000,347.000000,303.000000,294.000000,324.000000
326.000000,404.000000,363.000000,325.000000,0.000000,256.000000,413.000000,364.000000,384.000000,332.000000,307.000000,347.000000
224.000000,318.000000,295.000000,225.000000,256.000000,0.000000,345.000000,284.000000,298.000000,248.000000,241.000000,287.000000
395.000000,437.000000,422.000000,404.000000,413.000000,345.000000,0.000000,403.000000,407.000000,399.000000,404.000000,428.000000
332.000000,400.000000,377.000000,321.000000,364.000000,284.000000,403.000000,0.000000,344.000000,364.000000,345.000000,371.000000
352.000000,394.000000,395.000000,347.000000,384.000000,298.000000,407.000000,344.000000,0.000000,366.000000,355.000000,395.000000
312.000000,386.000000,379.000000,303.000000,332.000000,248.000000,399.000000,364.000000,366.000000,0.000000,299.000000,323.000000
311.000000,389.000000,354.000000,294.000000,307.000000,241.000000,404.000000,345.000000,355.000000,299.000000,0.000000,276.000000
321.000000,419.000000,400.000000,324.000000,347.000000,287.000000,428.000000,371.000000,395.000000,323.000000,276.000000,0.000000
