# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31
1.000000,0.494758,0.501454,0.445372,0.346263,0.505268,0.268074,0.481342,0.403864,0.569194,0.675396,0.636365,0.584849,0.607707,0.457234,0.433224,0.442892,0.465447,0.598615,0.454328,0.512680,0.610980,0.535927,0.673895,0.317820,0.387683,0.412523,0.637411,0.663799,0.140589,0.287357
0.494758,1.000000,0.610509,0.609957,0.443456,0.563530,0.340999,0.418641,0.429115,0.429107,0.474068,0.439222,0.397323,0.446431,0.347985,0.403310,0.309861,0.366914,0.455083,0.339157,0.422478,0.542020,0.574562,0.587158,0.409594,0.271616,0.425098,0.413237,0.447864,0.214990,0.256950
0.501454,0.610509,1.000000,0.751086,0.706896,0.706157,0.404978,0.291837,0.404895,0.362455,0.359410,0.354423,0.347433,0.374779,0.347987,0.428461,0.278286,0.306227,0.447230,0.350236,0.355111,0.619644,0.776401,0.655651,0.511298,0.235315,0.608051,0.354436,0.409229,0.203464,0.366431
0.445372,0.609957,0.751086,1.000000,0.697127,0.641975,0.496510,0.263255,0.382011,0.278834,0.252092,0.244173,0.236511,0.256535,0.247822,0.283280,0.207550,0.224715,0.320751,0.250982,0.223883,0.503960,0.710987,0.508050,0.425455,0.168050,0.529210,0.234963,0.292195,0.181642,0.257995
0.346263,0.443456,0.706896,0.697127,1.000000,0.608866,0.452593,0.160396,0.290149,0.168223,0.132035,0.154115,0.147012,0.167848,0.198434,0.220634,0.146848,0.175127,0.287283,0.199117,0.160794,0.425340,0.685980,0.508563,0.398560,0.142768,0.544207,0.139060,0.206630,0.159654,0.252033
0.505268,0.563530,0.706157,0.641975,0.608866,1.000000,0.421043,0.239940,0.402865,0.370193,0.419043,0.417122,0.402481,0.392620,0.304549,0.379725,0.314449,0.360226,0.491487,0.355832,0.384213,0.586789,0.687675,0.690372,0.526220,0.332925,0.592849,0.414742,0.466921,0.207767,0.318711
0.268074,0.340999,0.404978,0.496510,0.452593,0.421043,1.000000,0.128626,0.307567,0.130033,0.072807,0.100162,0.087162,0.133366,0.152606,0.179452,0.148094,0.180720,0.203556,0.166177,0.144141,0.291948,0.413898,0.317475,0.319538,0.173629,0.337722,0.097496,0.149717,0.220642,0.183767
0.481342,0.418641,0.291837,0.263255,0.160396,0.239940,0.128626,1.000000,0.287081,0.447143,0.459529,0.451913,0.440056,0.418616,0.396028,0.445513,0.333991,0.348566,0.405092,0.373502,0.442932,0.381235,0.234944,0.366663,0.207643,0.233548,0.235573,0.421604,0.433755,0.196261,0.224783
0.403864,0.429115,0.404895,0.382011,0.290149,0.402865,0.307567,0.287081,1.000000,0.355798,0.347558,0.376724,0.364914,0.414209,0.352735,0.332225,0.351310,0.363017,0.378221,0.329695,0.399021,0.396467,0.402638,0.458767,0.398217,0.294100,0.339663,0.388525,0.410665,0.268321,0.340134
0.569194,0.429107,0.362455,0.278834,0.168223,0.370193,0.130033,0.447143,0.355798,1.000000,0.719428,0.704605,0.616673,0.669278,0.611548,0.510522,0.516446,0.569281,0.581363,0.470837,0.645514,0.529613,0.335264,0.583191,0.232990,0.444625,0.319987,0.649053,0.653225,0.184807,0.265581
0.675396,0.474068,0.359410,0.252092,0.132035,0.419043,0.072807,0.459529,0.347558,0.719428,1.000000,0.830822,0.736047,0.744449,0.505886,0.517114,0.572246,0.588082,0.664092,0.517814,0.694543,0.620181,0.362693,0.676406,0.316871,0.447013,0.385464,0.797387,0.765821,0.093719,0.278913
0.636365,0.439222,0.354423,0.244173,0.154115,0.417122,0.100162,0.451913,0.376724,0.704605,0.830822,1.000000,0.703493,0.761232,0.548694,0.591087,0.616990,0.636890,0.692276,0.581751,0.706479,0.615011,0.350993,0.674948,0.350420,0.506603,0.391735,0.788869,0.769158,0.124937,0.277555
0.584849,0.397323,0.347433,0.236511,0.147012,0.402481,0.087162,0.440056,0.364914,0.616673,0.736047,0.703493,1.000000,0.685954,0.517101,0.521968,0.501513,0.556842,0.644141,0.464409,0.624996,0.548291,0.343936,0.582213,0.299089,0.406269,0.367280,0.678272,0.675757,0.193603,0.331452
