# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31
0.000000,0.860558,0.834459,0.833333,0.878472,0.855524,0.873016,0.846405,0.847390,0.895899,0.900000,0.905956,0.878289,0.889571,0.875389,0.867868,0.910217,0.899329,0.883281,0.875000,0.881410,0.885093,0.843558,0.849057,0.906077,0.934524,0.893805,0.892744,0.868167,0.902500,0.894081
0.860558,0.000000,0.823789,0.780000,0.822115,0.875862,0.878543,0.834746,0.864130,0.871369,0.851528,0.898374,0.904167,0.864000,0.885827,0.880150,0.912698,0.893805,0.850000,0.876494,0.851695,0.880478,0.875940,0.875000,0.910959,0.935361,0.879245,0.890244,0.899598,0.919162,0.905138
0.834459,0.823789,0.000000,0.821012,0.874074,0.860947,0.901961,0.860068,0.878661,0.870307,0.889655,0.885135,0.874126,0.848993,0.875000,0.822368,0.882550,0.892473,0.848797,0.867110,0.854167,0.859060,0.863492,0.858553,0.881306,0.920382,0.876972,0.874576,0.893688,0.911917,0.883721
0.833333,0.780000,0.821012,0.000000,0.814346,0.861635,0.886121,0.864964,0.849765,0.900000,0.896679,0.887681,0.896679,0.881119,0.876761,0.852740,0.896797,0.904215,0.869565,0.884211,0.899642,0.863799,0.864407,0.894198,0.910769,0.939597,0.871186,0.904255,0.904594,0.921196,0.893993
0.878472,0.822115,0.874074,0.814346,0.000000,0.869159,0.854015,0.885714,0.861111,0.908127,0.936170,0.911661,0.916968,0.900685,0.885017,0.905537,0.916376,0.900383,0.874101,0.896194,0.911661,0.864286,0.872483,0.875433,0.914373,0.932660,0.879195,0.927336,0.923875,0.912568,0.917241
0.855524,0.875862,0.860947,0.861635,0.869159,0.000000,0.884181,0.908333,0.906355,0.859649,0.889213,0.904225,0.862687,0.892562,0.904372,0.899736,0.908078,0.908012,0.874286,0.904110,0.898017,0.903846,0.893899,0.865922,0.893401,0.930108,0.881402,0.882857,0.895775,0.898851,0.890449
0.873016,0.878543,0.901961,0.886121,0.854015,0.884181,0.000000,0.914826,0.883534,0.914013,0.929032,0.930818,0.935897,0.923780,0.910217,0.917647,0.941358,0.918644,0.915094,0.929878,0.920635,0.916409,0.878049,0.873817,0.930939,0.935976,0.900901,0.934579,0.928125,0.922306,0.925466
0.846405,0.834746,0.860068,0.864964,0.885714,0.908333,0.914826,0.000000,0.882591,0.877483,0.888889,0.884488,0.885135,0.889241,0.878205,0.838095,0.889251,0.879859,0.867987,0.884984,0.854237,0.888179,0.897590,0.904321,0.909348,0.945289,0.919881,0.888889,0.896440,0.930000,0.904459
0.847390,0.864130,0.878661,0.849765,0.861111,0.906355,0.883534,0.882591,0.000000,0.894737,0.918033,0.920635,0.913580,0.912214,0.907692,0.928571,0.929961,0.899123,0.896414,0.936090,0.894309,0.902724,0.892989,0.875486,0.888502,0.939623,0.871212,0.899598,0.908730,0.909639,0.918288
0.895899,0.871369,0.870307,0.900000,0.908127,0.859649,0.914013,0.877483,0.894737,0.000000,0.836299,0.848797,0.852632,0.824324,0.835570,0.886503,0.884488,0.854015,0.855219,0.891026,0.840830,0.887097,0.883077,0.875399,0.908571,0.886731,0.909366,0.833910,0.895425,0.890339,0.896440
0.900000,0.851528,0.889655,0.896679,0.936170,0.889213,0.929032,0.888889,0.918033,0.836299,0.000000,0.871972,0.847826,0.850847,0.891803,0.872611,0.865517,0.878676,0.870307,0.891447,0.839858,0.887417,0.917431,0.886364,0.902941,0.922830,0.882540,0.840989,0.928339,0.925065,0.893333
0.905956,0.898374,0.885135,0.887681,0.911661,0.904225,0.930818,0.884488,0.920635,0.848797,0.871972,0.000000,0.856140,0.854785,0.865574,0.847134,0.857627,0.865942,0.846939,0.872549,0.860068,0.900958,0.916168,0.871383,0.898844,0.900641,0.888889,0.887417,0.891447,0.918367,0.888889
0.878289,0.904167,0.874126,0.896679,0.916968,0.862687,0.935897,0.885135,0.913580,0.852632,0.847826,0.856140,0.000000,0.826990,0.842466,0.858065,0.877133,0.857678,0.854671,0.887789,0.864111,0.880000,0.907407,0.889968,0.906158,0.887043,0.878981,0.853147,0.873288,0.916667,0.904290
0.889571,0.864000,0.848993,0.881119,0.900685,0.892562,0.923780,0.889241,0.912214,0.824324,0.850847,0.854785,0.826990,0.000000,0.841935,0.817035,0.852459,0.864111,0.834437,0.863492,0.843333,0.870253,0.909884,0.855346,0.923497,0.921212,0.906158,0.848185,0.881789,0.910224,0.893417
0.875389,0.885827,0.875000,0.876761,0.885017,0.904372,0.910217,0.878205,0.907692,0.835570,0.891803,0.865574,0.842466,0.841935,0.000000,0.838509,0.848185,0.875433,0.837748,0.877358,0.846667,0.880503,0.893491,0.876161,0.896067,0.927492,0.882883,0.866450,0.877814,0.912718,0.910217
0.867868,0.880150,0.822368,0.852740,0.905537,0.899736,0.917647,0.838095,0.928571,0.886503,0.872611,0.847134,0.858065,0.817035,0.838509,0.000000,0.848580,0.847973,0.838608,0.830721,0.839744,0.841121,0.895184,0.844512,0.891599,0.902367,0.878613,0.862500,0.876923,0.908213,0.881459
0.910217,0.912698,0.882550,0.896797,0.916376,0.908078,0.941358,0.889251,0.929961,0.884488,0.865517,0.857627,0.877133,0.852459,0.848185,0.848580,0.000000,0.898955,0.863787,0.888179,0.884106,0.880645,0.907186,0.897196,0.915254,0.905063,0.862069,0.884868,0.859060,0.913486,0.917981
0.899329,0.893805,0.892473,0.904215,0.900383,0.908012,0.918644,0.879859,0.899123,0.854015,0.878676,0.865942,0.857678,0.864111,0.875433,0.847973,0.898955,0.000000,0.860215,0.890411,0.878136,0.893836,0.907051,0.865979,0.902439,0.889655,0.892157,0.875000,0.883392,0.925333,0.914966
0.883281,0.850000,0.848797,0.869565,0.874101,0.874286,0.915094,0.867987,0.896414,0.855219,0.870307,0.846939,0.854671,0.834437,0.837748,0.838608,0.863787,0.860215,0.000000,0.859935,0.826990,0.820946,0.884498,0.873418,0.906516,0.881029,0.883792,0.836177,0.875000,0.894330,0.894231
0.875000,0.876494,0.867110,0.884211,0.896194,0.904110,0.929878,0.884984,0.936090,0.891026,0.891447,0.872549,0.887789,0.863492,0.877358,0.830721,0.888179,0.890411,0.859935,0.000000,0.890675,0.865815,0.893175,0.843450,0.898876,0.904025,0.865443,0.866013,0.891720,0.893130,0.885714
0.881410,0.851695,0.854167,0.899642,0.911661,0.898017,0.920635,0.854237,0.894309,0.840830,0.839858,0.860068,0.864111,0.843333,0.846667,0.839744,0.884106,0.878136,0.826990,0.890675,0.000000,0.872131,0.906344,0.849180,0.876106,0.914557,0.888889,0.876254,0.887789,0.921120,0.896104
0.885093,0.880478,0.859060,0.863799,0.864286,0.903846,0.916409,0.888179,0.902724,0.887097,0.887417,0.900958,0.880000,0.870253,0.880503,0.841121,0.880645,0.893836,0.820946,0.865815,0.872131,0.000000,0.858896,0.889231,0.898592,0.875796,0.885542,0.883871,0.877023,0.898477,0.888889
0.843558,0.875940,0.863492,0.864407,0.872483,0.893899,0.878049,0.897590,0.892989,0.883077,0.917431,0.916168,0.907407,0.909884,0.893491,0.895184,0.907186,0.907051,0.884498,0.893175,0.906344,0.858896,0.000000,0.854985,0.903485,0.927746,0.885057,0.900302,0.900602,0.918660,0.894895
0.849057,0.875000,0.858553,0.894198,0.875433,0.865922,0.873817,0.904321,0.875486,0.875399,0.886364,0.871383,0.889968,0.855346,0.876161,0.844512,0.897196,0.865979,0.873418,0.843450,0.849180,0.889231,0.854985,0.000000,0.872521,0.888889,0.857576,0.875796,0.854369,0.889169,0.873817
0.906077,0.910959,0.881306,0.910769,0.914373,0.893401,0.930939,0.909348,0.888502,0.908571,0.902941,0.898844,0.906158,0.923497,0.896067,0.891599,0.915254,0.902439,0.906516,0.898876,0.876106,0.898592,0.903485,0.872521,0.000000,0.907563,0.878788,0.908832,0.905983,0.909722,0.909859
0.934524,0.935361,0.920382,0.939597,0.932660,0.930108,0.935976,0.945289,0.939623,0.886731,0.922830,0.900641,0.887043,0.921212,0.927492,0.902367,0.905063,0.889655,0.881029,0.904025,0.914557,0.875796,0.927746,0.888889,0.907563,0.000000,0.905045,0.915094,0.908517,0.922886,0.935976
0.893805,0.879245,0.876972,0.871186,0.879195,0.881402,0.900901,0.919881,0.871212,0.909366,0.882540,0.888889,0.878981,0.906158,0.882883,0.878613,0.862069,0.892157,0.883792,0.865443,0.888889,0.885542,0.885057,0.857576,0.878788,0.905045,0.000000,0.903030,0.909910,0.886139,0.900901
0.892744,0.890244,0.874576,0.904255,0.927336,0.882857,0.934579,0.888889,0.899598,0.833910,0.840989,0.887417,0.853147,0.848185,0.866450,0.862500,0.884868,0.875000,0.836177,0.866013,0.876254,0.883871,0.900302,0.875796,0.908832,0.915094,0.903030,0.000000,0.850847,0.899225,0.903846
0.868167,0.899598,0.893688,0.904594,0.923875,0.895775,0.928125,0.896440,0.908730,0.895425,0.928339,0.891447,0.873288,0.881789,0.877814,0.876923,0.859060,0.883392,0.875000,0.891720,0.887789,0.877023,0.900602,0.854369,0.905983,0.908517,0.909910,0.850847,0.000000,0.916244,0.904153
0.902500,0.919162,0.911917,0.921196,0.912568,0.898851,0.922306,0.930000,0.909639,0.890339,0.925065,0.918367,0.916667,0.910224,0.912718,0.908213,0.913486,0.925333,0.894330,0.893130,0.921120,0.898477,0.918660,0.889169,0.909722,0.922886,0.886139,0.899225,0.916244,0.000000,0.883117
0.894081,0.905138,0.883721,0.893993,0.917241,0.890449,0.925466,0.904459,0.918288,0.896440,0.893333,0.888889,0.904290,0.893417,0.910217,0.881459,0.917981,0.914966,0.894231,0.885714,0.896104,0.888889,0.894895,0.873817,0.909859,0.935976,0.900901,0.903846,0.904153,0.883117,0.000000
