# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19
1.000000,0.315666,0.449267,0.437803,0.389688,0.445784,0.395181,0.467134,0.293464,0.256580,0.186180,0.186541,0.230688,0.343881,0.298058,0.192086,0.166945,0.180703,0.152165
0.315666,1.000000,0.392367,0.422621,0.423854,0.298337,0.224789,0.363364,0.213388,0.146859,0.104503,0.149597,0.203914,0.279780,0.268517,0.156228,0.061792,0.116428,0.112643
0.449267,0.392367,1.000000,0.732183,0.613968,0.440073,0.236023,0.594896,0.300054,0.155704,0.120432,0.191612,0.171802,0.308482,0.229179,0.179294,0.077693,0.097648,0.135887
0.437803,0.422621,0.732183,1.000000,0.599623,0.434310,0.199349,0.587358,0.292677,0.139199,0.106320,0.183209,0.165724,0.314413,0.244154,0.202833,0.091514,0.107127,0.116777
0.389688,0.423854,0.613968,0.599623,1.000000,0.377636,0.193280,0.518892,0.248985,0.155004,0.135225,0.153586,0.159256,0.259368,0.180100,0.185994,0.142192,0.150490,0.150340
0.445784,0.298337,0.440073,0.434310,0.377636,1.000000,0.361579,0.473291,0.308288,0.261093,0.110555,0.162399,0.137777,0.292950,0.237031,0.156605,0.114267,0.128586,0.135213
0.395181,0.224789,0.236023,0.199349,0.193280,0.361579,1.000000,0.395064,0.297826,0.362403,0.263992,0.184054,0.305848,0.341781,0.340400,0.166115,0.211783,0.266835,0.264731
0.467134,0.363364,0.594896,0.587358,0.518892,0.473291,0.395064,1.000000,0.359481,0.254001,0.217298,0.204495,0.278223,0.333548,0.315011,0.208378,0.143712,0.170404,0.215854
0.293464,0.213388,0.300054,0.292677,0.248985,0.308288,0.297826,0.359481,1.000000,0.262049,0.356727,0.615272,0.185579,0.326902,0.367706,0.556103,0.174840,0.428129,0.340256
0.256580,0.146859,0.155704,0.139199,0.155004,0.261093,0.362403,0.254001,0.262049,1.000000,0.229774,0.189541,0.184852,0.309608,0.220166,0.237210,0.191454,0.282307,0.294850
0.186180,0.104503,0.120432,0.106320,0.135225,0.110555,0.263992,0.217298,0.356727,0.229774,1.000000,0.602264,0.178256,0.255347,0.251136,0.426731,0.200848,0.373932,0.387851
0.186541,0.149597,0.191612,0.183209,0.153586,0.162399,0.184054,0.204495,0.615272,0.189541,0.602264,1.000000,0.169299,0.330895,0.289706,0.545607,0.151958,0.417358,0.333982
0.230688,0.203914,0.171802,0.165724,0.159256,0.137777,0.305848,0.278223,0.185579,0.184852,0.178256,0.169299,1.000000,0.314061,0.331757,0.162099,0.161616,0.176149,0.179531
0.343881,0.279780,0.308482,0.314413,0.259368,0.292950,0.341781,0.333548,0.326902,0.309608,0.255347,0.330895,0.314061,1.000000,0.369124,0.274584,0.170934,0.264006,0.257481
0.298058,0.268517,0.229179,0.244154,0.180100,0.237031,0.340400,0.315011,0.367706,0.220166,0.251136,0.289706,0.331757,0.369124,1.000000,0.308826,0.102930,0.255085,0.249468
0.192086,0.156228,0.179294,0.202833,0.185994,0.156605,0.166115,0.208378,0.556103,0.237210,0.426731,0.545607,0.162099,0.274584,0.308826,1.000000,0.200457,0.450700,0.465079
0.166945,0.061792,0.077693,0.091514,0.142192,0.114267,0.211783,0.143712,0.174840,0.191454,0.200848,0.151958,0.161616,0.170934,0.102930,0.200457,1.000000,0.233854,0.196218
0.180703,0.116428,0.097648,0.107127,0.150490,0.128586,0.266835,0.170404,0.428129,0.282307,0.373932,0.417358,0.176149,0.264006,0.255085,0.450700,0.233854,1.000000,0.390774
0.152165,0.112643,0.135887,0.116777,0.150340,0.135213,0.264731,0.215854,0.340256,0.294850,0.387851,0.333982,0.179531,0.257481,0.249468,0.465079,0.196218,0.390774,1.000000
