# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19
0.000000,30.479501,21.633308,24.331050,24.515301,22.472205,23.280893,21.908902,30.364453,24.145393,30.265492,44.766059,22.583180,26.381812,22.583180,35.341194,24.718414,28.442925,26.438608
30.479501,0.000000,30.577770,31.128765,30.724583,33.166248,34.713110,31.575307,38.691084,35.327043,39.812058,50.467812,33.030289,34.914181,32.388269,42.591079,36.359318,38.131352,36.469165
21.633308,30.577770,0.000000,18.275667,21.330729,24.839485,28.913665,21.023796,32.218007,29.103264,34.176015,46.108568,27.166155,29.359837,27.055499,37.696154,29.715316,32.878564,30.049958
24.331050,31.128765,18.275667,0.000000,23.130067,26.814175,31.780497,22.847319,33.970576,31.764760,36.496575,47.476310,29.799329,31.048349,29.154759,38.768544,31.984371,34.885527,32.726136
24.515301,30.724583,21.330729,23.130067,0.000000,27.568098,31.288976,24.145393,34.510868,30.822070,35.341194,47.843495,29.206164,31.733263,29.647934,38.704005,30.430248,33.436507,31.464265
22.472205,33.166248,24.839485,26.814175,27.568098,0.000000,27.037012,24.515301,32.511536,27.928480,35.000000,47.127487,28.513155,30.248967,27.658633,38.678159,29.899833,32.984845,30.789609
23.280893,34.713110,28.913665,31.780497,31.288976,27.037012,0.000000,26.191602,32.680269,25.865034,31.811947,46.583259,25.573424,29.120440,25.651511,38.405729,28.124722,30.182777,28.301943
21.908902,31.575307,21.023796,22.847319,24.145393,24.515301,26.191602,0.000000,31.240999,27.910571,32.741411,46.086874,26.000000,29.257478,26.076810,37.456642,29.240383,32.046841,29.171904
30.364453,38.691084,32.218007,33.970576,34.510868,32.511536,32.680269,31.240999,0.000000,32.572995,33.406586,35.327043,32.863353,33.376639,29.899833,30.740852,33.808283,30.446675,31.288976
24.145393,35.327043,29.103264,31.764760,30.822070,27.928480,25.865034,27.910571,32.572995,0.000000,31.511903,45.836667,26.210685,28.827071,26.514147,36.055513,27.129320,28.809721,26.532998
30.265492,39.812058,34.176015,36.496575,35.341194,35.000000,31.811947,32.741411,33.406586,31.511903,0.000000,35.665109,31.144823,33.585711,30.495901,33.896903,31.543621,30.380915,28.618176
44.766059,50.467812,46.108568,47.476310,47.843495,47.127487,46.583259,46.086874,35.327043,45.836667,35.665109,0.000000,45.475268,43.794977,43.405069,38.716921,46.292548,41.218928,42.813549
22.583180,33.030289,27.166155,29.799329,29.206164,28.513155,25.573424,26.000000,32.863353,26.210685,31.144823,45.475268,0.000000,27.531800,22.934690,36.455452,25.826343,29.342802,26.962938
26.381812,34.914181,29.359837,31.048349,31.733263,30.248967,29.120440,29.257478,33.376639,28.827071,33.585711,43.794977,27.531800,0.000000,27.055499,37.269290,30.935417,31.953091,30.347982
22.583180,32.388269,27.055499,29.154759,29.647934,27.658633,25.651511,26.076810,29.899833,26.514147,30.495901,43.405069,22.934690,27.055499,0.000000,34.132096,27.694765,28.687977,26.627054
35.341194,42.591079,37.696154,38.768544,38.704005,38.678159,38.405729,37.456642,30.740852,36.055513,33.896903,38.716921,36.455452,37.269290,34.132096,0.000000,36.386811,32.372828,31.144823
24.718414,36.359318,29.715316,31.984371,30.430248,29.899833,28.124722,29.240383,33.808283,27.129320,31.543621,46.292548,25.826343,30.935417,27.694765,36.386811,0.000000,29.189039,27.676705
28.442925,38.131352,32.878564,34.885527,33.436507,32.984845,30.182777,32.046841,30.446675,28.809721,30.380915,41.218928,29.342802,31.953091,28.687977,32.372828,29.189039,0.000000,27.018512
26.438608,36.469165,30.049958,32.726136,31.464265,30.789609,28.301943,29.171904,31.288976,26.532998,28.618176,42.813549,26.962938,30.347982,26.627054,31.144823,27.676705,27.018512,0.000000
