# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19
0.000000,0.879121,0.887931,0.913725,0.901695,0.844538,0.872483,0.888031,0.899123,0.911565,0.934911,0.908517,0.934066,0.916905,0.920578,0.918429,0.908163,0.935211,0.956790
0.879121,0.000000,0.910345,0.898026,0.873156,0.911765,0.877493,0.905063,0.904255,0.910663,0.917098,0.908108,0.919505,0.904523,0.887850,0.902375,0.938375,0.928747,0.926829
0.887931,0.910345,0.000000,0.861111,0.897690,0.903846,0.911950,0.896296,0.907950,0.932039,0.924419,0.890966,0.917266,0.888252,0.904255,0.911243,0.942492,0.934066,0.919255
0.913725,0.898026,0.861111,0.000000,0.903727,0.925795,0.926471,0.914384,0.910506,0.929448,0.940054,0.906706,0.922559,0.914667,0.924590,0.897436,0.936170,0.931759,0.926901
0.901695,0.873156,0.897690,0.903727,0.000000,0.896226,0.901333,0.919881,0.927869,0.900000,0.910000,0.912371,0.926901,0.900726,0.934659,0.881443,0.912329,0.911271,0.904762
0.844538,0.911765,0.903846,0.925795,0.896226,0.000000,0.876161,0.890845,0.855967,0.898413,0.927978,0.896450,0.910959,0.914209,0.924092,0.915493,0.925926,0.925729,0.920118
0.872483,0.877493,0.911950,0.926471,0.901333,0.876161,0.000000,0.880952,0.916933,0.894309,0.904645,0.892857,0.885294,0.890476,0.887931,0.914842,0.912234,0.898345,0.921519
0.888031,0.905063,0.896296,0.914384,0.919881,0.890845,0.880952,0.000000,0.914179,0.895706,0.927614,0.900285,0.903974,0.891247,0.906452,0.930108,0.928783,0.928205,0.929178
0.899123,0.904255,0.907950,0.910506,0.927869,0.855967,0.916933,0.914179,0.000000,0.912458,0.909910,0.848185,0.911111,0.908309,0.889706,0.896024,0.937705,0.905172,0.907051
0.911565,0.910663,0.932039,0.929448,0.900000,0.898413,0.894309,0.895706,0.912458,0.000000,0.895141,0.897098,0.919643,0.883375,0.930836,0.897436,0.905292,0.880597,0.903743
0.934911,0.917098,0.924419,0.940054,0.910000,0.927978,0.904645,0.927614,0.909910,0.895141,0.000000,0.849246,0.922460,0.873563,0.906915,0.850856,0.920200,0.873563,0.872180
0.908517,0.908108,0.890966,0.906706,0.912371,0.896450,0.892857,0.900285,0.848185,0.897098,0.849246,0.000000,0.901130,0.841849,0.887955,0.865672,0.914508,0.882629,0.873385
0.934066,0.919505,0.917266,0.922559,0.926901,0.910959,0.885294,0.903974,0.911111,0.919643,0.922460,0.901130,0.000000,0.886243,0.882353,0.907357,0.923077,0.926020,0.935754
0.916905,0.904523,0.888252,0.914667,0.900726,0.914209,0.890476,0.891247,0.908309,0.883375,0.873563,0.841849,0.886243,0.000000,0.894330,0.875576,0.913253,0.898048,0.888361
0.920578,0.887850,0.904255,0.924590,0.934659,0.924092,0.887931,0.906452,0.889706,0.930836,0.906915,0.887955,0.882353,0.894330,0.000000,0.912234,0.955056,0.919395,0.916435
0.918429,0.902375,0.911243,0.897436,0.881443,0.915493,0.914842,0.930108,0.896024,0.897436,0.850856,0.865672,0.907357,0.875576,0.912234,0.000000,0.917085,0.849057,0.848329
0.908163,0.938375,0.942492,0.936170,0.912329,0.925926,0.912234,0.928783,0.937705,0.905292,0.920200,0.914508,0.923077,0.913253,0.955056,0.917085,0.000000,0.907990,0.918421
0.935211,0.928747,0.934066,0.931759,0.911271,0.925729,0.898345,0.928205,0.905172,0.880597,0.873563,0.882629,0.926020,0.898048,0.919395,0.849057,0.907990,0.000000,0.877698
0.956790,0.926829,0.919255,0.926901,0.904762,0.920118,0.921519,0.929178,0.907051,0.903743,0.872180,0.873385,0.935754,0.888361,0.916435,0.848329,0.918421,0.877698,0.000000
