# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46
0.000000,0.929688,0.950617,0.985401,1.000000,0.962366,0.937008,0.966942,0.985507,0.970874,0.973118,0.971698,1.000000,1.000000,0.945946,1.000000,1.000000,0.992593,0.968421,1.000000,0.962733,0.961538,0.946667,0.970238,1.000000,0.991597,0.990196,0.990291,0.968992,0.966019,0.944000,0.955752,0.945946,0.961538,0.960000,0.978571,0.957179,0.968553,0.969512,0.990476,0.967568,0.955326,0.989474,0.947368,0.940789,0.991597
0.929688,0.000000,0.906780,0.873563,1.000000,0.979866,0.943820,1.000000,0.989796,0.984375,0.986486,0.985075,1.000000,1.000000,0.972973,1.000000,0.955224,0.956044,0.963636,0.962264,0.950000,0.906977,0.964602,0.984615,0.985714,0.974026,0.983607,0.950000,0.904762,0.938272,0.965909,0.973333,0.915094,0.974576,0.965116,0.980000,0.963889,0.957627,0.959350,1.000000,0.979592,0.976654,0.962264,0.953947,0.918919,0.987179
0.950617,0.906780,0.000000,0.926230,0.988636,0.878788,0.950413,0.973684,0.976744,0.989691,0.960227,0.990000,0.989247,1.000000,0.961905,1.000000,0.948980,0.857143,0.977273,1.000000,0.947020,0.932773,0.951049,0.942308,0.980392,0.990991,0.989362,0.978723,0.863636,0.854749,0.872727,0.877551,0.796748,0.892086,0.939130,0.953488,0.948187,0.938776,0.919463,0.968421,0.942197,0.954064,0.988506,0.956522,0.922535,1.000000
0.985401,0.873563,0.926230,0.000000,0.982456,0.973333,0.989474,0.976190,0.990000,1.000000,0.958904,0.970588,1.000000,1.000000,1.000000,1.000000,0.892308,0.922222,1.000000,0.982143,0.924370,0.896552,0.965217,0.969231,0.971831,0.987500,0.984127,0.984375,0.919540,0.925926,0.989130,0.946667,0.936364,0.930435,0.965909,0.990291,0.964088,0.949580,0.960000,0.969231,0.958904,0.964844,0.982143,0.954545,0.890909,1.000000
1.000000,1.000000,0.988636,0.982456,0.000000,0.981818,0.981132,1.000000,0.982759,0.958333,0.990826,0.962963,1.000000,1.000000,0.971429,0.968750,1.000000,0.981481,0.937500,1.000000,0.976190,1.000000,1.000000,0.989011,1.000000,1.000000,1.000000,1.000000,1.000000,0.992366,1.000000,1.000000,0.972603,0.987500,1.000000,1.000000,0.990909,1.000000,1.000000,1.000000,0.990826,1.000000,1.000000,1.000000,1.000000,1.000000
0.962366,0.979866,0.878788,0.973333,0.981818,0.000000,0.905109,0.914729,0.945578,0.956897,0.948980,0.966667,0.982609,1.000000,0.935484,0.976190,0.975610,0.873134,0.981982,1.000000,0.929412,0.905109,0.938650,0.937853,0.975806,0.953488,0.991453,0.965217,0.979310,0.944444,0.986207,0.984733,0.903846,0.976879,0.978873,0.980645,0.956204,0.947059,0.954545,1.000000,0.921466,0.964286,0.990909,0.935644,0.970760,0.992537
0.937008,0.943820,0.950413,0.989474,0.981132,0.905109,0.000000,0.861111,0.934066,0.932203,0.942857,0.968750,0.964912,1.000000,0.895522,0.985714,0.985075,0.955056,0.942308,1.000000,0.931034,0.917647,0.935185,0.960000,0.970149,0.945205,0.983051,0.983333,0.977273,0.969697,1.000000,0.972603,0.953704,0.991525,0.988372,0.989899,0.975138,0.929204,0.983871,1.000000,0.935252,0.972441,0.980769,0.939189,0.982759,1.000000
0.966942,1.000000,0.973684,0.976190,1.000000,0.914729,0.861111,0.000000,0.912500,0.940000,0.921875,0.943396,0.979167,1.000000,0.950820,0.966102,0.982456,0.893333,1.000000,1.000000,0.903846,0.891892,0.928571,0.928571,0.865385,0.883333,0.979592,0.959184,1.000000,0.967742,0.974026,1.000000,0.980198,1.000000,1.000000,1.000000,0.965616,0.952830,0.973451,0.980769,0.913386,0.979675,1.000000,0.911111,0.981132,0.984848
0.985507,0.989796,0.976744,0.990000,0.982759,0.945578,0.934066,0.912500,0.000000,0.903226,0.973154,0.985714,0.967742,1.000000,0.946667,0.986667,1.000000,0.946237,1.000000,1.000000,0.951220,0.922222,0.947368,0.961538,0.957746,0.948718,0.984375,1.000000,0.989362,0.982558,1.000000,1.000000,0.991453,0.991870,0.989011,0.980583,0.983784,0.975610,1.000000,1.000000,0.952055,0.980843,1.000000,0.961538,0.991803,1.000000
0.970874,0.984375,0.989691,1.000000,0.958333,0.956897,0.932203,0.940000,0.903226,0.000000,0.982906,0.942857,1.000000,1.000000,0.928571,0.975610,1.000000,0.967742,0.916667,1.000000,0.967391,0.932203,0.925000,0.990000,0.974359,0.956522,1.000000,0.967742,0.983333,0.992857,1.000000,0.954545,0.987952,0.977273,1.000000,1.000000,0.991150,0.966292,0.989583,0.969697,0.965217,0.991304,0.956522,0.976000,1.000000,1.000000
0.973118,0.986486,0.960227,0.958904,0.990826,0.948980,0.942857,0.921875,0.973154,0.982906,0.000000,0.991736,0.991228,1.000000,0.943089,0.984000,0.991870,0.979452,0.972222,1.000000,0.971429,0.965035,0.963636,0.983607,0.958333,0.960938,1.000000,0.982609,0.986111,0.972727,0.986014,0.984496,0.969512,0.970588,0.978571,0.973684,0.870370,0.940120,0.965909,0.974138,0.969697,0.964052,0.981308,0.960976,0.964286,0.984733
0.971698,0.985075,0.990000,0.970588,0.962963,0.966667,0.968750,0.943396,0.985714,0.942857,0.991736,0.000000,1.000000,1.000000,0.933333,1.000000,1.000000,0.984848,1.000000,0.961538,0.979167,0.968750,0.988636,0.980392,1.000000,0.980000,1.000000,0.970588,0.967742,0.978723,0.983871,1.000000,1.000000,0.989130,1.000000,1.000000,0.979290,0.978495,1.000000,0.942857,0.966102,0.991416,1.000000,0.968504,0.989011,1.000000
1.000000,1.000000,0.989247,1.000000,1.000000,0.982609,0.964912,0.979167,0.967742,1.000000,0.991228,1.000000,0.000000,1.000000,0.948718,0.848485,1.000000,0.965517,1.000000,1.000000,0.876543,0.964912,0.987654,0.978947,1.000000,1.000000,1.000000,1.000000,1.000000,0.985185,1.000000,1.000000,1.000000,1.000000,1.000000,0.984848,0.997033,0.988506,1.000000,1.000000,0.991228,0.995595,1.000000,0.991870,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.945946,0.972973,0.961905,1.000000,0.971429,0.935484,0.895522,0.950820,0.946667,0.928571,0.943089,0.933333,0.948718,1.000000,0.000000,0.980769,1.000000,0.972603,0.972222,1.000000,0.929293,0.942857,0.956989,0.990991,1.000000,0.964912,1.000000,0.976190,0.971429,0.944444,0.985714,0.963636,0.978495,0.969388,0.970149,0.975000,0.973837,0.892473,0.961538,0.928571,0.934426,0.965957,0.970588,0.930769,0.979592,0.982759
1.000000,1.000000,1.000000,1.000000,0.968750,0.976190,0.985714,0.966102,0.986667,0.975610,0.984000,1.000000,0.848485,1.000000,0.980769,0.000000,1.000000,0.971429,1.000000,1.000000,0.842697,0.985714,0.989247,0.990741,0.978723,0.981818,1.000000,1.000000,1.000000,0.993243,1.000000,0.981132,0.989011,1.000000,1.000000,1.000000,0.997135,0.989899,0.990385,1.000000,0.984000,0.995816,1.000000,0.992593,1.000000,1.000000
1.000000,0.955224,0.948980,0.892308,1.000000,0.975610,0.985075,0.982456,1.000000,1.000000,0.991870,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.868852,1.000000,1.000000,0.936170,0.920635,0.965909,0.960784,0.977273,0.980769,1.000000,0.972222,0.968750,0.949640,1.000000,1.000000,0.952941,0.978495,1.000000,0.986667,0.991279,0.978947,0.980000,1.000000,0.949153,0.978448,1.000000,0.952756,0.931818,1.000000
0.992593,0.956044,0.857143,0.922222,0.981481,0.873134,0.955056,0.893333,0.946237,0.967742,0.979452,0.984848,0.965517,1.000000,0.972603,0.971429,0.868852,0.000000,1.000000,1.000000,0.853211,0.807692,0.945455,0.908333,0.939394,0.960000,0.983333,0.966667,0.988889,0.931250,1.000000,0.986667,0.893204,0.965517,1.000000,0.969388,0.963788,0.939130,0.941667,1.000000,0.912409,0.964427,0.981132,0.946667,0.918182,1.000000
0.968421,0.963636,0.977273,1.000000,0.937500,0.981982,0.942308,1.000000,1.000000,0.916667,0.972222,1.000000,1.000000,1.000000,0.972222,1.000000,1.000000,1.000000,0.000000,0.769231,0.988372,0.962264,0.987013,1.000000,1.000000,1.000000,1.000000,0.909091,0.980769,1.000000,1.000000,0.972973,0.944444,0.987654,1.000000,0.983871,0.993976,0.975610,1.000000,1.000000,1.000000,0.995516,0.933333,1.000000,1.000000,1.000000
1.000000,0.962264,1.000000,0.982143,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.961538,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.769231,0.000000,0.988095,0.980769,1.000000,1.000000,1.000000,1.000000,1.000000,0.952381,0.959184,0.984496,1.000000,1.000000,0.986301,1.000000,1.000000,0.983333,0.993939,1.000000,0.988372,1.000000,0.981308,0.995475,0.923077,0.982759,0.987179,0.972973
