# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81
0.000000,0.971963,0.976471,0.930556,0.945946,0.903226,0.938462,0.949367,0.974026,0.947917,0.985915,1.000000,0.976744,0.924731,0.972727,0.942857,0.986301,0.971831,0.975904,0.967742,0.949367,1.000000,0.943182,0.987013,0.904762,0.987342,0.959184,0.974138,0.963415,0.969072,0.971698,0.911111,1.000000,0.935065,0.987013,0.986667,0.906250,0.980000,0.926230,0.927273,0.957983,0.951807,0.984127,0.948052,0.975309,0.957143,0.893939,0.969231,1.000000,0.977011,0.953488,0.958333,0.966667,0.947368,0.963964,0.962500,1.000000,0.978947,0.930233,0.971831,0.954023,0.952830,0.955556,0.950000,0.940476,0.987179,0.947368,0.975309,1.000000,0.985507,0.982456,0.987013,0.956522,0.971429,1.000000,0.973684,0.950000,0.976471,0.947368,0.971698,0.967213
0.971963,0.000000,0.963303,0.980198,0.949495,0.978261,0.978495,0.961905,0.970588,0.959016,0.957447,0.972727,0.982143,0.958678,0.962687,0.954198,0.958333,1.000000,0.972222,0.980132,0.961905,0.964286,0.956140,1.000000,0.927273,0.980769,0.942149,0.978873,0.952830,0.967213,0.984962,0.957983,1.000000,0.909091,0.970297,0.969697,0.967742,0.959350,0.939189,0.975904,0.951049,0.943925,0.953488,0.980952,0.990741,0.968750,0.946809,0.989130,0.965517,0.982301,0.945455,0.975610,0.991525,0.967213,0.970803,0.971698,0.959016,0.957627,0.982759,0.989796,0.982609,0.969925,0.909091,0.965986,0.963964,0.939394,0.958678,0.971698,1.000000,0.945055,0.962963,0.949495,0.966102,0.989691,0.989796,0.970297,0.962264,0.953704,0.970874,0.984962,0.977011
0.976471,0.963303,0.000000,1.000000,0.961538,0.985714,0.971429,0.911392,0.962025,0.960000,0.986486,0.965517,0.988889,0.990196,0.982456,0.991150,0.986842,0.972973,0.964706,0.952000,1.000000,0.966667,0.989474,1.000000,0.967391,0.975309,0.960396,0.974790,0.988506,0.990196,0.962963,0.969388,0.985294,0.975904,0.987500,0.987179,0.971831,0.950000,0.977099,1.000000,0.967480,0.977273,0.984848,0.987952,0.988235,0.986667,0.958904,0.985507,0.936508,0.977778,0.966667,0.980198,0.967742,0.959596,0.964912,0.988235,0.927835,0.947368,0.989362,0.958904,0.978261,0.972973,0.922222,0.868421,0.954545,0.948718,0.990196,0.951220,0.988636,0.971831,0.966102,0.920000,0.968750,0.986486,0.958904,0.987500,0.951807,0.965517,0.949367,0.962963,0.968750
0.930556,0.980198,1.000000,0.000000,0.971014,1.000000,0.983607,0.958904,0.971429,0.967033,1.000000,1.000000,0.974684,0.966667,0.950495,0.970297,0.953125,0.984615,0.987013,0.974576,0.958904,0.987805,0.963855,0.971014,0.950617,1.000000,0.978495,0.990991,0.973684,0.955056,0.959184,0.941860,0.982759,0.958333,0.985714,0.985294,0.932203,0.989362,0.966667,0.960000,0.945946,0.933333,0.982143,0.972222,0.972973,0.984615,0.968750,0.983051,1.000000,0.975000,0.975309,0.966667,0.963855,0.966667,0.971429,0.754098,0.967033,0.977273,0.937500,0.968750,0.975610,0.927835,0.964286,0.982906,0.935065,1.000000,0.931034,0.929577,1.000000,0.967213,0.959184,0.971014,0.988636,0.984375,1.000000,0.985714,0.986842,0.987342,0.971831,0.969697,0.943396
0.945946,0.949495,0.961538,0.971014,0.000000,0.931034,0.950000,0.986842,0.957143,0.956044,0.984615,1.000000,0.987654,0.967033,0.990566,0.950000,0.985075,1.000000,0.987179,0.983333,0.973333,0.987952,0.939024,1.000000,0.951220,0.972222,0.989474,0.981982,0.946667,0.955556,0.990196,0.930233,0.983051,0.972973,1.000000,0.985507,0.967742,0.989474,0.958333,0.960784,0.973913,0.974684,1.000000,0.928571,0.973333,0.969231,0.953125,0.983333,0.964286,0.987805,0.987952,0.967033,0.976471,0.989247,0.971698,0.959459,0.978495,0.988889,0.988235,1.000000,0.975904,0.970588,0.964706,0.956522,0.962500,1.000000,0.967033,0.973333,0.987342,0.984127,0.980392,0.956522,0.977273,0.968750,0.984848,0.985915,0.945946,0.974684,0.972222,0.970000,0.982143
0.903226,0.978261,0.985714,1.000000,0.931034,0.000000,0.918367,0.984848,0.950000,0.950617,1.000000,1.000000,0.985915,0.975610,0.978947,0.956044,0.982456,1.000000,1.000000,0.981818,0.969231,0.986301,0.959459,1.000000,0.958904,0.984127,0.976190,0.970000,1.000000,1.000000,1.000000,0.948718,0.958333,0.968750,1.000000,0.965517,0.961538,0.988235,0.954545,0.976190,0.981132,0.971014,0.978723,0.951613,0.969231,1.000000,0.963636,0.980000,0.978723,0.971831,0.957746,1.000000,0.986842,0.987952,0.968750,0.969231,0.988095,0.987500,0.986667,1.000000,0.958333,0.989362,0.987013,0.971963,1.000000,0.967213,0.962963,0.969231,0.970588,0.981132,0.975610,0.983607,0.987342,1.000000,0.982143,0.983607,0.969697,0.985714,0.984127,1.000000,0.978261
0.938462,0.978495,0.971429,0.983607,0.950000,0.918367,0.000000,0.985075,0.967742,0.976190,0.982143,0.956522,0.942029,0.975904,0.989691,0.978723,0.982759,0.982456,0.985507,0.981982,0.985075,0.943662,0.931507,1.000000,0.945205,0.968254,0.964286,0.970297,0.970588,1.000000,0.978261,0.975309,0.937500,0.953125,1.000000,1.000000,0.981481,0.964286,0.954955,0.976744,0.971698,0.971429,1.000000,0.952381,0.953846,0.982456,0.925926,0.980392,0.957447,0.957746,0.972603,0.988095,1.000000,0.963415,0.969072,0.985075,0.976190,0.948718,0.973333,0.982456,0.972973,0.956522,0.960526,0.962617,1.000000,0.877193,0.937500,0.920635,0.985714,0.942308,0.897436,0.932203,0.961538,1.000000,0.982456,0.950000,0.954545,0.941176,0.951613,0.989247,0.956522
0.949367,0.961905,0.911392,0.958904,0.986842,0.984848,0.985075,0.000000,0.973684,0.958333,0.985714,0.963855,0.976471,0.957895,0.953271,0.971963,0.971831,0.971429,0.987952,0.950413,0.975000,0.977011,0.954545,0.945205,0.954023,0.960526,0.947917,0.964912,0.962963,0.968750,0.951456,0.945652,0.968254,0.934211,0.973333,0.986486,0.954545,0.947917,0.943089,0.945455,0.948718,0.925000,0.983871,0.974359,0.987654,0.956522,0.925373,0.968750,0.967213,0.952381,0.952941,0.957895,0.930233,0.946809,0.934579,0.962025,0.989899,0.956522,0.954023,0.941176,0.953488,0.942308,0.918605,0.949580,0.939759,0.931507,0.935484,0.948718,0.988095,0.954545,0.982143,0.986842,0.956044,0.985714,1.000000,0.959459,0.949367,0.951220,0.932432,0.971429,0.966667
0.974026,0.970588,0.962025,0.971429,0.957143,0.950000,0.967742,0.973684,0.000000,0.967742,0.984848,0.975000,0.987805,0.978495,0.971429,0.950495,0.970149,0.985075,0.987342,0.983471,0.987013,0.963415,0.964706,0.986111,0.951807,0.986486,0.978947,0.982143,0.987342,1.000000,0.990291,0.966667,0.983333,0.930556,0.986111,0.985714,0.984375,0.978947,0.967213,0.961538,0.956140,0.962025,1.000000,0.944444,0.960000,0.969697,0.969697,0.949153,0.982759,0.987952,0.975904,0.967391,0.964706,0.967391,0.962264,0.945946,1.000000,0.930233,0.951807,1.000000,0.976190,0.970874,0.952941,0.991667,0.987952,0.972222,0.956044,0.973684,1.000000,0.968254,1.000000,1.000000,0.954023,0.984848,0.969697,0.986111,0.974026,0.948718,0.958333,0.990291,0.945455
0.947917,0.959016,0.960000,0.967033,0.956044,0.950617,0.976190,0.958333,0.967742,0.000000,0.988636,1.000000,1.000000,0.926606,0.960000,0.915254,0.965909,0.988764,0.980000,0.956835,0.969072,0.971154,0.962264,0.989362,0.951923,0.989583,0.927928,0.969697,0.969697,0.973684,0.992000,0.935185,0.975309,0.935484,0.989362,0.955056,0.964286,0.956140,0.950355,0.958904,0.970803,0.927835,0.974684,0.957447,0.979592,0.977273,0.915663,0.936709,0.974684,0.980769,0.896907,0.964602,0.952381,0.973684,0.926829,0.924731,0.946429,0.972973,0.961905,0.965517,0.951456,0.967742,0.942857,0.963768,0.940000,0.989474,0.955357,0.969072,0.990196,0.976471,0.986486,0.944444,0.972727,0.952941,0.988764,0.989362,0.947917,0.949495,0.968085,0.975610,0.961039
