# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81
0.000000,15.748016,12.688578,10.295630,11.704700,9.327379,11.532563,11.916375,10.770330,12.165525,11.747340,12.247449,16.186414,11.789826,14.933185,13.711309,11.747340,10.677078,12.569805,16.822604,12.649111,13.784049,13.527749,10.677078,14.282857,11.445523,14.764823,14.456832,11.135529,12.649111,15.000000,10.770330,10.630146,11.874342,10.954451,11.789826,9.848858,19.104973,15.329710,9.643651,14.594520,12.489996,10.440307,11.747340,11.618950,10.723805,11.045361,11.661904,13.527749,14.035669,12.369317,12.688578,11.532563,12.449900,13.152946,11.180340,14.071247,12.727922,12.922848,11.269428,14.866069,12.609520,14.832397,14.798649,11.532563,11.575837,13.490738,12.165525,12.369317,12.041595,11.224972,11.224972,12.961481,12.806248,12.083046,12.083046,12.449900,12.124356,11.000000,13.747727,11.269428
15.748016,0.000000,15.652476,14.352700,15.066519,13.892444,15.132746,14.282857,13.928388,14.352700,14.282857,15.297059,18.920888,15.652476,17.748239,16.970563,14.832397,14.491377,15.874508,19.364917,16.124515,15.165751,16.522712,14.560220,17.720045,14.798649,16.492423,17.117243,14.071247,15.937377,18.027756,14.764823,14.247807,14.662878,14.560220,14.177447,14.525839,21.330729,17.406895,13.964240,17.972201,14.628739,13.674794,15.231546,15.066519,14.106736,12.727922,14.764823,16.278821,17.058722,15.905974,15.716234,15.524175,15.329710,16.583124,14.177447,16.552945,14.696938,16.031220,15.000000,17.406895,15.779734,16.613248,17.521415,14.933185,14.142136,16.492423,15.362291,15.588457,13.964240,14.071247,14.422205,15.684387,15.937377,15.297059,15.297059,15.968719,14.247807,14.247807,16.881943,14.662878
12.688578,15.652476,0.000000,11.269428,11.661904,10.392305,11.916375,11.704700,10.049876,12.288206,11.874342,12.124356,16.522712,13.638182,15.099669,14.866069,11.789826,10.723805,12.767145,16.492423,13.892444,13.228757,14.491377,11.180340,15.968719,11.489125,15.066519,14.832397,11.532563,13.152946,15.099669,12.449900,10.677078,12.806248,11.357817,11.916375,11.135529,19.544820,16.124515,10.583005,15.165751,12.922848,10.488088,11.357817,11.916375,11.489125,11.090537,11.958261,12.569805,14.282857,13.266499,12.649111,12.083046,12.727922,13.711309,11.224972,13.304135,12.688578,13.564660,11.489125,15.165751,13.190906,14.247807,13.856406,11.661904,11.269428,13.964240,12.124356,12.409674,12.083046,11.269428,10.816654,13.152946,13.379088,11.704700,12.288206,12.328828,12.328828,11.135529,13.711309,11.135529
10.295630,14.352700,11.269428,0.000000,10.049876,8.185353,9.949874,10.099505,8.944272,10.583005,9.899495,10.392305,14.832397,11.357817,12.845233,12.489996,9.591663,8.602325,10.862780,15.524175,10.770330,12.000000,12.041595,8.366600,14.071247,9.539392,13.711309,13.379088,9.055385,10.677078,13.674794,10.099505,8.306624,10.049876,8.831761,9.848858,8.426150,18.411953,14.456832,7.416198,13.152946,10.392305,8.185353,9.899495,9.539392,9.000000,9.797959,9.899495,11.874342,12.767145,10.535654,11.357817,9.746794,10.816654,11.532563,7.416198,12.247449,11.045361,11.445523,9.219544,13.601471,10.723805,13.114877,13.527749,9.433981,9.797959,11.575837,10.000000,10.535654,9.539392,8.717798,8.944272,11.575837,11.575837,10.198039,10.198039,11.180340,10.535654,9.219544,12.124356,8.888194
11.704700,15.066519,11.661904,10.049876,0.000000,8.944272,10.392305,11.618950,9.949874,11.789826,10.908712,11.532563,15.842980,12.569805,14.628739,13.674794,10.908712,10.148892,12.124356,16.431677,12.688578,13.000000,12.961481,10.246951,14.525839,10.488088,14.730920,14.071247,10.246951,12.041595,14.832397,11.269428,9.695360,11.661904,10.535654,11.045361,10.392305,19.339080,15.362291,9.273618,14.966630,12.124356,9.695360,10.816654,10.862780,10.392305,11.000000,10.908712,12.649111,13.856406,12.569805,12.409674,11.489125,12.247449,12.961481,10.392305,12.845233,12.206556,12.884099,10.954451,14.422205,12.409674,14.456832,14.071247,10.954451,11.000000,13.000000,11.357817,11.489125,11.313708,10.344080,10.148892,11.958261,12.529964,11.090537,11.445523,11.575837,11.661904,10.488088,13.114877,10.770330
9.327379,13.892444,10.392305,8.185353,8.944272,0.000000,8.602325,9.746794,7.937254,9.949874,9.110434,9.643651,14.594520,10.770330,13.190906,12.449900,9.110434,7.937254,10.535654,15.231546,11.180340,11.445523,11.916375,8.062258,13.674794,8.485281,13.152946,12.649111,8.660254,10.723805,13.490738,9.643651,7.211103,10.392305,8.426150,8.717798,8.366600,18.165902,14.000000,7.071068,13.564660,10.535654,7.211103,9.110434,8.944272,8.602325,8.774964,9.110434,11.045361,12.165525,10.862780,11.045361,9.695360,10.583005,11.575837,8.485281,11.789826,10.535654,11.224972,8.944272,12.961481,11.045361,13.453624,13.114877,9.380832,8.774964,11.445523,9.433981,9.591663,9.380832,8.306624,8.306624,10.816654,11.090537,9.327379,9.539392,10.392305,9.899495,8.602325,12.000000,8.831761
11.532563,15.132746,11.916375,9.949874,10.392305,8.602325,0.000000,11.357817,9.848858,11.618950,10.723805,11.000000,15.132746,12.489996,14.560220,13.892444,10.908712,9.848858,11.958261,16.186414,12.845233,11.704700,12.569805,10.049876,14.247807,10.295630,14.387495,13.638182,10.344080,12.288206,14.352700,11.532563,9.055385,11.832160,10.344080,10.954451,10.295630,18.867962,15.099669,9.165151,14.628739,12.041595,9.486833,10.816654,10.392305,10.295630,10.535654,10.723805,12.409674,13.114877,12.409674,12.489996,11.489125,11.832160,12.489996,10.392305,13.076697,11.704700,12.409674,10.677078,14.282857,12.000000,14.387495,13.856406,11.135529,9.643651,12.529964,10.440307,11.401754,10.677078,9.539392,9.848858,11.357817,12.609520,11.090537,11.000000,11.489125,10.862780,10.099505,13.266499,10.392305
11.916375,14.282857,11.704700,10.099505,11.618950,9.746794,11.357817,0.000000,10.392305,11.661904,11.135529,11.489125,15.937377,12.688578,13.892444,13.928388,11.135529,10.198039,12.409674,16.031220,12.806248,12.961481,13.453624,10.000000,15.362291,10.535654,14.560220,13.379088,10.583005,12.328828,14.106736,11.575837,9.848858,11.704700,10.488088,11.180340,10.535654,18.627936,15.329710,9.433981,14.387495,11.661904,9.848858,11.401754,11.269428,10.440307,10.198039,11.224972,12.369317,13.076697,12.288206,12.529964,11.180340,12.041595,12.767145,10.630146,13.564660,11.916375,12.767145,10.630146,14.387495,11.874342,14.212670,14.317821,10.440307,10.295630,12.884099,11.489125,11.789826,11.269428,10.583005,10.677078,12.409674,12.806248,11.575837,11.401754,11.958261,11.357817,10.440307,13.527749,10.816654
10.770330,13.928388,10.049876,8.944272,9.949874,7.937254,9.848858,10.392305,0.000000,10.954451,9.899495,10.099505,15.165751,11.704700,13.674794,13.038405,9.899495,8.831761,11.224972,15.716234,12.165525,11.916375,12.688578,8.944272,14.422205,9.539392,13.856406,13.228757,9.486833,11.489125,13.964240,10.583005,8.426150,10.908712,9.273618,9.949874,9.433981,18.627936,15.000000,8.062258,13.964240,11.135529,8.426150,9.591663,9.746794,9.327379,9.899495,9.695360,11.789826,12.922848,11.618950,11.180340,10.344080,11.090537,12.206556,9.110434,12.569805,10.677078,11.704700,9.848858,13.674794,11.618950,13.928388,13.892444,10.148892,9.695360,12.083046,10.295630,10.630146,10.148892,9.380832,9.380832,11.313708,11.747340,10.099505,10.392305,11.000000,10.246951,9.327379,12.609520,9.433981
12.165525,14.352700,12.288206,10.583005,11.789826,9.949874,11.618950,11.661904,10.954451,0.000000,11.747340,12.328828,16.552945,12.369317,14.730920,13.711309,11.489125,10.862780,12.727922,16.462078,13.038405,13.416408,13.674794,10.770330,15.231546,11.532563,14.696938,14.317821,11.224972,12.649111,15.394804,11.747340,10.440307,12.124356,11.045361,11.532563,10.908712,19.157244,15.132746,9.949874,14.866069,11.916375,10.246951,11.832160,11.789826,11.000000,9.695360,11.401754,13.379088,14.035669,11.445523,13.000000,11.532563,12.529964,12.124356,10.723805,12.961481,12.328828,13.152946,11.269428,14.525839,12.767145,14.212670,14.933185,11.180340,11.661904,13.416408,11.916375,12.369317,11.958261,11.045361,10.954451,12.489996,12.961481,11.916375,12.247449,12.288206,11.874342,11.180340,13.747727,11.269428
