# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125,ch126,ch127,ch128,ch129,ch130,ch131,ch132,ch133,ch134,ch135,ch136,ch137,ch138,ch139,ch140,ch141,ch142,ch143,ch144,ch145,ch146,ch147,ch148,ch149,ch150,ch151,ch152,ch153,ch154,ch155,ch156,ch157,ch158,ch159,ch160,ch161
1.000000,0.095695,0.161210,0.159198,0.121046,0.177972,0.166173,0.168199,0.076274,0.031607,0.110329,0.000000,0.026207,0.157461,0.000000,0.110756,0.054133,0.000000,0.000000,0.061824,0.036636,0.010279,0.076841,0.000000,0.064531,0.000000,0.000000,0.000000,0.022350,0.064194,0.021398,0.000000,0.022350,0.000000,0.091502,0.136279,0.123542,0.000000,0.023440,0.000000,0.025425,0.099499,0.024708,0.065575,0.070321,0.061676,0.038278,0.044699,0.152503,0.000000,0.123888,0.106752,0.020966,0.127071,0.083863,0.053776,0.114834,0.095793,0.000000,0.066381,0.072148,0.068022,0.064194,0.000000,0.084385,0.137647,0.152734,0.208947,0.072627,0.169450,0.109291,0.127123,0.115607,0.000000,0.058238,0.028017,0.000000,0.062204,0.018828,0.183450,0.042796,0.103973,0.038421,0.083397,0.058148,0.188691,0.175824,0.064194,0.236043,0.058148,0.082041,0.000000,0.064194,0.027067,0.026207,0.090432,0.077349,0.088950,0.000000,0.068727,0.051614,0.000000,0.000000,0.000000,0.060523,0.054745,0.000000,0.131794,0.120879,0.165260,0.134097,0.091502,0.052414,0.066671,0.026207,0.065012,0.145578,0.121549,0.073395,0.018828,0.040349,0.070877,0.012529,0.140642,0.000000,0.148250,0.034943,0.000000,0.035382,0.094821,0.070321,0.098094,0.127738,0.000000,0.000000,0.000000,0.000000,0.156615,0.165176,0.087863,0.211830,0.033254,0.000000,0.031607,0.000000,0.094821,0.042796,0.030261,0.000000,0.126428,0.079243,0.056033,0.011112,0.000000,0.000000,0.014399,0.036919,0.036558,0.000000,0.000000,0.022875
0.095695,1.000000,0.124787,0.121304,0.052705,0.000000,0.062017,0.053262,0.022140,0.082572,0.144115,0.000000,0.068465,0.122687,0.062828,0.120561,0.157135,0.000000,0.000000,0.074028,0.063806,0.026854,0.111525,0.023570,0.121756,0.074536,0.098374,0.089514,0.038925,0.111803,0.037268,0.022140,0.038925,0.048412,0.039841,0.076790,0.107583,0.000000,0.122474,0.150000,0.110702,0.147298,0.129099,0.209381,0.163299,0.089514,0.066667,0.038925,0.179284,0.020412,0.141080,0.053121,0.054772,0.055328,0.054772,0.084293,0.100000,0.064882,0.019920,0.077075,0.020943,0.074044,0.037268,0.000000,0.032660,0.071919,0.048365,0.069317,0.115950,0.122967,0.161795,0.022140,0.060404,0.026352,0.040572,0.048795,0.027524,0.065003,0.000000,0.038036,0.049690,0.082311,0.078067,0.130723,0.101274,0.063901,0.057417,0.093169,0.036274,0.025318,0.020412,0.018257,0.055902,0.047140,0.068465,0.078750,0.019245,0.051640,0.000000,0.076948,0.044947,0.000000,0.000000,0.000000,0.052705,0.158910,0.045644,0.081978,0.076556,0.077491,0.077850,0.059761,0.000000,0.038706,0.000000,0.067937,0.084515,0.144338,0.063914,0.000000,0.000000,0.030861,0.043644,0.122474,0.000000,0.103280,0.030429,0.000000,0.123247,0.091747,0.081650,0.105136,0.063564,0.026352,0.025318,0.026352,0.026352,0.059297,0.059933,0.065583,0.151526,0.065156,0.000000,0.000000,0.028868,0.027524,0.000000,0.000000,0.022822,0.027524,0.000000,0.048795,0.058058,0.043033,0.023002,0.025078,0.032150,0.053060,0.036515,0.194625,0.000000
0.161210,0.124787,1.000000,0.178402,0.049326,0.248655,0.116084,0.199393,0.186491,0.000000,0.134878,0.128154,0.000000,0.108069,0.019600,0.075222,0.198535,0.000000,0.000000,0.037790,0.037323,0.033511,0.031313,0.000000,0.035062,0.000000,0.015345,0.016755,0.072860,0.087198,0.052319,0.062164,0.018215,0.030206,0.074574,0.065334,0.060412,0.017815,0.019104,0.031197,0.020721,0.064874,0.040275,0.053444,0.095520,0.033511,0.031197,0.036430,0.136720,0.076416,0.108736,0.087004,0.034174,0.163976,0.034174,0.078890,0.077992,0.130120,0.000000,0.078146,0.019600,0.000000,0.087198,0.000000,0.137549,0.100964,0.316855,0.186512,0.147979,0.176464,0.062351,0.124327,0.144471,0.000000,0.028479,0.045667,0.000000,0.081115,0.030689,0.206470,0.093011,0.138663,0.093939,0.129141,0.047391,0.247764,0.098517,0.017440,0.203692,0.047391,0.095520,0.000000,0.026159,0.000000,0.042718,0.082915,0.081051,0.169154,0.020137,0.120027,0.063098,0.021359,0.085436,0.000000,0.147979,0.089235,0.042718,0.076724,0.053737,0.134688,0.163935,0.111862,0.106795,0.036225,0.042718,0.137761,0.250477,0.045029,0.131597,0.046034,0.065768,0.072206,0.030635,0.124176,0.000000,0.072495,0.028479,0.030206,0.038449,0.128799,0.019104,0.116846,0.185906,0.000000,0.023696,0.024663,0.024663,0.116543,0.067310,0.086953,0.110984,0.006775,0.000000,0.000000,0.000000,0.000000,0.052319,0.000000,0.021359,0.000000,0.048438,0.000000,0.036225,0.000000,0.021528,0.023471,0.060178,0.009932,0.051261,0.054645,0.018644
0.159198,0.121304,0.178402,1.000000,0.123299,0.276246,0.161206,0.166139,0.000000,0.143091,0.133195,0.000000,0.118645,0.097549,0.021775,0.150424,0.130705,0.000000,0.085855,0.104959,0.041464,0.018615,0.081171,0.000000,0.097382,0.019375,0.051142,0.000000,0.000000,0.019375,0.019375,0.000000,0.020236,0.000000,0.000000,0.050809,0.000000,0.039583,0.127343,0.034658,0.023020,0.063063,0.067116,0.019791,0.106119,0.093073,0.000000,0.000000,0.144986,0.000000,0.138059,0.179507,0.132882,0.124643,0.075933,0.029214,0.190621,0.134921,0.000000,0.113530,0.000000,0.000000,0.232495,0.000000,0.195259,0.286650,0.201150,0.099099,0.230159,0.178997,0.069270,0.138123,0.174459,0.082199,0.031639,0.025367,0.028618,0.191495,0.085237,0.245199,0.116248,0.256748,0.069575,0.060409,0.000000,0.227798,0.059699,0.154997,0.163435,0.078975,0.116731,0.056949,0.038749,0.147043,0.023729,0.102350,0.090045,0.080539,0.000000,0.044448,0.046733,0.071187,0.094916,0.023729,0.082199,0.066091,0.023729,0.375042,0.368146,0.207184,0.344014,0.207123,0.000000,0.040244,0.000000,0.094183,0.029292,0.170085,0.172781,0.119332,0.146132,0.160437,0.102101,0.297133,0.035875,0.067116,0.000000,0.000000,0.170862,0.267103,0.084895,0.116147,0.099136,0.000000,0.052650,0.000000,0.000000,0.098647,0.124631,0.068190,0.212349,0.105382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101469,0.030183,0.000000,0.000000,0.000000,0.058498,0.088270,0.000000,0.060708,0.000000
0.121046,0.052705,0.049326,0.123299,1.000000,0.000000,0.049029,0.063161,0.000000,0.043519,0.101274,0.000000,0.036084,0.079876,0.000000,0.088957,0.124226,0.000000,0.043519,0.106407,0.012611,0.000000,0.123435,0.037268,0.088852,0.058926,0.025924,0.000000,0.000000,0.000000,0.029463,0.000000,0.061546,0.000000,0.000000,0.088302,0.000000,0.000000,0.064550,0.000000,0.000000,0.027400,0.000000,0.000000,0.032275,0.028307,0.000000,0.000000,0.073493,0.032275,0.052486,0.083992,0.000000,0.014580,0.000000,0.014809,0.105409,0.029311,0.000000,0.071089,0.000000,0.000000,0.029463,0.000000,0.206559,0.132667,0.095590,0.013700,0.066667,0.129619,0.045145,0.105021,0.053060,0.208333,0.064150,0.077152,0.087039,0.085649,0.051848,0.096225,0.058926,0.078087,0.017634,0.126312,0.000000,0.101036,0.015131,0.117851,0.038236,0.080064,0.048412,0.086603,0.014731,0.037268,0.000000,0.124515,0.060858,0.224537,0.000000,0.027037,0.088834,0.036084,0.000000,0.000000,0.000000,0.000000,0.000000,0.155543,0.181568,0.105021,0.123091,0.094491,0.000000,0.015300,0.072169,0.071611,0.022272,0.121716,0.040423,0.051848,0.055556,0.121988,0.051755,0.064550,0.054554,0.081650,0.048113,0.051031,0.129914,0.101545,0.112962,0.083117,0.113067,0.000000,0.080064,0.000000,0.000000,0.065630,0.094762,0.043206,0.156250,0.125914,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.000000,0.043519,0.000000,0.038576,0.045899,0.000000,0.000000,0.039653,0.152499,0.016779,0.000000,0.030773,0.000000
0.177972,0.000000,0.248655,0.276246,0.000000,1.000000,0.411926,0.318397,0.000000,0.000000,0.000000,0.000000,0.000000,0.038348,0.000000,0.000000,0.020874,0.000000,0.000000,0.017880,0.021190,0.023783,0.000000,0.000000,0.000000,0.000000,0.000000,0.047565,0.000000,0.000000,0.099015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017642,0.000000,0.066146,0.052926,0.000000,0.146999,0.048507,0.000000,0.132842,0.147755,0.000000,0.000000,0.000000,0.000000,0.198030,0.000000,0.065079,0.095539,0.289122,0.253225,0.056011,0.261364,0.000000,0.176471,0.160484,0.000000,0.053897,0.000000,0.000000,0.000000,0.000000,0.303170,0.231034,0.065606,0.000000,0.077180,0.000000,0.436564,0.000000,0.000000,0.289122,0.000000,0.189814,0.000000,0.000000,0.000000,0.060634,0.026153,0.076696,0.000000,0.057166,0.068147,0.000000,0.000000,0.000000,0.000000,0.210042,0.000000,0.000000,0.217803,0.127123,0.323529,0.413670,0.158777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203771,0.000000,0.140028,0.000000,0.000000,0.162698,0.000000,0.000000,0.000000,0.000000,0.000000,0.195006,0.027116,0.017458,0.000000,0.000000,0.000000,0.000000,0.000000,0.047263,0.015923,0.116162,0.052511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073127,0.091670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112777,0.000000,0.000000,0.000000
0.166173,0.062017,0.116084,0.161206,0.049029,0.411926,1.000000,0.099096,0.054924,0.000000,0.119169,0.000000,0.000000,0.116369,0.000000,0.019938,0.029235,0.000000,0.000000,0.041736,0.000000,0.022206,0.013833,0.000000,0.092935,0.000000,0.000000,0.044412,0.048280,0.023113,0.092450,0.000000,0.024140,0.020016,0.049417,0.051952,0.026688,0.000000,0.000000,0.000000,0.027462,0.021494,0.053376,0.023610,0.126592,0.044412,0.041345,0.024140,0.049417,0.025318,0.061761,0.049417,0.045291,0.068626,0.022646,0.000000,0.124035,0.091972,0.024708,0.071700,0.000000,0.110208,0.115563,0.000000,0.081019,0.163543,0.119979,0.204195,0.052298,0.132186,0.011805,0.082385,0.124870,0.000000,0.025162,0.000000,0.000000,0.040313,0.000000,0.132099,0.154083,0.051047,0.000000,0.117103,0.031404,0.192487,0.011869,0.046225,0.209963,0.000000,0.139252,0.022646,0.000000,0.029235,0.056614,0.073258,0.071611,0.048038,0.080064,0.042419,0.069687,0.000000,0.000000,0.000000,0.065372,0.098552,0.028307,0.142354,0.118695,0.151040,0.193122,0.074125,0.000000,0.012002,0.000000,0.014044,0.052414,0.059676,0.126840,0.081345,0.043581,0.000000,0.027067,0.101274,0.000000,0.080064,0.037743,0.000000,0.000000,0.113798,0.075955,0.081503,0.088697,0.000000,0.000000,0.000000,0.000000,0.022065,0.081771,0.081345,0.089887,0.026939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009969,0.131625,0.000000,0.000000,0.000000
0.168199,0.053262,0.199393,0.166139,0.063161,0.318397,0.099096,1.000000,0.000000,0.000000,0.051173,0.000000,0.000000,0.057658,0.033464,0.038528,0.087878,0.000000,0.000000,0.032260,0.012744,0.000000,0.071281,0.000000,0.014965,0.029775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025786,0.000000,0.022309,0.000000,0.030415,0.000000,0.053262,0.000000,0.000000,0.000000,0.030415,0.032616,0.028606,0.000000,0.000000,0.084881,0.000000,0.039781,0.053051,0.029173,0.176815,0.116692,0.059862,0.079894,0.133293,0.000000,0.020526,0.000000,0.000000,0.119098,0.000000,0.117419,0.095765,0.251164,0.249208,0.050529,0.170288,0.030415,0.141510,0.139415,0.084215,0.032414,0.038984,0.087960,0.034622,0.052396,0.255264,0.119098,0.105218,0.017820,0.092835,0.000000,0.262557,0.091745,0.000000,0.173883,0.000000,0.097849,0.000000,0.029775,0.000000,0.000000,0.062916,0.046127,0.123771,0.000000,0.068308,0.017955,0.000000,0.000000,0.000000,0.168430,0.025392,0.072932,0.078594,0.061163,0.159199,0.217690,0.159152,0.000000,0.061847,0.000000,0.072369,0.022507,0.000000,0.081701,0.052396,0.112287,0.049311,0.034868,0.097849,0.055132,0.123771,0.000000,0.000000,0.049233,0.117280,0.065233,0.104996,0.076176,0.042108,0.121367,0.042108,0.042108,0.066325,0.038306,0.139723,0.084215,0.034704,0.000000,0.043980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015462,0.000000,0.000000,0.000000,0.141270,0.016956,0.000000,0.031099,0.095491
0.076274,0.022140,0.186491,0.000000,0.000000,0.000000,0.054924,0.000000,1.000000,0.146254,0.467979,0.727607,0.242536,0.057522,0.000000,0.042708,0.000000,0.000000,0.000000,0.000000,0.000000,0.023783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052926,0.037094,0.057166,0.000000,0.000000,0.000000,0.000000,0.023020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052926,0.162698,0.044097,0.052926,0.000000,0.024500,0.000000,0.024884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043386,0.000000,0.000000,0.046041,0.028006,0.000000,0.025286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028784,0.000000,0.020211,0.000000,0.000000,0.029630,0.000000,0.000000,0.000000,0.025425,0.000000,0.064249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026153,0.000000,0.000000,0.000000,0.045431,0.029854,0.121268,0.000000,0.000000,0.000000,0.084440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074848,0.000000,0.000000,0.000000,0.000000,0.040996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042220,0.140028,0.134535,0.140028,0.140028,0.078772,0.063693,0.000000,0.070014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025709,0.000000,0.000000,0.000000,0.021354,0.000000,0.000000,0.000000,0.000000
0.031607,0.082572,0.000000,0.143091,0.043519,0.000000,0.000000,0.000000,0.146254,1.000000,0.290887,0.000000,0.678401,0.143019,0.000000,0.132733,0.051900,0.000000,0.000000,0.044455,0.026343,0.000000,0.073671,0.000000,0.061869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064282,0.000000,0.000000,0.023057,0.000000,0.062869,0.134840,0.000000,0.000000,0.085855,0.000000,0.000000,0.067420,0.177394,0.110096,0.064282,0.109659,0.067420,0.164461,0.131590,0.180907,0.243658,0.120605,0.092803,0.165145,0.091842,0.000000,0.021214,0.000000,0.000000,0.061546,0.000000,0.026968,0.039590,0.119808,0.057236,0.000000,0.054153,0.031435,0.000000,0.088670,0.000000,0.000000,0.000000,0.000000,0.071566,0.000000,0.050252,0.000000,0.081559,0.110506,0.071961,0.083624,0.030151,0.094821,0.123091,0.159745,0.000000,0.000000,0.000000,0.030773,0.077850,0.000000,0.065026,0.000000,0.000000,0.000000,0.028239,0.000000,0.000000,0.000000,0.075378,0.000000,0.000000,0.000000,0.108306,0.094821,0.073127,0.192847,0.131590,0.075378,0.000000,0.000000,0.000000,0.000000,0.158910,0.126660,0.000000,0.000000,0.050965,0.144150,0.101130,0.113961,0.042640,0.000000,0.000000,0.101768,0.121212,0.067420,0.065110,0.078730,0.000000,0.000000,0.000000,0.087039,0.078341,0.039590,0.018051,0.152318,0.047823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080582,0.000000,0.000000,0.000000,0.041416,0.000000,0.070100,0.120605,0.000000,0.000000
