# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125,ch126,ch127,ch128,ch129,ch130,ch131,ch132,ch133,ch134,ch135,ch136,ch137,ch138,ch139,ch140,ch141,ch142,ch143,ch144,ch145,ch146,ch147,ch148,ch149,ch150,ch151,ch152,ch153,ch154,ch155,ch156,ch157,ch158,ch159,ch160,ch161
0.000000,13.820275,13.856406,13.038405,11.090537,9.695360,11.874342,10.770330,10.099505,10.000000,14.035669,10.344080,10.246951,14.594520,10.488088,14.000000,14.628739,10.148892,10.099505,16.093477,14.628739,13.892444,12.083046,10.295630,13.190906,10.723805,11.045361,10.816654,10.535654,10.440307,10.630146,10.392305,10.535654,11.090537,10.198039,15.099669,9.949874,10.677078,10.440307,11.000000,10.295630,13.490738,10.344080,10.392305,10.246951,10.535654,10.816654,10.440307,15.491933,10.535654,13.638182,15.874508,10.677078,12.845233,10.392305,13.266499,10.440307,13.038405,10.583005,16.583124,10.198039,11.000000,10.440307,10.535654,14.071247,11.357817,11.224972,12.649111,12.409674,13.379088,12.767145,9.899495,15.684387,10.148892,12.727922,10.148892,10.099505,12.328828,10.954451,13.892444,11.789826,13.856406,12.328828,15.132746,10.000000,12.449900,12.247449,10.440307,10.677078,10.000000,12.529964,10.770330,13.228757,10.198039,10.246951,12.688578,12.922848,11.357817,10.440307,13.820275,12.206556,10.344080,10.000000,10.344080,9.949874,10.862780,10.344080,10.392305,12.649111,11.532563,10.049876,10.198039,10.148892,12.961481,10.246951,12.083046,10.723805,12.609520,11.489125,10.954451,10.677078,10.862780,12.609520,12.124356,9.899495,11.000000,9.899495,9.949874,12.806248,13.114877,12.609520,16.062378,13.964240,10.148892,10.198039,10.148892,10.148892,16.792856,16.583124,18.493242,15.066519,15.556349,9.848858,10.000000,10.049876,9.797959,10.535654,10.049876,10.344080,9.695360,10.535654,10.049876,13.341664,10.440307,12.409674,11.916375,14.560220,12.609520,10.770330,10.630146,10.488088
13.820275,0.000000,15.000000,14.247807,12.649111,11.704700,13.638182,12.609520,11.618950,11.180340,14.628739,11.661904,11.401754,15.684387,11.532563,14.798649,14.662878,11.489125,11.445523,16.792856,15.329710,14.764823,12.922848,11.532563,13.747727,11.661904,11.789826,11.661904,11.747340,11.489125,11.832160,11.618950,11.747340,12.083046,11.704700,16.401219,11.313708,11.958261,11.313708,11.489125,11.269428,14.035669,11.224972,11.000000,11.135529,11.661904,11.916375,11.747340,15.968719,11.747340,14.387495,17.117243,11.789826,14.352700,11.789826,14.035669,11.747340,14.247807,11.789826,17.262677,11.704700,12.165525,11.832160,11.832160,15.394804,12.884099,13.000000,14.662878,13.152946,14.628739,13.341664,11.618950,16.941074,11.401754,13.892444,11.401754,11.357817,13.379088,12.288206,15.937377,12.884099,14.933185,13.152946,15.556349,11.180340,14.352700,14.106736,11.575837,13.076697,11.445523,14.000000,11.958261,14.282857,11.445523,11.401754,13.784049,14.352700,12.727922,11.747340,14.696938,13.341664,11.661904,11.357817,11.661904,11.313708,11.532563,11.489125,11.874342,13.964240,13.190906,11.575837,11.618950,11.661904,14.177447,11.661904,13.152946,12.247449,13.416408,12.688578,12.288206,12.124356,12.288206,13.490738,13.266499,11.269428,12.409674,11.269428,11.313708,13.228757,14.106736,13.564660,16.763055,15.362291,11.401754,11.445523,11.401754,11.401754,18.357560,18.220867,19.364917,16.309506,16.155494,11.224972,11.445523,11.313708,11.357817,12.000000,11.489125,11.575837,11.357817,12.165525,11.401754,14.035669,11.575837,13.379088,13.000000,15.524175,13.564660,11.874342,11.045361,11.874342
13.856406,15.000000,0.000000,14.282857,13.304135,11.401754,13.820275,12.328828,11.661904,12.165525,15.198684,11.874342,12.369317,16.278821,12.409674,15.684387,14.764823,12.206556,12.165525,17.578396,16.062378,15.264338,14.071247,12.328828,14.966630,12.688578,12.884099,12.688578,12.288206,12.288206,12.449900,12.165525,12.529964,12.845233,12.247449,16.970563,12.206556,12.569805,12.449900,12.767145,12.328828,15.231546,12.288206,12.409674,12.124356,12.609520,12.767145,12.449900,16.792856,12.206556,15.165751,17.262677,12.569805,14.035669,12.569805,14.628739,12.529964,14.282857,12.569805,17.691806,12.409674,13.228757,12.288206,12.529964,15.033296,13.304135,11.747340,14.212670,13.490738,14.662878,14.662878,11.916375,16.613248,12.206556,14.560220,12.124356,12.165525,13.856406,12.806248,14.933185,13.228757,14.966630,13.638182,16.031220,12.083046,13.379088,14.352700,12.609520,12.569805,12.083046,14.035669,12.727922,15.066519,12.328828,12.206556,14.317821,14.456832,12.609520,12.369317,14.866069,13.820275,12.288206,11.832160,12.369317,11.704700,12.569805,12.206556,12.569805,14.696938,13.379088,11.874342,12.083046,11.958261,14.764823,12.206556,13.266499,11.874342,14.730920,12.884099,12.727922,12.489996,12.727922,14.177447,13.820275,12.000000,13.228757,12.000000,11.958261,14.422205,14.352700,14.594520,17.088007,14.798649,12.206556,12.165525,12.124356,12.124356,18.220867,18.574176,19.544820,17.117243,17.146428,11.958261,12.165525,12.124356,12.165525,12.449900,12.206556,12.288206,12.165525,12.609520,12.288206,14.764823,12.449900,14.000000,13.638182,15.811388,14.456832,12.489996,12.369317,12.489996
13.038405,14.247807,14.282857,0.000000,11.874342,10.198039,12.609520,11.575837,11.313708,10.583005,14.456832,11.269428,10.816654,15.652476,11.313708,14.282857,14.628739,11.090537,10.770330,16.278821,15.231546,14.525839,12.806248,11.224972,13.638182,11.532563,11.661904,11.704700,11.532563,11.532563,11.532563,11.313708,11.445523,11.958261,11.489125,16.370706,11.357817,11.401754,10.908712,11.704700,11.224972,14.422205,11.090537,11.489125,11.000000,11.269428,11.874342,11.532563,16.062378,11.445523,14.142136,15.748016,11.045361,13.527749,11.313708,14.142136,10.908712,13.416408,11.489125,16.703293,11.401754,12.206556,10.535654,11.445523,13.784049,11.090537,11.661904,14.142136,12.000000,13.892444,13.747727,10.770330,15.684387,10.816654,13.638182,11.090537,10.954451,12.165525,11.489125,13.892444,12.124356,13.190906,12.884099,15.905974,11.135529,12.767145,13.784049,10.908712,11.916375,10.862780,13.000000,11.401754,14.106736,10.677078,11.180340,13.304135,13.527749,12.206556,11.357817,14.662878,13.000000,11.000000,10.677078,11.180340,10.816654,11.661904,11.180340,9.899495,11.313708,11.958261,9.949874,10.583005,11.269428,13.856406,11.269428,12.649111,12.206556,12.922848,11.661904,11.313708,11.045361,11.224972,12.767145,11.618950,10.770330,12.288206,10.954451,10.908712,12.569805,12.409674,13.228757,16.431677,14.798649,11.090537,10.954451,11.090537,11.090537,17.776389,17.406895,19.131126,15.524175,15.556349,10.816654,11.045361,11.000000,11.045361,11.618950,11.090537,11.269428,11.045361,11.789826,10.816654,13.928388,11.357817,13.190906,12.806248,15.033296,13.000000,11.661904,11.269428,11.489125
11.090537,12.649111,13.304135,11.874342,0.000000,8.062258,10.954451,9.433981,8.062258,7.549834,12.727922,8.000000,7.874008,13.928388,8.185353,12.767145,12.767145,7.745967,7.549834,14.560220,13.304135,12.328828,10.049876,7.810250,11.445523,8.246211,8.774964,8.602325,8.366600,8.485281,8.366600,8.062258,8.124038,8.944272,8.306624,14.247807,8.124038,8.426150,8.000000,8.831761,8.062258,12.449900,8.124038,8.426150,8.124038,8.485281,8.831761,8.366600,14.933185,8.124038,12.688578,14.866069,8.544004,12.000000,8.544004,11.874342,8.366600,11.874342,8.306624,15.362291,8.185353,9.273618,8.366600,8.246211,11.874342,9.591663,9.746794,12.529964,10.723805,12.328828,11.575837,7.681146,14.933185,7.071068,11.000000,7.615773,7.416198,10.440307,8.660254,13.266499,9.797959,12.609520,10.630146,13.564660,7.810250,11.575837,11.704700,8.000000,10.049876,7.549834,11.045361,8.185353,11.916375,7.810250,8.000000,10.862780,11.401754,8.717798,8.124038,12.569805,10.198039,7.874008,7.549834,8.000000,7.745967,9.000000,8.000000,8.185353,10.723805,10.198039,7.874008,7.937254,8.000000,11.618950,7.745967,10.246951,9.380832,11.045361,9.746794,8.660254,8.426150,8.544004,10.583005,10.954451,7.280110,9.486833,7.416198,7.348469,10.535654,11.532563,10.677078,15.000000,12.727922,7.745967,7.549834,7.745967,7.745967,16.462078,16.124515,17.804494,14.491377,13.601471,7.348469,7.681146,7.615773,7.549834,8.485281,7.745967,8.000000,7.549834,8.717798,7.745967,11.445523,8.124038,10.535654,9.848858,12.369317,10.954451,8.544004,8.246211,8.306624
9.695360,11.704700,11.401754,10.198039,8.062258,0.000000,8.062258,6.782330,5.830952,5.291503,12.124356,5.744563,5.744563,13.152946,6.000000,12.083046,12.247449,5.385165,5.291503,14.106736,12.083046,10.908712,9.165151,5.656854,10.583005,6.403124,6.928203,6.403124,6.244998,6.403124,6.082763,5.830952,6.244998,7.000000,6.164414,13.711309,5.916080,6.324555,6.082763,6.855655,5.830952,11.313708,5.916080,6.324555,6.082763,6.557439,6.855655,6.244998,14.282857,6.082763,11.489125,14.142136,6.480741,10.148892,6.324555,10.583005,6.403124,10.099505,6.164414,14.798649,6.000000,7.416198,5.744563,6.082763,11.661904,8.306624,7.483315,10.295630,9.380832,10.816654,10.440307,5.291503,13.564660,5.385165,9.695360,5.567764,5.291503,9.380832,6.928203,11.445523,7.549834,11.575837,9.165151,12.922848,5.477226,9.000000,10.392305,6.403124,7.483315,5.477226,9.110434,6.480741,10.630146,5.656854,5.567764,10.049876,10.049876,8.185353,5.744563,11.180340,9.110434,5.744563,5.099020,5.744563,4.795832,7.071068,5.744563,6.164414,9.899495,7.937254,4.795832,5.656854,5.744563,10.295630,5.744563,9.055385,7.681146,10.344080,7.483315,6.928203,6.164414,7.211103,9.327379,9.219544,4.898979,8.185353,5.099020,5.000000,9.797959,10.000000,9.746794,14.422205,12.206556,5.385165,5.477226,5.385165,5.385165,15.748016,15.716234,16.733201,14.247807,13.266499,4.795832,5.291503,5.196152,5.291503,6.403124,5.385165,5.744563,5.099020,6.403124,5.567764,10.295630,5.916080,8.944272,8.366600,12.083046,9.110434,6.480741,6.244998,6.164414
11.874342,13.638182,13.820275,12.609520,10.954451,8.062258,0.000000,10.630146,9.539392,9.433981,13.564660,9.695360,9.695360,14.560220,9.848858,14.247807,14.387495,9.486833,9.433981,15.874508,14.456832,13.341664,11.958261,9.643651,12.529964,10.099505,10.440307,10.000000,9.797959,10.000000,9.695360,9.746794,9.899495,10.392305,9.746794,15.394804,9.695360,10.049876,9.899495,10.392305,9.643651,13.601471,9.591663,9.949874,9.380832,10.000000,10.198039,9.899495,15.968719,9.797959,13.674794,15.968719,9.949874,12.806248,10.049876,13.152946,9.797959,12.609520,9.848858,16.186414,9.848858,10.198039,9.591663,9.899495,13.674794,10.677078,10.908712,12.288206,12.041595,13.266499,12.961481,9.433981,15.264338,9.486833,12.449900,9.591663,9.433981,11.958261,10.440307,13.928388,10.583005,13.820275,12.041595,14.491377,9.433981,12.000000,12.922848,9.899495,10.344080,9.539392,11.661904,10.049876,13.190906,9.539392,9.486833,12.328828,12.489996,11.045361,9.486833,13.564660,11.575837,9.695360,9.327379,9.695360,9.273618,10.049876,9.591663,9.746794,12.206556,11.135529,9.165151,9.643651,9.695360,12.845233,9.695360,11.874342,10.677078,12.569805,10.630146,10.049876,10.049876,10.630146,12.000000,11.916375,9.219544,10.862780,9.219544,9.273618,12.529964,12.529964,12.083046,15.842980,13.856406,9.486833,9.539392,9.486833,9.486833,17.578396,16.970563,18.248288,15.748016,15.198684,9.165151,9.433981,9.380832,9.433981,10.099505,9.486833,9.695360,9.433981,10.295630,9.591663,12.922848,9.797959,11.874342,11.445523,14.317821,11.489125,10.148892,10.000000,9.949874
10.770330,12.609520,12.328828,11.575837,9.433981,6.782330,10.630146,0.000000,8.000000,7.615773,13.000000,7.937254,7.937254,14.035669,8.000000,13.038405,12.961481,7.681146,7.615773,15.000000,13.266499,12.288206,10.295630,7.874008,11.832160,8.306624,8.831761,8.544004,8.306624,8.426150,8.426150,8.000000,8.306624,8.774964,8.246211,14.628739,8.062258,8.246211,8.185353,8.544004,8.000000,12.569805,8.062258,8.246211,8.062258,8.426150,8.774964,8.306624,14.832397,8.185353,12.727922,15.033296,8.366600,11.000000,8.000000,11.575837,8.426150,11.224972,8.246211,15.652476,8.124038,9.219544,7.937254,8.185353,12.409674,9.746794,8.831761,11.045361,10.770330,12.041595,11.618950,7.483315,14.352700,7.416198,11.135529,7.681146,7.348469,10.677078,8.602325,12.206556,9.433981,12.409674,10.583005,13.747727,7.745967,10.535654,11.224972,8.426150,9.273618,7.745967,10.723805,8.485281,11.789826,7.874008,7.937254,11.180340,11.445523,9.219544,8.062258,12.288206,10.535654,7.937254,7.483315,7.937254,7.141428,8.831761,7.681146,8.485281,11.401754,9.848858,7.416198,7.615773,7.937254,11.313708,7.937254,10.198039,9.327379,11.704700,9.486833,8.602325,8.124038,8.831761,10.630146,10.723805,7.211103,9.219544,7.483315,7.416198,10.954451,11.401754,10.908712,14.832397,12.922848,7.549834,7.348469,7.549834,7.549834,16.431677,16.462078,17.146428,14.933185,14.142136,7.280110,7.483315,7.549834,7.615773,8.426150,7.681146,7.937254,7.615773,8.660254,7.810250,11.575837,8.062258,10.488088,10.000000,12.409674,10.908712,8.485281,8.185353,7.874008
10.099505,11.618950,11.661904,11.313708,8.062258,5.830952,9.539392,8.000000,0.000000,4.898979,10.148892,3.000000,5.000000,13.076697,6.000000,11.916375,12.328828,5.385165,5.291503,14.177447,12.165525,10.908712,9.165151,5.656854,10.583005,6.403124,6.928203,6.557439,6.244998,6.403124,6.403124,5.830952,6.244998,7.000000,6.000000,13.564660,5.744563,6.324555,6.082763,6.855655,5.830952,11.224972,5.916080,6.324555,6.082763,6.557439,6.855655,6.244998,14.142136,5.567764,11.575837,14.142136,6.480741,10.630146,6.480741,10.488088,6.855655,10.677078,6.164414,14.798649,6.000000,7.416198,6.403124,6.082763,11.747340,8.660254,8.602325,11.135529,9.486833,11.874342,10.344080,5.830952,14.212670,5.385165,9.899495,5.567764,5.291503,9.273618,6.928203,12.609520,8.426150,11.832160,9.055385,13.228757,5.477226,10.816654,10.295630,6.403124,8.366600,5.477226,9.848858,6.480741,10.630146,5.656854,5.744563,10.049876,10.344080,8.185353,5.916080,11.269428,9.000000,5.385165,5.099020,5.744563,5.385165,6.782330,5.744563,6.928203,10.392305,9.219544,6.244998,6.164414,5.744563,10.295630,5.744563,9.055385,7.416198,10.344080,8.246211,6.928203,6.633250,7.071068,9.327379,9.848858,4.898979,8.185353,5.099020,5.000000,9.797959,10.770330,9.848858,14.491377,12.041595,5.000000,5.099020,5.000000,5.000000,15.620499,15.524175,17.204651,14.177447,13.266499,4.795832,5.291503,5.196152,5.291503,6.403124,5.385165,5.744563,5.291503,6.708204,5.567764,10.198039,5.916080,8.944272,8.366600,12.000000,9.539392,6.480741,6.244998,6.164414
10.000000,11.180340,12.165525,10.583005,7.549834,5.291503,9.433981,7.615773,4.898979,0.000000,10.908712,5.196152,3.000000,12.609520,5.477226,11.401754,11.916375,4.795832,4.690416,13.820275,11.832160,10.723805,8.602325,5.099020,10.099505,5.916080,6.480741,6.082763,5.744563,5.916080,5.916080,5.291503,5.567764,6.557439,5.656854,13.416408,5.385165,5.656854,5.196152,6.403124,5.291503,10.770330,5.385165,5.830952,5.385165,5.567764,6.082763,5.567764,13.784049,5.385165,10.954451,13.711309,5.477226,9.643651,5.656854,10.000000,5.916080,10.099505,5.656854,14.525839,5.477226,7.000000,5.744563,5.567764,11.575837,8.185353,7.874008,10.862780,9.273618,11.445523,10.049876,5.291503,13.711309,4.795832,9.591663,5.000000,4.690416,8.831761,6.480741,12.288206,8.062258,11.313708,8.485281,12.767145,4.690416,10.440307,9.797959,5.567764,7.745967,4.898979,9.539392,6.000000,10.246951,4.898979,5.196152,9.643651,10.049876,7.810250,5.385165,11.090537,8.774964,5.196152,4.472136,5.000000,4.795832,6.633250,5.196152,6.164414,9.797959,8.660254,5.196152,5.291503,5.000000,10.000000,5.196152,8.717798,7.280110,9.539392,7.483315,6.480741,6.164414,6.633250,8.544004,9.219544,4.000000,7.681146,4.472136,4.358899,9.165151,10.099505,9.327379,14.071247,11.704700,4.795832,4.898979,4.795832,4.582576,15.491933,15.459625,16.970563,13.747727,12.884099,4.123106,4.690416,4.582576,4.690416,5.916080,4.795832,5.196152,4.690416,6.244998,4.795832,10.000000,5.385165,8.602325,7.874008,11.832160,9.000000,5.656854,5.744563,5.656854
