# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125,ch126,ch127,ch128,ch129,ch130,ch131,ch132,ch133,ch134,ch135,ch136,ch137,ch138,ch139,ch140,ch141,ch142,ch143,ch144,ch145,ch146,ch147,ch148,ch149,ch150,ch151,ch152,ch153,ch154,ch155,ch156,ch157,ch158,ch159,ch160,ch161
0.000000,0.950413,0.937500,0.937500,0.932584,0.971014,0.927083,0.947917,0.986667,0.986667,0.968992,1.000000,0.987013,0.940299,1.000000,0.948718,0.956140,1.000000,1.000000,0.965714,0.976923,0.991935,0.951923,1.000000,0.967480,1.000000,1.000000,1.000000,0.987500,0.975309,0.988235,1.000000,0.987952,1.000000,0.974359,0.939189,0.962500,1.000000,0.988095,1.000000,0.987654,0.945312,0.987805,0.975000,0.963415,0.962025,0.987013,0.974684,0.931250,1.000000,0.936170,0.978873,0.988372,0.941667,0.987500,0.977099,0.952941,0.959350,1.000000,0.967949,0.986111,0.963855,0.974359,1.000000,0.948276,0.922330,0.938144,0.943396,0.962963,0.931034,0.934579,0.958904,0.943662,1.000000,0.961165,0.987179,1.000000,0.971963,0.985915,0.922414,0.980952,0.931373,0.971429,0.960784,0.973684,0.962963,0.937500,0.975309,0.926316,0.987013,0.960396,1.000000,0.952381,0.986842,0.985915,0.952830,0.961165,0.958333,1.000000,0.975207,0.964286,1.000000,1.000000,1.000000,0.986842,0.989011,1.000000,0.936709,0.941176,0.948980,0.974684,0.962500,0.986486,0.954955,0.987013,0.953704,0.967391,0.942857,0.967742,0.985915,0.989011,0.977528,0.990476,0.945946,1.000000,0.888889,0.986301,1.000000,0.990826,0.971963,0.960000,0.938462,0.945455,1.000000,1.000000,1.000000,1.000000,0.948052,0.927152,0.958333,0.937500,0.975410,1.000000,0.986111,1.000000,0.958904,0.974359,0.985714,1.000000,0.944444,0.961538,0.972973,0.990291,1.000000,1.000000,0.989691,0.980392,0.968421,1.000000,1.000000,0.986842
0.950413,0.000000,0.943662,0.954955,0.977778,1.000000,0.969072,0.957447,0.986111,0.971831,0.925620,1.000000,0.972603,0.922481,0.958333,0.956522,0.925926,1.000000,1.000000,0.959064,0.951613,0.974790,0.940000,0.986301,0.931034,0.947368,0.950617,0.961039,0.973684,0.961039,0.975309,0.986667,0.987500,0.965909,0.973333,0.945205,0.947368,1.000000,0.935065,0.949367,0.932432,0.909091,0.933333,0.887324,0.935065,0.960526,0.986486,0.987013,0.929936,0.986667,0.934783,0.978417,0.975610,0.957983,0.973684,0.934959,0.963855,0.958333,0.986486,0.946667,0.985507,0.962500,0.986842,1.000000,0.974138,0.961538,0.969072,0.961905,0.920792,0.938596,0.922330,0.986111,0.950000,0.986301,0.970297,0.972973,0.986111,0.961165,1.000000,0.974790,0.970297,0.960784,0.970588,0.945946,0.958333,0.981308,0.964286,0.974359,0.979381,0.986486,0.980000,0.987952,0.980952,0.986301,0.970149,0.961538,0.980392,0.968085,1.000000,0.947826,0.987952,1.000000,1.000000,1.000000,0.972222,0.940476,0.973684,0.974684,0.970588,0.958333,0.987013,0.974359,1.000000,0.963303,1.000000,0.962264,0.966292,0.941176,0.978022,1.000000,1.000000,0.988506,0.970000,0.934579,1.000000,0.945652,0.985714,1.000000,0.961165,0.980952,0.950413,0.953488,0.963303,0.985714,0.985915,0.985714,0.985714,0.960784,0.967532,0.948276,0.944444,0.966102,1.000000,1.000000,0.985915,0.986111,1.000000,1.000000,0.985915,0.986111,1.000000,0.986111,0.958763,0.972222,0.978261,0.978495,0.979798,0.956044,0.986111,0.948052,1.000000
0.937500,0.943662,0.000000,0.955882,0.982759,0.989247,0.975610,0.966667,0.957895,1.000000,0.931507,0.978495,1.000000,0.928571,0.990000,0.957143,0.924242,1.000000,1.000000,0.980000,0.980392,0.979310,0.984615,1.000000,0.979592,1.000000,0.990909,0.990476,0.970297,0.970874,0.971698,0.969697,0.990566,0.982609,0.959596,0.959538,0.970874,0.990654,0.990654,0.990741,0.990385,0.960526,0.980769,0.970588,0.961538,0.980583,0.990000,0.980392,0.934066,0.980000,0.938650,0.962963,0.981481,0.943662,0.980392,0.946309,0.981818,0.965753,1.000000,0.972067,0.989474,1.000000,0.980198,1.000000,0.949275,0.961240,0.894737,0.953488,0.945312,0.964789,0.954198,0.968750,0.945122,1.000000,0.976378,0.980000,1.000000,0.976923,0.978495,0.942857,0.960000,0.960630,0.960317,0.941860,0.979798,0.953488,0.955882,0.990476,0.949580,0.979798,0.976000,1.000000,0.984733,1.000000,0.989362,0.953125,0.968254,0.939655,0.990196,0.942446,0.952381,0.990291,0.978261,1.000000,0.969072,0.944954,0.980392,0.980952,0.976562,0.983871,0.980392,0.970874,0.968421,0.970370,0.979798,0.945736,0.886792,0.961240,0.956140,0.978495,0.991228,0.963636,0.984252,0.978102,1.000000,0.957627,0.989583,0.989474,0.968992,0.960938,0.986755,0.940789,0.930769,1.000000,0.989691,0.989583,0.989583,0.954802,0.977901,0.965035,0.940000,0.993197,1.000000,1.000000,1.000000,1.000000,0.980198,1.000000,0.989691,1.000000,0.980392,1.000000,0.984000,1.000000,0.983051,0.983193,0.975806,0.991667,0.989796,0.971154,0.989899
0.937500,0.954955,0.955882,0.000000,0.950000,0.947368,0.930233,0.953488,1.000000,0.968254,0.957265,1.000000,0.969231,0.952000,0.984848,0.972477,0.951456,1.000000,0.984375,0.957055,0.974790,0.982143,0.957447,1.000000,0.973451,0.985915,0.986842,1.000000,1.000000,0.985915,0.986486,1.000000,0.986111,1.000000,1.000000,0.979021,1.000000,0.972222,0.957746,0.986486,0.985714,0.975207,0.956522,0.985714,0.972222,0.971014,1.000000,1.000000,0.967742,1.000000,0.946970,0.928000,0.944444,0.954955,0.955224,0.983471,0.973684,0.973684,1.000000,0.943662,1.000000,1.000000,0.921875,1.000000,0.942857,0.888889,0.942529,0.969388,0.902174,0.972727,0.980198,0.951613,0.962687,0.952381,0.978723,0.985075,0.984375,0.923913,0.948276,0.924528,0.956522,0.923077,0.978947,0.957746,1.000000,0.936842,0.971429,0.985915,0.965909,0.969231,0.955556,0.972973,0.989796,0.968750,0.983333,0.947368,0.945055,0.940476,1.000000,0.981982,0.972973,0.970588,0.965517,0.984127,0.984615,0.961538,0.985507,0.910448,0.910112,0.930233,0.939394,0.956522,1.000000,0.960396,1.000000,0.948454,0.987952,0.979592,0.950617,0.948276,0.934211,0.933333,0.956044,0.907216,0.983333,0.977011,1.000000,1.000000,0.957895,0.923913,0.946903,0.950413,0.950000,1.000000,0.984127,1.000000,1.000000,0.965753,0.958621,0.954128,0.958333,0.954128,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.966667,1.000000,1.000000,1.000000,0.989130,0.964286,1.000000,0.971831,1.000000
0.932584,0.977778,0.982759,0.950000,0.000000,1.000000,0.969697,0.968750,1.000000,0.975000,0.946237,1.000000,0.976190,0.950980,1.000000,0.964706,0.936709,1.000000,0.975000,0.964539,0.989691,1.000000,0.942857,0.975610,0.966292,0.978723,0.980769,1.000000,1.000000,1.000000,0.980000,1.000000,0.979167,1.000000,1.000000,0.939130,1.000000,1.000000,0.958333,1.000000,1.000000,0.979592,1.000000,1.000000,0.979592,0.978261,1.000000,1.000000,0.977444,0.976744,0.982301,0.962264,1.000000,0.989011,1.000000,0.989796,0.941176,0.978022,1.000000,0.967213,1.000000,1.000000,0.977273,1.000000,0.884615,0.914286,0.937500,0.986842,0.973333,0.940476,0.974026,0.948718,0.973214,0.894737,0.956522,0.952381,0.948718,0.943662,0.972222,0.941176,0.971429,0.972222,0.986111,0.940171,1.000000,0.959459,0.987952,0.956522,0.969231,0.976190,0.955224,0.938776,0.986486,0.975610,1.000000,0.914286,0.971429,0.916667,1.000000,0.977011,0.960000,0.977778,1.000000,1.000000,1.000000,1.000000,1.000000,0.934783,0.910448,0.920635,0.954545,0.956522,1.000000,0.987500,0.951220,0.960000,0.983051,0.972973,0.983333,0.972222,0.963636,0.943396,0.971014,0.975000,0.972222,0.951613,0.973684,0.972973,0.943662,0.958333,0.944444,0.948980,0.920000,1.000000,0.974359,1.000000,1.000000,0.967480,0.950413,0.965517,0.936842,0.928571,1.000000,1.000000,1.000000,0.975000,1.000000,1.000000,1.000000,0.975000,1.000000,0.975000,0.970149,1.000000,1.000000,0.967213,0.921875,0.983871,1.000000,0.979167,1.000000
0.971014,1.000000,0.989247,0.947368,1.000000,0.000000,0.900000,0.975610,1.000000,1.000000,1.000000,1.000000,1.000000,0.975309,1.000000,1.000000,0.983051,1.000000,1.000000,0.991736,0.986301,0.984615,1.000000,1.000000,1.000000,1.000000,1.000000,0.956522,1.000000,1.000000,0.961538,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.990991,1.000000,0.977528,0.988235,1.000000,0.985075,0.952381,1.000000,0.965517,0.985294,1.000000,1.000000,1.000000,1.000000,0.894737,1.000000,0.983871,0.980392,0.976744,0.960784,0.960784,0.984375,1.000000,0.937500,0.988889,1.000000,0.978723,1.000000,1.000000,1.000000,1.000000,0.984615,0.956522,0.979592,1.000000,0.979592,1.000000,0.940000,1.000000,1.000000,0.976190,1.000000,0.954545,1.000000,1.000000,1.000000,0.916667,0.980392,0.978723,1.000000,0.950000,0.984375,1.000000,1.000000,1.000000,1.000000,0.941176,1.000000,1.000000,0.913043,0.957447,0.952381,0.900000,0.956522,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.911765,1.000000,0.968750,1.000000,1.000000,0.982456,1.000000,1.000000,1.000000,1.000000,1.000000,0.959184,0.985714,0.987179,1.000000,1.000000,1.000000,1.000000,1.000000,0.990196,0.990196,0.952381,0.986842,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.937500,0.952381,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.973684,1.000000,1.000000,1.000000
0.927083,0.969072,0.975610,0.930233,0.969697,0.900000,0.000000,0.986301,0.979167,1.000000,0.929293,1.000000,1.000000,0.944954,1.000000,0.989474,0.989011,1.000000,1.000000,0.973333,1.000000,0.979167,0.987654,1.000000,0.969072,1.000000,1.000000,0.981818,0.981132,0.981818,0.964912,1.000000,0.982143,0.984848,0.980769,0.960000,0.981818,1.000000,1.000000,1.000000,0.981481,0.990654,0.962963,0.981481,0.905660,0.962264,0.980000,0.981132,0.978723,0.980392,0.975000,0.964912,0.965517,0.969072,0.981132,1.000000,0.949153,0.947917,0.980000,0.969231,1.000000,0.982759,0.940000,1.000000,0.944444,0.950000,0.958904,0.950617,0.950617,0.945652,0.988372,0.957447,0.948718,1.000000,0.974359,1.000000,1.000000,0.962500,1.000000,0.946237,0.947368,0.962025,1.000000,0.944000,0.980000,0.963415,0.989011,0.962963,0.897059,1.000000,0.931507,0.983051,1.000000,0.979592,0.977273,0.950000,0.974359,0.971831,0.960784,0.978947,0.965517,1.000000,1.000000,1.000000,0.979592,0.951613,0.981132,0.924528,0.934211,0.944444,0.941176,0.962963,1.000000,0.988636,1.000000,0.988235,0.969697,0.962963,0.938462,0.977273,0.984375,1.000000,0.974026,0.965517,1.000000,0.957143,0.978261,1.000000,1.000000,0.935897,0.959596,0.962617,0.965116,1.000000,1.000000,1.000000,1.000000,0.984962,0.945312,0.934783,0.931373,0.979167,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986842,0.955882,1.000000,1.000000,1.000000
0.947917,0.957447,0.966667,0.953488,0.968750,0.975610,0.986301,0.000000,1.000000,1.000000,0.960000,1.000000,1.000000,0.953704,0.979167,0.978261,0.953488,1.000000,1.000000,0.979866,0.990291,1.000000,0.947368,1.000000,0.989691,0.981132,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,1.000000,0.984127,1.000000,0.981818,1.000000,0.963636,1.000000,1.000000,1.000000,0.980769,0.981818,0.980769,1.000000,1.000000,0.955882,1.000000,0.974576,0.982456,0.982456,0.934783,0.960000,0.970588,0.983051,0.957895,1.000000,0.992366,1.000000,1.000000,0.959184,1.000000,0.943182,0.962025,0.927536,0.935897,0.975309,0.978495,0.975904,0.955556,0.974576,0.956522,0.973684,0.979592,0.955556,0.987500,0.976190,0.945055,0.960000,0.961039,0.987179,0.960000,1.000000,0.949367,0.965517,1.000000,0.986111,1.000000,0.986667,1.000000,0.987500,1.000000,1.000000,0.962025,0.987013,0.924242,1.000000,0.967391,0.982456,1.000000,1.000000,1.000000,0.956522,0.983871,0.960000,0.981481,0.974026,0.986301,0.960000,0.961538,1.000000,0.964286,1.000000,0.950000,0.984615,1.000000,0.969231,0.976190,0.967213,0.983607,0.986842,0.988506,0.976190,0.924242,1.000000,1.000000,0.974684,0.974684,0.969388,0.941748,0.951807,0.977273,0.954545,0.977273,0.977273,0.968992,0.976923,0.933333,0.940594,0.978723,1.000000,0.976744,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986486,1.000000,1.000000,1.000000,0.958333,0.985294,1.000000,0.981481,0.933333
0.986667,0.986111,0.957895,1.000000,1.000000,1.000000,0.979167,1.000000,0.000000,0.900000,0.902778,0.615385,0.956522,0.988506,1.000000,0.970149,1.000000,1.000000,1.000000,1.000000,1.000000,0.985714,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960000,0.990196,0.964286,1.000000,1.000000,1.000000,1.000000,0.987500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.982609,0.913043,0.989474,0.988889,1.000000,0.986111,1.000000,0.987342,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.985075,1.000000,1.000000,0.982456,0.982456,1.000000,0.983051,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.981818,1.000000,0.985714,1.000000,1.000000,0.981132,1.000000,1.000000,1.000000,0.984375,1.000000,0.978723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.982143,1.000000,1.000000,1.000000,0.970588,0.968750,0.961538,1.000000,1.000000,1.000000,0.944444,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975000,1.000000,1.000000,1.000000,1.000000,0.972222,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.983607,0.947368,0.950000,0.947368,0.947368,0.990654,0.990654,1.000000,0.987654,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.979592,1.000000,1.000000,1.000000,0.979592,1.000000,1.000000,1.000000,1.000000
0.986667,0.971831,1.000000,0.968254,0.975000,1.000000,1.000000,1.000000,0.900000,0.000000,0.960526,1.000000,0.400000,0.952381,1.000000,0.970149,0.984375,1.000000,1.000000,0.992063,0.987179,1.000000,0.962264,1.000000,0.986111,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.965517,1.000000,1.000000,0.990196,1.000000,0.966667,0.931034,1.000000,1.000000,0.961538,1.000000,1.000000,0.966667,0.880000,0.956522,0.961538,0.982609,0.958333,0.956522,0.965909,0.935484,0.942029,0.961538,0.961039,0.939394,0.972222,1.000000,0.990566,1.000000,1.000000,0.960000,1.000000,0.985075,0.982143,0.957447,0.982456,1.000000,0.985507,0.983051,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,0.962963,1.000000,0.971014,1.000000,0.962264,0.961538,0.970588,0.956522,0.982456,0.968254,0.964286,0.933333,1.000000,1.000000,1.000000,0.981818,0.954545,1.000000,0.963636,1.000000,1.000000,1.000000,0.985507,1.000000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,0.965517,0.981132,0.957447,0.920000,0.925926,0.950000,1.000000,1.000000,1.000000,1.000000,0.963636,0.950000,1.000000,1.000000,0.972222,0.938776,0.983871,0.941176,0.977778,1.000000,1.000000,0.981818,0.981818,0.972973,0.962963,0.949153,1.000000,1.000000,1.000000,0.947368,0.971429,0.990654,0.985714,0.975000,0.985714,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.952381,1.000000,1.000000,1.000000,0.976744,1.000000,0.952381,0.952381,1.000000,1.000000
