# ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125,ch126,ch127,ch128,ch129,ch130,ch131,ch132,ch133,ch134,ch135,ch136,ch137,ch138,ch139,ch140,ch141,ch142,ch143,ch144,ch145,ch146,ch147,ch148,ch149,ch150,ch151,ch152,ch153,ch154,ch155,ch156,ch157,ch158,ch159,ch160,ch161,ch162,ch163,ch164,ch165,ch166,ch167,ch168,ch169,ch170,ch171,ch172,ch173,ch174,ch175,ch176,ch177,ch178,ch179,ch180,ch181,ch182,ch183,ch184,ch185,ch186,ch187,ch188,ch189
0.000000,9.949874,8.717798,11.532563,10.723805,9.055385,9.327379,8.246211,10.816654,10.630146,9.899495,8.774964,8.944272,8.888194,9.797959,10.677078,10.677078,8.485281,8.426150,11.313708,8.774964,9.165151,10.148892,8.544004,7.745967,8.888194,10.099505,8.366600,12.649111,12.529964,11.357817,9.848858,11.090537,8.602325,8.660254,9.273618,9.055385,11.224972,10.677078,9.433981,11.224972,13.490738,10.099505,11.313708,12.806248,9.219544,10.148892,9.746794,10.440307,12.000000,14.387495,14.071247,21.679483,11.704700,13.527749,13.856406,10.295630,8.660254,11.532563,11.135529,8.888194,10.770330,9.746794,10.099505,15.362291,8.124038,8.602325,11.224972,13.038405,9.165151,9.273618,11.958261,10.908712,8.124038,8.944272,11.224972,12.922848,8.660254,9.746794,12.727922,11.789826,10.723805,14.142136,13.076697,10.440307,10.583005,10.583005,13.341664,12.083046,12.247449,10.770330,9.695360,11.445523,11.618950,9.643651,11.135529,12.649111,10.000000,13.304135,10.583005,10.000000,9.899495,12.328828,12.247449,12.806248,14.317821,12.247449,17.029386,12.922848,15.459625,9.273618,12.288206,17.635192,13.000000,18.520259,12.124356,11.224972,9.273618,12.489996,12.041595,8.944272,9.000000,9.219544,10.954451,10.583005,9.695360,9.695360,8.944272,8.888194,9.486833,10.099505,28.896367,17.320508,11.916375,16.733201,15.132746,15.033296,20.712315,17.888544,14.764823,19.467922,15.779734,13.304135,15.684387,12.083046,13.076697,10.198039,15.297059,9.486833,11.832160,14.662878,10.630146,10.723805,9.949874,10.000000,12.609520,26.476405,20.223748,15.524175,16.613248,10.862780,14.247807,13.928388,14.866069,15.524175,10.723805,12.688578,20.346990,11.618950,14.696938,11.135529,12.288206,13.928388,14.142136,10.392305,15.556349,15.165751,11.874342,13.638182,14.832397,15.099669,9.949874,10.908712,10.295630,11.180340,9.539392,10.954451,9.746794,12.288206,13.000000
9.949874,0.000000,9.000000,9.899495,10.488088,8.426150,10.392305,8.774964,11.313708,11.489125,9.949874,8.124038,8.888194,9.591663,11.618950,10.440307,11.090537,9.219544,8.944272,12.206556,9.695360,9.949874,10.488088,10.000000,9.219544,10.000000,10.535654,9.219544,13.453624,10.862780,11.224972,10.488088,10.954451,9.433981,9.055385,9.848858,9.539392,11.874342,11.618950,10.488088,12.124356,14.035669,10.908712,11.618950,13.152946,9.486833,10.677078,10.488088,10.862780,12.369317,14.352700,13.076697,20.322401,12.247449,13.341664,12.922848,11.000000,9.591663,11.224972,11.180340,9.899495,11.618950,10.295630,11.357817,15.394804,9.110434,9.110434,12.124356,13.453624,9.327379,9.539392,12.409674,12.000000,9.433981,9.219544,12.529964,12.409674,9.591663,10.583005,12.845233,12.000000,10.954451,15.198684,13.856406,10.295630,11.090537,11.000000,13.000000,13.527749,12.922848,12.124356,10.630146,11.135529,12.489996,11.224972,11.532563,13.076697,10.723805,13.416408,11.357817,10.440307,9.848858,12.288206,11.000000,13.152946,14.071247,13.228757,17.578396,12.489996,15.556349,9.433981,13.856406,17.606817,13.928388,19.131126,12.806248,11.789826,9.949874,12.845233,12.806248,9.219544,9.899495,10.198039,11.532563,11.445523,10.723805,10.440307,10.049876,9.695360,10.246951,10.246951,27.129320,16.763055,11.357817,16.703293,14.899664,15.459625,20.493902,17.406895,13.304135,18.973666,16.309506,13.190906,15.716234,12.041595,13.266499,10.630146,14.456832,10.049876,12.041595,14.212670,11.832160,11.224972,11.045361,10.440307,13.266499,23.706539,19.849433,15.297059,17.521415,11.789826,14.832397,15.000000,15.033296,16.062378,11.489125,13.038405,21.424285,12.409674,15.132746,11.704700,12.165525,14.247807,13.820275,10.246951,15.716234,14.730920,11.661904,13.674794,15.000000,16.522712,10.770330,11.832160,10.816654,12.083046,11.135529,13.000000,9.380832,12.489996,12.884099
8.717798,9.000000,0.000000,9.539392,9.746794,7.211103,8.544004,6.928203,9.949874,10.246951,8.246211,7.000000,7.874008,7.937254,10.000000,8.602325,9.380832,7.348469,7.416198,11.045361,7.937254,8.485281,8.888194,8.774964,7.348469,8.426150,9.273618,7.348469,12.649111,11.180340,10.344080,8.888194,10.148892,7.745967,7.937254,8.000000,8.000000,10.099505,9.695360,9.000000,11.045361,12.961481,9.380832,9.899495,11.916375,7.937254,9.000000,8.888194,9.000000,11.575837,13.453624,11.575837,19.595918,11.090537,12.688578,11.575837,9.380832,8.062258,9.949874,9.797959,7.810250,10.488088,8.426150,10.198039,14.899664,7.348469,7.615773,10.770330,12.409674,7.745967,8.000000,11.357817,11.269428,7.745967,7.483315,11.135529,11.618950,7.810250,9.327379,11.661904,10.630146,9.219544,14.628739,12.922848,8.774964,9.591663,9.486833,11.224972,12.328828,11.747340,11.045361,9.273618,10.440307,11.000000,9.746794,10.198039,11.489125,9.055385,12.288206,9.797959,9.165151,9.380832,11.135529,11.135529,11.832160,13.152946,12.247449,16.492423,10.723805,14.456832,7.483315,13.000000,17.406895,13.076697,18.734994,11.874342,10.392305,8.366600,11.575837,11.090537,7.874008,8.185353,8.660254,9.797959,10.000000,9.055385,8.944272,8.602325,8.062258,8.717798,9.165151,26.627054,15.811388,10.295630,15.811388,13.453624,15.556349,19.672316,16.370706,13.341664,18.138357,15.000000,11.618950,14.422205,10.770330,12.041595,8.944272,13.038405,8.000000,10.583005,12.845233,9.949874,10.049876,9.539392,8.717798,12.124356,24.718414,19.974984,14.866069,16.852300,11.313708,14.387495,14.000000,14.247807,15.132746,10.440307,11.789826,20.784610,11.090537,13.856406,10.295630,10.440307,13.190906,13.266499,9.380832,14.491377,13.711309,10.148892,12.884099,13.564660,15.362291,9.539392,10.344080,9.695360,10.440307,9.949874,12.000000,8.185353,11.357817,11.874342
11.532563,9.899495,9.539392,0.000000,11.224972,10.148892,10.954451,10.148892,12.247449,12.649111,10.816654,9.899495,10.630146,10.392305,12.288206,10.630146,11.874342,10.535654,10.295630,13.152946,10.677078,11.180340,11.489125,11.401754,10.535654,11.224972,11.532563,10.535654,14.106736,11.832160,11.661904,11.224972,11.747340,10.630146,10.488088,10.535654,10.440307,12.369317,12.369317,11.575837,13.000000,14.798649,11.269428,11.704700,13.964240,10.488088,10.862780,11.747340,11.661904,12.767145,14.966630,13.228757,19.672316,13.114877,12.961481,12.845233,11.704700,10.770330,11.224972,11.704700,10.677078,12.449900,11.313708,12.206556,15.588457,10.246951,10.344080,13.000000,14.177447,9.433981,10.344080,13.564660,13.038405,10.440307,10.049876,13.152946,13.114877,10.954451,11.832160,13.601471,12.649111,11.916375,16.155494,14.764823,11.575837,11.958261,11.789826,12.767145,14.035669,13.152946,12.288206,11.789826,12.165525,13.038405,11.916375,12.041595,13.228757,11.445523,13.928388,12.288206,11.789826,11.357817,13.152946,12.922848,13.892444,14.696938,14.177447,17.521415,12.806248,16.062378,10.049876,14.696938,18.220867,14.628739,19.849433,13.784049,12.529964,11.180340,13.379088,12.649111,10.630146,10.770330,11.489125,12.041595,12.449900,11.789826,11.704700,11.445523,10.862780,11.445523,11.532563,26.645825,16.401219,12.206556,16.941074,14.628739,16.522712,20.149442,16.941074,14.106736,18.761663,16.552945,13.266499,16.031220,12.206556,13.266499,11.445523,14.317821,10.630146,12.609520,14.282857,12.000000,11.916375,11.916375,11.090537,13.928388,23.874673,20.688161,15.937377,17.972201,13.000000,15.620499,15.524175,15.362291,16.248077,12.806248,13.190906,21.656408,13.416408,15.716234,12.609520,12.489996,14.866069,14.177447,10.816654,15.264338,14.866069,12.409674,14.106736,15.066519,16.941074,11.832160,12.569805,12.124356,12.489996,12.083046,13.820275,10.392305,13.038405,13.266499
10.723805,10.488088,9.746794,11.224972,0.000000,9.643651,10.583005,9.000000,11.489125,11.489125,10.246951,9.695360,10.148892,10.488088,11.618950,11.874342,11.269428,9.539392,9.165151,12.449900,9.899495,10.344080,10.677078,10.392305,9.643651,10.295630,11.180340,9.327379,14.387495,12.247449,11.661904,10.677078,10.954451,9.643651,9.380832,10.344080,9.848858,11.958261,11.269428,10.295630,12.449900,14.247807,11.090537,11.532563,13.228757,10.677078,10.954451,10.295630,11.401754,12.609520,15.297059,14.594520,21.748563,12.165525,14.696938,14.525839,10.816654,9.380832,12.083046,11.789826,10.198039,11.532563,10.770330,11.789826,14.798649,9.433981,9.643651,12.206556,13.453624,10.535654,10.049876,12.409674,12.165525,9.643651,9.949874,12.206556,13.190906,9.591663,11.045361,13.527749,12.884099,11.489125,15.459625,14.142136,11.135529,11.357817,11.269428,13.527749,13.379088,13.228757,12.124356,10.908712,12.247449,12.806248,11.313708,12.206556,13.747727,10.908712,14.071247,11.445523,10.816654,10.816654,13.674794,13.076697,13.228757,14.696938,13.453624,17.233688,13.564660,16.000000,9.848858,14.282857,18.547237,14.000000,19.442222,12.961481,11.618950,10.344080,13.000000,12.489996,9.746794,9.695360,10.392305,10.723805,11.180340,10.630146,10.440307,10.148892,10.392305,10.344080,11.000000,29.189039,16.881943,12.767145,17.691806,14.832397,17.521415,21.817424,18.681542,15.905974,20.688161,16.062378,13.711309,15.968719,12.449900,13.928388,10.816654,14.594520,10.344080,12.041595,15.491933,12.165525,11.575837,11.224972,10.440307,12.727922,26.419690,20.639767,16.431677,17.972201,12.845233,15.427249,14.866069,14.696938,15.684387,11.747340,12.961481,21.424285,12.649111,14.866069,11.532563,12.649111,14.247807,14.594520,10.816654,15.459625,15.066519,12.489996,13.747727,15.264338,16.278821,11.575837,11.575837,11.090537,12.569805,11.401754,13.000000,10.583005,12.884099,13.711309
9.055385,8.426150,7.211103,10.148892,9.643651,0.000000,8.888194,7.483315,10.049876,10.246951,8.485281,6.708204,7.483315,8.426150,10.198039,9.591663,9.591663,7.745967,7.681146,11.224972,8.185353,8.831761,9.219544,9.000000,7.745967,8.660254,9.380832,7.745967,13.190906,11.445523,10.630146,9.219544,10.630146,8.000000,8.185353,8.602325,8.366600,10.488088,10.295630,8.774964,11.224972,13.266499,9.899495,10.392305,12.328828,8.185353,9.433981,8.774964,9.539392,11.224972,14.035669,12.569805,20.736441,11.180340,13.453624,12.409674,9.486833,8.306624,10.630146,10.488088,8.426150,10.392305,9.000000,10.583005,15.033296,7.483315,7.874008,10.954451,12.409674,8.485281,8.602325,11.532563,11.269428,8.000000,7.745967,11.401754,12.288206,8.185353,9.539392,11.916375,10.816654,9.746794,14.899664,13.076697,9.000000,10.099505,9.797959,12.000000,12.489996,12.000000,11.224972,9.695360,9.848858,11.618950,9.949874,10.770330,12.165525,9.380832,12.922848,10.099505,9.380832,9.695360,11.747340,10.677078,12.165525,13.674794,12.569805,16.970563,11.618950,14.798649,8.246211,13.076697,17.860571,13.228757,18.947295,11.532563,10.677078,8.717798,12.083046,11.618950,8.246211,8.426150,8.888194,10.000000,10.099505,9.273618,9.165151,8.831761,8.774964,8.944272,8.944272,27.404379,15.684387,10.583005,16.552945,14.035669,16.248077,20.469489,17.320508,12.961481,19.261360,15.198684,12.449900,14.966630,11.313708,12.609520,9.380832,13.266499,8.717798,11.045361,13.892444,10.630146,10.148892,9.848858,9.055385,12.369317,24.145393,19.313208,14.798649,17.088007,11.661904,14.866069,14.142136,14.525839,14.933185,10.535654,12.041595,20.976177,11.357817,14.212670,10.583005,11.000000,13.490738,13.928388,9.899495,15.099669,14.422205,10.723805,13.564660,14.212670,15.620499,9.539392,10.630146,10.000000,11.180340,10.148892,12.083046,9.000000,11.789826,12.449900
9.327379,10.392305,8.544004,10.954451,10.583005,8.888194,0.000000,8.185353,10.392305,10.770330,9.643651,8.717798,9.110434,8.485281,9.327379,10.535654,10.148892,8.426150,8.485281,11.180340,8.831761,9.433981,9.591663,9.055385,7.280110,8.944272,9.643651,8.660254,12.922848,12.569805,11.045361,9.380832,11.313708,8.660254,8.944272,9.219544,9.110434,10.908712,10.344080,9.165151,11.180340,13.453624,10.049876,11.000000,12.529964,9.486833,9.380832,10.000000,9.899495,12.041595,14.282857,13.674794,21.095023,11.575837,13.638182,13.152946,10.148892,8.717798,11.045361,10.344080,8.485281,11.000000,9.695360,10.816654,15.264338,8.306624,8.888194,10.723805,12.845233,9.110434,9.219544,11.832160,10.677078,8.426150,8.544004,11.532563,12.884099,8.944272,10.000000,12.449900,11.045361,10.488088,15.132746,13.114877,10.099505,10.723805,10.148892,12.688578,11.532563,11.532563,10.344080,9.539392,11.224972,11.747340,9.695360,10.908712,12.688578,10.148892,13.266499,10.535654,9.949874,10.344080,12.767145,12.124356,12.767145,14.282857,13.000000,16.941074,12.165525,15.033296,9.110434,12.806248,18.000000,13.190906,18.708287,12.247449,11.269428,9.433981,12.767145,12.083046,9.000000,8.944272,8.602325,10.440307,10.816654,9.949874,9.219544,9.110434,9.055385,9.327379,10.246951,28.319605,16.763055,11.618950,16.703293,14.696938,16.583124,20.976177,18.083141,14.730920,19.849433,15.297059,13.038405,15.459625,12.041595,13.038405,10.049876,14.456832,9.539392,11.532563,14.696938,11.224972,10.677078,10.198039,9.848858,12.409674,26.267851,20.591260,15.874508,17.521415,11.180340,15.033296,14.456832,14.966630,15.297059,11.313708,12.569805,20.856654,11.832160,14.662878,11.180340,12.000000,13.747727,14.035669,10.049876,15.329710,14.387495,11.313708,13.674794,14.866069,15.524175,10.000000,10.954451,10.246951,11.489125,10.583005,11.445523,9.380832,12.569805,12.961481
8.246211,8.774964,6.928203,10.148892,9.000000,7.483315,8.185353,0.000000,8.544004,9.110434,8.246211,6.855655,7.211103,7.937254,9.486833,9.591663,9.165151,6.633250,6.244998,9.899495,7.141428,8.246211,8.660254,7.937254,6.928203,7.681146,9.055385,6.928203,13.038405,11.357817,10.049876,8.544004,9.746794,6.928203,7.000000,7.615773,7.348469,9.899495,9.380832,8.306624,10.099505,12.409674,8.485281,10.099505,11.661904,7.937254,7.937254,8.185353,8.660254,11.135529,14.456832,13.114877,21.260292,10.535654,13.304135,12.884099,8.831761,7.280110,10.535654,9.899495,7.549834,9.899495,8.306624,9.591663,14.491377,6.480741,6.782330,10.099505,11.916375,8.124038,7.615773,10.630146,10.440307,6.782330,7.211103,10.099505,11.789826,7.000000,8.660254,11.747340,11.180340,9.539392,14.212670,12.369317,8.888194,9.273618,8.944272,12.806248,11.832160,11.489125,10.392305,8.366600,10.148892,11.180340,9.219544,10.198039,11.832160,8.831761,12.288206,9.273618,8.366600,8.831761,12.083046,11.575837,11.832160,13.228757,11.661904,16.613248,11.445523,14.730920,7.874008,12.767145,16.643317,12.609520,17.860571,11.445523,9.591663,7.745967,11.224972,11.357817,7.348469,7.280110,7.681146,9.695360,9.380832,8.366600,8.246211,7.745967,7.937254,8.000000,8.831761,28.687977,16.613248,11.135529,16.673332,14.456832,16.186414,20.952327,18.220867,14.422205,19.723083,15.329710,12.206556,14.899664,11.135529,12.124356,8.717798,14.282857,8.000000,10.099505,14.177447,10.440307,9.643651,8.774964,8.246211,11.269428,26.134269,20.322401,15.198684,16.733201,11.135529,14.456832,13.638182,14.247807,15.132746,10.049876,11.789826,20.639767,10.630146,12.961481,9.165151,10.816654,12.649111,13.266499,8.944272,14.491377,14.142136,10.723805,12.806248,14.000000,15.362291,9.327379,9.848858,9.165151,10.630146,9.327379,11.313708,8.306624,11.357817,12.288206
10.816654,11.313708,9.949874,12.247449,11.489125,10.049876,10.392305,8.544004,0.000000,11.661904,11.000000,9.797959,9.949874,10.677078,11.958261,11.532563,11.000000,9.539392,9.273618,12.688578,10.099505,10.908712,11.224972,10.770330,9.949874,10.488088,11.357817,9.949874,14.456832,13.114877,12.328828,11.135529,11.916375,9.643651,10.099505,9.949874,9.949874,11.958261,11.445523,10.954451,12.369317,13.964240,11.445523,11.532563,13.601471,10.392305,11.135529,10.770330,11.575837,13.000000,15.937377,14.317821,21.283797,12.409674,13.928388,13.527749,11.269428,10.198039,12.247449,12.369317,10.488088,12.206556,10.770330,12.124356,16.093477,9.643651,9.433981,12.369317,13.601471,10.148892,9.848858,12.806248,12.806248,9.848858,9.848858,12.288206,13.564660,9.695360,11.224972,13.453624,13.266499,11.747340,15.716234,14.212670,11.313708,11.180340,11.090537,14.106736,13.820275,13.527749,12.529964,11.090537,12.409674,13.416408,11.575837,11.958261,13.152946,10.723805,13.784049,11.532563,10.908712,11.445523,13.820275,13.453624,13.747727,13.928388,13.000000,17.972201,13.038405,16.248077,10.246951,14.142136,18.165902,14.491377,18.867962,13.266499,11.618950,10.344080,13.453624,13.266499,10.344080,9.797959,9.899495,11.789826,11.180340,11.000000,10.723805,10.344080,10.583005,10.535654,11.090537,28.670542,17.578396,13.000000,17.291616,15.491933,17.349352,21.400935,18.520259,15.264338,19.899749,16.673332,13.490738,15.588457,12.922848,13.490738,11.090537,15.588457,10.535654,12.529964,14.899664,12.649111,11.916375,11.401754,10.440307,13.266499,26.153394,21.118712,16.492423,18.193405,13.076697,16.062378,15.198684,14.966630,16.370706,12.165525,13.266499,21.095023,12.727922,14.106736,10.908712,12.247449,13.747727,14.730920,10.908712,16.217275,15.588457,12.806248,14.317821,15.264338,16.822604,11.575837,12.000000,11.704700,12.806248,11.747340,13.379088,10.583005,13.490738,13.341664
10.630146,11.489125,10.246951,12.649111,11.489125,10.246951,10.770330,9.110434,11.661904,0.000000,10.630146,9.797959,10.440307,10.392305,11.704700,11.874342,11.357817,9.643651,9.797959,12.369317,10.198039,10.723805,11.135529,10.770330,9.848858,10.488088,11.357817,10.049876,13.964240,13.341664,12.000000,11.045361,11.832160,9.746794,9.899495,10.630146,10.344080,10.908712,11.789826,10.770330,11.958261,14.317821,11.357817,11.958261,13.228757,9.797959,10.392305,10.677078,11.224972,12.449900,16.000000,15.000000,22.158520,12.489996,15.165751,14.387495,11.357817,10.295630,12.409674,12.124356,10.392305,12.041595,10.954451,12.124356,15.968719,9.643651,9.433981,11.874342,13.453624,10.630146,9.746794,12.165525,12.489996,9.219544,10.246951,11.958261,13.928388,10.099505,11.135529,13.747727,13.038405,11.575837,15.842980,14.212670,11.489125,11.789826,11.090537,14.387495,13.304135,12.206556,12.369317,11.180340,12.247449,13.416408,11.401754,12.041595,13.747727,11.180340,13.341664,11.445523,9.327379,10.908712,13.527749,12.369317,13.674794,14.212670,13.527749,17.860571,13.711309,16.124515,10.630146,13.784049,18.220867,14.352700,19.026298,13.490738,11.789826,10.630146,13.601471,13.038405,10.246951,10.198039,10.099505,11.789826,11.789826,11.000000,10.816654,9.746794,10.770330,10.630146,11.269428,29.223278,17.691806,13.076697,17.521415,16.000000,16.401219,21.863211,18.841444,16.155494,20.297783,16.613248,14.212670,16.340135,13.076697,14.000000,11.180340,15.968719,10.723805,12.688578,15.811388,12.569805,11.661904,11.401754,11.180340,12.569805,26.981475,21.118712,16.552945,17.464249,11.958261,15.491933,15.329710,15.748016,16.062378,12.083046,12.489996,21.748563,12.247449,15.132746,11.704700,12.961481,14.317821,14.798649,11.704700,16.278821,15.842980,12.884099,14.247807,15.588457,16.881943,11.575837,12.083046,11.704700,12.649111,11.575837,13.152946,11.135529,13.490738,13.784049
