# ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125,ch126,ch127,ch128,ch129,ch130,ch131,ch132,ch133,ch134,ch135,ch136,ch137,ch138,ch139,ch140,ch141,ch142,ch143,ch144,ch145,ch146,ch147,ch148,ch149,ch150,ch151,ch152,ch153,ch154,ch155,ch156,ch157,ch158,ch159,ch160,ch161,ch162,ch163,ch164,ch165,ch166,ch167,ch168,ch169,ch170,ch171,ch172,ch173,ch174,ch175,ch176,ch177,ch178,ch179,ch180,ch181,ch182,ch183,ch184,ch185,ch186,ch187,ch188,ch189
1.000000,0.109109,0.051031,0.030600,0.000000,0.024056,0.103098,0.000000,0.017130,0.067574,0.020016,0.025924,0.048113,0.132068,0.204124,0.067116,0.017504,0.054554,0.000000,0.076073,0.025924,0.125000,0.000000,0.215166,0.218218,0.092450,0.073324,0.081832,0.223917,0.053376,0.015843,0.039653,0.048113,0.027277,0.051848,0.044544,0.000000,0.016137,0.051031,0.082479,0.105338,0.060141,0.122525,0.015939,0.039203,0.105269,0.019118,0.040423,0.018185,0.056614,0.157485,0.011707,0.041571,0.015131,0.126713,0.011945,0.018634,0.075378,0.045392,0.047818,0.092450,0.081715,0.020620,0.182123,0.010471,0.061546,0.052705,0.062257,0.000000,0.106407,0.065279,0.014655,0.177705,0.136386,0.000000,0.119098,0.026029,0.051848,0.077850,0.026575,0.098601,0.034259,0.179917,0.074536,0.000000,0.017767,0.000000,0.084197,0.144938,0.068193,0.167360,0.113715,0.015656,0.164399,0.179029,0.092319,0.077771,0.074536,0.037268,0.017767,0.000000,0.142134,0.153093,0.130677,0.051848,0.077264,0.142581,0.089172,0.013122,0.030851,0.044544,0.261905,0.118457,0.110183,0.120096,0.095047,0.000000,0.022822,0.066437,0.121136,0.048113,0.024398,0.066034,0.016779,0.035007,0.060048,0.040825,0.130558,0.150616,0.021760,0.055902,0.050809,0.026958,0.070767,0.133758,0.052219,0.320791,0.147377,0.163430,0.104713,0.142764,0.068906,0.012611,0.040226,0.042460,0.025616,0.000000,0.000000,0.042563,0.029463,0.105550,0.183597,0.066667,0.125320,0.000000,0.065608,0.055638,0.116494,0.089429,0.143223,0.240609,0.178483,0.112028,0.053349,0.089429,0.112263,0.052486,0.150061,0.059235,0.000000,0.000000,0.000000,0.023570,0.089087,0.070014,0.040622,0.031581,0.029311,0.104006,0.053495,0.176777,0.141069,0.049346,0.087518,0.146553,0.211604,0.272772,0.059479,0.080757,0.086958
0.109109,1.000000,0.155902,0.360577,0.153919,0.293972,0.035997,0.084515,0.044856,0.029492,0.139771,0.316794,0.209980,0.134491,0.000000,0.205042,0.061113,0.071429,0.078811,0.026561,0.000000,0.109109,0.067953,0.075125,0.071429,0.020174,0.112004,0.071429,0.164590,0.361076,0.138290,0.051917,0.167984,0.023810,0.135769,0.077762,0.064820,0.014086,0.000000,0.017998,0.052541,0.052495,0.091670,0.069565,0.068439,0.183773,0.050063,0.035284,0.063492,0.086479,0.210779,0.224818,0.254000,0.026414,0.211154,0.218964,0.016265,0.043863,0.184900,0.139131,0.040349,0.042796,0.053995,0.072259,0.073121,0.026861,0.115011,0.013586,0.022813,0.204335,0.151947,0.038376,0.090483,0.023810,0.111359,0.000000,0.181760,0.022628,0.050965,0.092785,0.147542,0.104664,0.083141,0.032530,0.145180,0.046524,0.047246,0.199481,0.000000,0.047619,0.039841,0.066172,0.163984,0.107624,0.015627,0.120873,0.090513,0.065060,0.097590,0.000000,0.052414,0.248129,0.222718,0.365006,0.079198,0.173422,0.067884,0.062269,0.160349,0.080787,0.155523,0.093522,0.162482,0.042745,0.076874,0.071112,0.014265,0.039841,0.092785,0.082239,0.146986,0.000000,0.019213,0.029292,0.000000,0.000000,0.035635,0.056980,0.131468,0.018993,0.146385,0.297145,0.156874,0.234729,0.179022,0.145859,0.288009,0.202150,0.256776,0.347325,0.236113,0.051554,0.110076,0.096558,0.135896,0.078257,0.050508,0.184758,0.074304,0.090010,0.221116,0.080128,0.087287,0.046881,0.052414,0.045814,0.422514,0.197013,0.173468,0.062508,0.172958,0.146629,0.019557,0.093133,0.069387,0.083992,0.080174,0.037424,0.025852,0.009720,0.014452,0.111726,0.051434,0.194404,0.198618,0.079780,0.156207,0.153506,0.161394,0.093389,0.025717,0.107743,0.000000,0.106948,0.089545,0.046176,0.035714,0.242281,0.129233,0.173493
0.051031,0.155902,1.000000,0.281074,0.043193,0.235702,0.101015,0.079057,0.041959,0.000000,0.196116,0.222250,0.088388,0.161749,0.041667,0.328798,0.128624,0.100223,0.000000,0.000000,0.000000,0.102062,0.095346,0.000000,0.100223,0.000000,0.089803,0.100223,0.158771,0.196116,0.077615,0.072846,0.098209,0.000000,0.000000,0.136386,0.030317,0.098821,0.104167,0.000000,0.018430,0.058926,0.128624,0.156174,0.096028,0.206284,0.093659,0.049507,0.155902,0.017334,0.257172,0.358462,0.347908,0.000000,0.197516,0.321863,0.045644,0.000000,0.222375,0.175695,0.141535,0.000000,0.126269,0.040555,0.000000,0.000000,0.064550,0.019062,0.000000,0.234579,0.159901,0.000000,0.000000,0.000000,0.125000,0.018233,0.159394,0.031750,0.000000,0.113915,0.207020,0.188816,0.025924,0.000000,0.181071,0.065279,0.066291,0.368285,0.000000,0.050111,0.000000,0.046424,0.076696,0.184568,0.021926,0.150756,0.190500,0.114109,0.121716,0.021760,0.000000,0.108799,0.281250,0.240069,0.127000,0.202777,0.047625,0.120134,0.305342,0.125948,0.245495,0.072901,0.103628,0.000000,0.029417,0.033260,0.020016,0.027951,0.130189,0.197814,0.088388,0.000000,0.000000,0.102749,0.000000,0.024515,0.025000,0.026650,0.158114,0.000000,0.091287,0.404484,0.220113,0.260016,0.240269,0.268613,0.213281,0.292236,0.380304,0.282144,0.331295,0.132617,0.216231,0.184749,0.173344,0.109805,0.094491,0.311086,0.182450,0.144338,0.349034,0.206121,0.061237,0.065779,0.098058,0.048212,0.320269,0.115924,0.133868,0.043853,0.069338,0.090010,0.013721,0.078406,0.085189,0.039284,0.112494,0.035007,0.036274,0.054554,0.020278,0.226438,0.057735,0.163663,0.128624,0.149256,0.206284,0.233336,0.155688,0.196553,0.072169,0.086387,0.020146,0.064312,0.179490,0.000000,0.000000,0.218539,0.148361,0.197789
0.030600,0.360577,0.281074,1.000000,0.194249,0.194333,0.136285,0.071107,0.062899,0.012406,0.176394,0.209419,0.106000,0.193978,0.062461,0.308056,0.102835,0.060096,0.066307,0.033520,0.057114,0.091799,0.085758,0.031603,0.060096,0.016974,0.121158,0.060096,0.173097,0.323390,0.209430,0.116482,0.188444,0.040064,0.095191,0.163561,0.127252,0.094809,0.049969,0.030286,0.066307,0.061833,0.192815,0.198997,0.076774,0.201002,0.196560,0.014843,0.106838,0.155912,0.208179,0.283725,0.345994,0.044447,0.329928,0.307041,0.082107,0.055357,0.300019,0.198997,0.118815,0.072013,0.075714,0.097272,0.138421,0.067798,0.116117,0.034291,0.047984,0.359463,0.207741,0.010763,0.076127,0.080128,0.187383,0.054665,0.191154,0.000000,0.028586,0.107339,0.175857,0.113219,0.054406,0.027369,0.108575,0.078286,0.092750,0.309166,0.058058,0.140225,0.156427,0.055674,0.149465,0.150916,0.078886,0.180794,0.180862,0.123161,0.136845,0.026095,0.014700,0.169620,0.206121,0.211129,0.095191,0.178332,0.057114,0.144071,0.221636,0.105730,0.245342,0.087427,0.149132,0.062935,0.058798,0.059830,0.060011,0.033520,0.136613,0.217460,0.106000,0.071669,0.000000,0.110900,0.012854,0.014700,0.014991,0.015980,0.126412,0.015980,0.109476,0.347017,0.257371,0.228671,0.209558,0.253106,0.215392,0.273156,0.342060,0.307601,0.292461,0.108437,0.203747,0.140322,0.228671,0.188119,0.099154,0.272030,0.171917,0.140641,0.279053,0.191011,0.134638,0.078886,0.132296,0.077091,0.392255,0.144369,0.167839,0.085460,0.124730,0.131076,0.057590,0.141043,0.131352,0.035333,0.173454,0.073469,0.021751,0.040890,0.036477,0.188000,0.077894,0.228986,0.257087,0.216285,0.216463,0.172202,0.195196,0.172859,0.064911,0.103599,0.048319,0.064272,0.161440,0.064750,0.050080,0.247523,0.168037,0.218952
0.000000,0.153919,0.043193,0.194249,1.000000,0.101808,0.034906,0.081954,0.043497,0.057195,0.118593,0.043885,0.000000,0.000000,0.028796,0.000000,0.059261,0.046176,0.076422,0.012878,0.000000,0.070535,0.065893,0.036424,0.023088,0.000000,0.031031,0.092351,0.049875,0.192008,0.093869,0.050344,0.190041,0.023088,0.109711,0.018851,0.041904,0.027318,0.086387,0.087264,0.025474,0.040723,0.088891,0.107931,0.077425,0.000000,0.032363,0.102643,0.000000,0.071878,0.097752,0.029728,0.082100,0.064034,0.039001,0.010111,0.078860,0.127602,0.076841,0.067457,0.019563,0.082998,0.000000,0.028028,0.168399,0.000000,0.044610,0.026348,0.044243,0.018013,0.092089,0.062022,0.087740,0.023088,0.000000,0.075605,0.088125,0.065827,0.000000,0.011247,0.035768,0.043497,0.062705,0.010515,0.031284,0.030076,0.030542,0.142531,0.044610,0.023088,0.064389,0.048125,0.013251,0.081171,0.030307,0.039070,0.010971,0.063088,0.021029,0.015038,0.016942,0.120304,0.043193,0.099546,0.087769,0.102768,0.054856,0.120762,0.022213,0.034817,0.113107,0.050382,0.050132,0.051811,0.047437,0.068956,0.069165,0.000000,0.089973,0.148101,0.081446,0.082602,0.018631,0.184625,0.074076,0.050826,0.069109,0.073671,0.036424,0.036835,0.047316,0.047306,0.152119,0.047919,0.060381,0.167958,0.031031,0.041581,0.103747,0.017726,0.025440,0.099983,0.053370,0.076608,0.095838,0.000000,0.048977,0.179158,0.054039,0.112220,0.062537,0.051800,0.056428,0.045460,0.084709,0.144382,0.098895,0.104765,0.033642,0.015153,0.035939,0.079979,0.056893,0.153527,0.134568,0.067872,0.111063,0.048386,0.012534,0.065979,0.070069,0.060189,0.069826,0.103681,0.133337,0.128937,0.124742,0.049618,0.166284,0.072446,0.074813,0.000000,0.069613,0.088891,0.037213,0.029851,0.057720,0.067125,0.091139,0.073603
0.024056,0.293972,0.235702,0.194333,0.101808,1.000000,0.071429,0.000000,0.059339,0.039014,0.184900,0.329276,0.222222,0.101666,0.039284,0.174371,0.121268,0.062994,0.000000,0.000000,0.000000,0.072169,0.067420,0.000000,0.062994,0.000000,0.105833,0.062994,0.081650,0.169492,0.054882,0.045787,0.037037,0.000000,0.000000,0.051434,0.000000,0.055902,0.019642,0.095238,0.017376,0.027778,0.060634,0.092026,0.045268,0.194487,0.044151,0.116690,0.083992,0.114401,0.169725,0.202777,0.160005,0.017471,0.079809,0.193108,0.064550,0.000000,0.122300,0.073621,0.053376,0.056614,0.047619,0.000000,0.000000,0.035533,0.060858,0.017972,0.030179,0.122868,0.075378,0.000000,0.034199,0.000000,0.117851,0.000000,0.060111,0.000000,0.000000,0.092057,0.195180,0.118678,0.000000,0.000000,0.170716,0.000000,0.041667,0.250000,0.000000,0.031497,0.000000,0.000000,0.216930,0.094916,0.020672,0.071067,0.089803,0.086066,0.028689,0.000000,0.000000,0.082061,0.191508,0.331964,0.089803,0.127453,0.014967,0.051484,0.166667,0.083122,0.128586,0.082479,0.039081,0.000000,0.009245,0.125429,0.000000,0.000000,0.061372,0.124334,0.055556,0.000000,0.000000,0.096873,0.020211,0.023113,0.023570,0.025126,0.049690,0.000000,0.172133,0.269879,0.249029,0.228802,0.123560,0.180894,0.105833,0.162072,0.226455,0.350647,0.147497,0.113666,0.087370,0.104510,0.098058,0.029579,0.044544,0.281074,0.073721,0.085052,0.182818,0.106000,0.076980,0.041345,0.069338,0.030303,0.404745,0.235402,0.160633,0.020672,0.032686,0.024246,0.012936,0.049281,0.137686,0.055556,0.090909,0.016502,0.017100,0.012859,0.000000,0.147799,0.027217,0.064293,0.060634,0.058633,0.097243,0.152302,0.053376,0.098833,0.045361,0.122169,0.000000,0.040423,0.067690,0.000000,0.015749,0.091574,0.093250,0.114755
0.103098,0.035997,0.101015,0.136285,0.034906,0.071429,1.000000,0.031944,0.101724,0.050160,0.079243,0.051316,0.023810,0.217855,0.286210,0.099641,0.121268,0.080992,0.000000,0.105409,0.025658,0.082479,0.115577,0.127775,0.323970,0.091502,0.163286,0.026997,0.186628,0.052829,0.078403,0.137361,0.015873,0.026997,0.000000,0.066130,0.000000,0.079860,0.117851,0.142857,0.119151,0.071429,0.138592,0.078880,0.090536,0.062514,0.170297,0.000000,0.125988,0.056033,0.176653,0.081111,0.130290,0.044926,0.114012,0.130052,0.055328,0.074605,0.134779,0.189311,0.183004,0.048526,0.040816,0.065547,0.031092,0.030457,0.000000,0.154047,0.038801,0.126379,0.086146,0.043515,0.219853,0.080992,0.101015,0.073673,0.038643,0.000000,0.038526,0.078906,0.223063,0.084770,0.031424,0.073771,0.073164,0.000000,0.089286,0.190476,0.234738,0.188982,0.240935,0.150064,0.061980,0.149153,0.177192,0.137058,0.076974,0.055328,0.049181,0.035169,0.019811,0.070338,0.088388,0.155204,0.064145,0.087396,0.025658,0.105909,0.142857,0.101781,0.088173,0.188523,0.066995,0.084819,0.095091,0.080633,0.000000,0.000000,0.026302,0.119893,0.047619,0.048295,0.196070,0.116248,0.000000,0.019811,0.141421,0.107683,0.127775,0.064610,0.036886,0.135778,0.115621,0.126075,0.141212,0.124041,0.099786,0.111135,0.137491,0.114003,0.089242,0.146142,0.062407,0.079627,0.056033,0.038030,0.038180,0.136172,0.042126,0.087482,0.104467,0.090857,0.082479,0.088596,0.039621,0.103896,0.088108,0.064856,0.039339,0.008860,0.196116,0.062348,0.033264,0.042241,0.127851,0.015873,0.077922,0.077797,0.029314,0.011022,0.000000,0.056305,0.058321,0.110217,0.138592,0.080411,0.156284,0.130545,0.102940,0.052946,0.116642,0.139622,0.048840,0.103944,0.101535,0.034906,0.202481,0.137361,0.039964,0.098361
0.000000,0.084515,0.079057,0.071107,0.081954,0.000000,0.031944,1.000000,0.238835,0.130856,0.062017,0.080322,0.074536,0.000000,0.026352,0.025994,0.054233,0.084515,0.093250,0.141421,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.082690,0.024544,0.000000,0.074536,0.000000,0.040161,0.069007,0.000000,0.025000,0.052705,0.000000,0.116563,0.093169,0.216930,0.000000,0.060733,0.065233,0.207322,0.062622,0.112687,0.000000,0.000000,0.000000,0.010733,0.000000,0.000000,0.000000,0.028868,0.000000,0.000000,0.049386,0.035806,0.000000,0.000000,0.051299,0.000000,0.000000,0.081650,0.048224,0.000000,0.000000,0.101130,0.045408,0.068825,0.042258,0.000000,0.138380,0.040324,0.040161,0.000000,0.000000,0.000000,0.000000,0.032791,0.019245,0.028630,0.000000,0.055902,0.000000,0.000000,0.000000,0.023570,0.117444,0.024254,0.063671,0.000000,0.047673,0.040161,0.028868,0.038490,0.000000,0.031009,0.110096,0.019764,0.080978,0.040161,0.136797,0.080322,0.041443,0.101639,0.000000,0.000000,0.036886,0.222837,0.000000,0.161245,0.021035,0.075955,0.000000,0.123508,0.062554,0.037268,0.037796,0.068199,0.000000,0.000000,0.031009,0.031623,0.067420,0.033333,0.000000,0.028868,0.015743,0.013921,0.000000,0.027629,0.016180,0.042597,0.021744,0.000000,0.016222,0.000000,0.000000,0.019537,0.031159,0.000000,0.000000,0.000000,0.016396,0.032969,0.159752,0.049055,0.000000,0.025820,0.110940,0.062017,0.142295,0.043097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015394,0.000000,0.020328,0.011070,0.022942,0.172516,0.153897,0.066098,0.091287,0.103510,0.108465,0.094398,0.065233,0.022704,0.107417,0.049725,0.000000,0.000000,0.000000,0.054233,0.045408,0.000000,0.042258,0.061430,0.062554,0.038490
0.017130,0.044856,0.041959,0.062899,0.043497,0.059339,0.101724,0.238835,1.000000,0.055561,0.016458,0.063946,0.079119,0.000000,0.000000,0.082776,0.129527,0.089712,0.098984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030144,0.000000,0.058140,0.087774,0.013027,0.000000,0.065932,0.067284,0.000000,0.128187,0.061059,0.053074,0.083918,0.000000,0.061865,0.098898,0.057567,0.131058,0.042978,0.086555,0.031439,0.049855,0.000000,0.034912,0.025898,0.086635,0.148115,0.049763,0.161016,0.166972,0.030643,0.000000,0.074645,0.000000,0.000000,0.000000,0.033908,0.000000,0.008610,0.000000,0.130005,0.025595,0.042978,0.122487,0.161023,0.024100,0.012176,0.022428,0.062939,0.085685,0.053504,0.085261,0.000000,0.043701,0.000000,0.028169,0.043510,0.020428,0.030390,0.087650,0.089009,0.079119,0.000000,0.000000,0.025020,0.046750,0.012872,0.011264,0.014720,0.101209,0.117234,0.122570,0.081714,0.029217,0.032915,0.043825,0.041959,0.064468,0.031973,0.217813,0.138549,0.036660,0.118678,0.016911,0.073250,0.088096,0.111313,0.000000,0.131662,0.044657,0.094064,0.037529,0.043701,0.055334,0.000000,0.100301,0.144786,0.041388,0.100743,0.016458,0.050351,0.071566,0.035383,0.035783,0.061285,0.116975,0.073886,0.034912,0.124643,0.094460,0.067825,0.103866,0.134377,0.120537,0.135919,0.032375,0.103690,0.140568,0.046549,0.084248,0.031718,0.060913,0.052494,0.060563,0.156215,0.000000,0.027408,0.044161,0.115204,0.086311,0.137241,0.053879,0.040851,0.000000,0.023275,0.008633,0.027634,0.131594,0.057191,0.026373,0.086311,0.099883,0.024352,0.183124,0.190586,0.140324,0.155041,0.100718,0.143918,0.041751,0.069244,0.024100,0.104520,0.087970,0.016150,0.028998,0.027049,0.014392,0.024100,0.000000,0.022428,0.097810,0.022134,0.142999
0.067574,0.029492,0.000000,0.012406,0.057195,0.039014,0.050160,0.130856,0.055561,1.000000,0.097384,0.084085,0.000000,0.071394,0.055174,0.040817,0.085160,0.088475,0.000000,0.061686,0.000000,0.050680,0.031564,0.017447,0.044237,0.018742,0.044593,0.000000,0.133789,0.064923,0.077082,0.032154,0.091032,0.066356,0.063064,0.018060,0.000000,0.222455,0.041380,0.050160,0.134226,0.058521,0.085160,0.077550,0.105964,0.204866,0.170527,0.081945,0.073729,0.126245,0.025540,0.000000,0.044945,0.049077,0.000000,0.058118,0.030220,0.000000,0.061346,0.051700,0.037483,0.039757,0.016720,0.013426,0.033964,0.024953,0.149581,0.113588,0.074175,0.051770,0.194091,0.130721,0.072049,0.176950,0.000000,0.144862,0.010553,0.021021,0.031564,0.010775,0.045688,0.069451,0.034327,0.030220,0.014986,0.000000,0.102411,0.048767,0.085475,0.199068,0.061686,0.046105,0.050780,0.022218,0.058069,0.099813,0.042042,0.060440,0.151099,0.057627,0.308383,0.144068,0.093106,0.222525,0.052553,0.187958,0.073574,0.057847,0.031920,0.041694,0.018060,0.144801,0.109777,0.029782,0.116861,0.022021,0.079514,0.000000,0.032324,0.098227,0.039014,0.039567,0.124940,0.054423,0.014193,0.032461,0.049656,0.194091,0.017447,0.035289,0.045330,0.053561,0.065580,0.034430,0.101232,0.033875,0.193235,0.051217,0.099392,0.008491,0.091394,0.047893,0.010226,0.048928,0.034430,0.020771,0.031281,0.017164,0.034514,0.047782,0.042794,0.024813,0.081088,0.058069,0.000000,0.191522,0.040604,0.059039,0.040287,0.101620,0.195106,0.093648,0.018168,0.034608,0.104747,0.052018,0.202162,0.023178,0.108074,0.054180,0.080553,0.046130,0.086007,0.099329,0.028387,0.041175,0.042681,0.023767,0.121820,0.052054,0.015927,0.042897,0.026676,0.028387,0.059419,0.042897,0.066356,0.016077,0.032742,0.090660
